octodon_degus ENSODEG00000017309
cavia_aperea ENSCAPG00000007573
dipodomys_ordii ENSDORG00000001506
jaculus_jaculus ENSJJAG00000004201
oryctolagus_cuniculus ENSOCUG00000023350
rhinopithecus_bieti ENSRBIG00000036102
equus_caballus ENSECAG00000024654
saimiri_boliviensis_boliviensis ENSSBOG00000009381
cebus_capucinus ENSCCAG00000023088
aotus_nancymaae ENSANAG00000037171
homo_sapiens ENSG00000110651
pan_troglodytes ENSPTRG00000003177
chlorocebus_sabaeus ENSCSAG00000009729
rhinopithecus_roxellana ENSRROG00000043618
rhinopithecus_bieti ENSRBIG00000035117
colobus_angolensis_palliatus ENSCANG00000029488
macaca_fascicularis ENSMFAG00000007233
macaca_nemestrina ENSMNEG00000005402
mandrillus_leucophaeus ENSMLEG00000037580
papio_anubis ENSPANG00000012976
nomascus_leucogenys ENSNLEG00000002706
pongo_abelii ENSPPYG00000002929
cercocebus_atys ENSCATG00000039786
macaca_mulatta ENSMMUG00000002043
gorilla_gorilla ENSGGOG00000007579
pan_paniscus ENSPPAG00000030643
callithrix_jacchus ENSCJAG00000014738
carlito_syrichta ENSTSYG00000035049
microcebus_murinus ENSMICG00000017181
propithecus_coquereli ENSPCOG00000017246
theropithecus_gelada ENSTGEG00000026916
piliocolobus_tephrosceles ENSPTEG00000012968
prolemur_simus ENSPSMG00000025547
tupaia_belangeri ENSTBEG00000009584
mus_spicilegus ENSMSIG00000028519
mus_musculus ENSMUSG00000037706
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031844
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030734
mus_pahari MGP_PahariEiJ_G0013930
rattus_norvegicus ENSRNOG00000020451
meriones_unguiculatus ENSMUGG00000020126
nannospalax_galili ENSNGAG00000024276
peromyscus_maniculatus_bairdii ENSPEMG00000007474
microtus_ochrogaster ENSMOCG00000020744
cricetulus_griseus_crigri ENSCGRG00000012045
cricetulus_griseus_crigri-picr ENSCGRG00015022682
cricetulus_griseus_chok1gshd ENSCGRG00001013376
mesocricetus_auratus ENSMAUG00000018204
castor_canadensis ENSCCNG00000030538
chinchilla_lanigera ENSCLAG00000015223
cavia_porcellus ENSCPOG00000010241
heterocephalus_glaber_female ENSHGLG00000013387
heterocephalus_glaber_male ENSHGLG00100001774
fukomys_damarensis ENSFDAG00000005230
marmota_marmota_marmota ENSMMMG00000004698
urocitellus_parryii ENSUPAG00010021522
ictidomys_tridecemlineatus ENSSTOG00000000251
spermophilus_dauricus ENSSDAG00000022887
ochotona_princeps ENSOPRG00000005872
otolemur_garnettii ENSOGAG00000015774
capra_hircus ENSCHIG00000009589
ovis_aries ENSOARG00000003182
bos_taurus ENSBTAG00000047495
bos_mutus ENSBMUG00000024318
bison_bison_bison ENSBBBG00000013065
sus_scrofa ENSSSCG00000039243
tursiops_truncatus ENSTTRG00000013202
equus_asinus_asinus ENSEASG00005000006
pteropus_vampyrus ENSPVAG00000014218
panthera_pardus ENSPPRG00000012362
panthera_tigris_altaica ENSPTIG00000006951
felis_catus ENSFCAG00000006941
ursus_americanus ENSUAMG00000024057
ursus_maritimus ENSUMAG00000006294
ailuropoda_melanoleuca ENSAMEG00000002216
canis_lupus_dingo ENSCAFG00020017346
canis_lupus_familiaris ENSCAFG00000010121
vulpes_vulpes ENSVVUG00000002853
neovison_vison ENSNVIG00000007770
mustela_putorius_furo ENSMPUG00000005360
loxodonta_africana ENSLAFG00000016959
procavia_capensis ENSPCAG00000006604
dasypus_novemcinctus ENSDNOG00000043163
notamacropus_eugenii ENSMEUG00000000522
phascolarctos_cinereus ENSPCIG00000011719
sarcophilus_harrisii ENSSHAG00000002973
gopherus_agassizii ENSGAGG00000011998
chelonoidis_abingdonii ENSCABG00000010697
chrysemys_picta_bellii ENSCPBG00000021060
pelodiscus_sinensis ENSPSIG00000011497
crocodylus_porosus ENSCPRG00005017019
sphenodon_punctatus ENSSPUG00000002760
pogona_vitticeps ENSPVIG00000000306
anolis_carolinensis ENSACAG00000009937
notechis_scutatus ENSNSUG00000017449
salvator_merianae ENSSMRG00000014176
latimeria_chalumnae ENSLACG00000002805
calidris_pygmaea ENSCPGG00000015349
calidris_pugnax ENSCPUG00000003137
lepidothrix_coronata ENSLCOG00000013812
manacus_vitellinus ENSMVIG00005010540
taeniopygia_guttata ENSTGUG00000009259
lonchura_striata_domestica ENSLSDG00000012208
parus_major ENSPMJG00000009311
zonotrichia_albicollis ENSZALG00000016909
junco_hyemalis ENSJHYG00000012776
serinus_canaria ENSSCAG00000004605
cyanistes_caeruleus ENSCCEG00000008378
ficedula_albicollis ENSFALG00000011514
melopsittacus_undulatus ENSMUNG00000010079
anser_brachyrhynchus ENSABRG00000005937
anas_platyrhynchos_platyrhynchos ENSAPLG00000023901
meleagris_gallopavo ENSMGAG00000007871
coturnix_japonica ENSCJPG00005018588
gallus_gallus ENSGALG00000006546
numida_meleagris ENSNMEG00000011428
apteryx_haastii ENSAHAG00000017132
apteryx_rowi ENSARWG00000010687
apteryx_owenii ENSAOWG00000001542
dromaius_novaehollandiae ENSDNVG00000014103
nothoprocta_perdicaria ENSNPEG00000009548
maylandia_zebra ENSMZEG00005002299
astatotilapia_calliptera ENSACLG00000000591
haplochromis_burtoni ENSHBUG00000021797
pundamilia_nyererei ENSPNYG00000020075
oreochromis_niloticus ENSONIG00000003468
neolamprologus_brichardi ENSNBRG00000001623
amphilophus_citrinellus ENSACIG00000008503
monopterus_albus ENSMALG00000006947
gasterosteus_aculeatus ENSGACG00000012626
poecilia_formosa ENSPFOG00000011199
poecilia_mexicana ENSPMEG00000005796
poecilia_latipinna ENSPLAG00000009950
poecilia_reticulata ENSPREG00000002691
gambusia_affinis ENSGAFG00000016817
xiphophorus_maculatus ENSXMAG00000023163
xiphophorus_couchianus ENSXCOG00000010140
fundulus_heteroclitus ENSFHEG00000019003
