pundamilia_nyererei ENSPNYG00000001624
haplochromis_burtoni ENSHBUG00000019251
maylandia_zebra ENSMZEG00005016462
astatotilapia_calliptera ENSACLG00000005978
neolamprologus_brichardi ENSNBRG00000015268
oreochromis_niloticus ENSONIG00000015584
amphilophus_citrinellus ENSACIG00000012699
amphiprion_ocellaris ENSAOCG00000005544
amphiprion_percula ENSAPEG00000000204
acanthochromis_polyacanthus ENSAPOG00000002421
stegastes_partitus ENSSPAG00000004073
monopterus_albus ENSMALG00000019736
mastacembelus_armatus ENSMAMG00000017994
anabas_testudineus ENSATEG00000022880
seriola_dumerili ENSSDUG00000019866
seriola_lalandi_dorsalis ENSSLDG00000024345
kryptolebias_marmoratus ENSKMAG00000008873
fundulus_heteroclitus ENSFHEG00000016195
cyprinodon_variegatus ENSCVAG00000003538
xiphophorus_maculatus ENSXMAG00000018384
xiphophorus_couchianus ENSXCOG00000009581
gambusia_affinis ENSGAFG00000018591
poecilia_formosa ENSPFOG00000001346
poecilia_latipinna ENSPLAG00000022978
poecilia_reticulata ENSPREG00000016954
poecilia_mexicana ENSPMEG00000021430
oryzias_latipes ENSORLG00020004794
oryzias_latipes ENSORLG00000000086
oryzias_latipes_asm223469v1 ENSORLG00015007082
oryzias_melastigma ENSOMEG00000011569
cynoglossus_semilaevis ENSCSEG00000005913
mola_mola ENSMMOG00000016896
takifugu_rubripes ENSTRUG00000012446
labrus_bergylta ENSLBEG00000012300
gasterosteus_aculeatus ENSGACG00000015722
hippocampus_comes ENSHCOG00000006367
scophthalmus_maximus ENSSMAG00000002267
periophthalmus_magnuspinnatus ENSPMGG00000019710
gadus_morhua ENSGMOG00000007852
esox_lucius ENSELUG00000018526
astyanax_mexicanus ENSAMXG00000007187
pygocentrus_nattereri ENSPNAG00000022026
ictalurus_punctatus ENSIPUG00000011052
danio_rerio ENSDARG00000035819
scleropages_formosus ENSSFOG00015021098
paramormyrops_kingsleyae ENSPKIG00000002937
lepisosteus_oculatus ENSLOCG00000002426
chelonoidis_abingdonii ENSCABG00000000235
gopherus_agassizii ENSGAGG00000004786
chrysemys_picta_bellii ENSCPBG00000022149
pelodiscus_sinensis ENSPSIG00000012618
crocodylus_porosus ENSCPRG00005009178
anolis_carolinensis ENSACAG00000017510
pogona_vitticeps ENSPVIG00000017362
notechis_scutatus ENSNSUG00000009378
salvator_merianae ENSSMRG00000013450
sphenodon_punctatus ENSSPUG00000004593
propithecus_coquereli ENSPCOG00000018789
microcebus_murinus ENSMICG00000006303
prolemur_simus ENSPSMG00000021685
otolemur_garnettii ENSOGAG00000027705
pan_troglodytes ENSPTRG00000045471
pan_paniscus ENSPPAG00000034226
gorilla_gorilla ENSGGOG00000013147
homo_sapiens ENSG00000142082
pongo_abelii ENSPPYG00000019967
nomascus_leucogenys ENSNLEG00000015619
cercocebus_atys ENSCATG00000042951
mandrillus_leucophaeus ENSMLEG00000037366
papio_anubis ENSPANG00000008375
theropithecus_gelada ENSTGEG00000022591
macaca_fascicularis ENSMFAG00000041754
macaca_mulatta ENSMMUG00000008490
macaca_nemestrina ENSMNEG00000036819
chlorocebus_sabaeus ENSCSAG00000011291
rhinopithecus_roxellana ENSRROG00000036423
rhinopithecus_bieti ENSRBIG00000034126
piliocolobus_tephrosceles ENSPTEG00000020950
colobus_angolensis_palliatus ENSCANG00000033922
cebus_capucinus ENSCCAG00000028059
saimiri_boliviensis_boliviensis ENSSBOG00000020413
callithrix_jacchus ENSCJAG00000005639
aotus_nancymaae ENSANAG00000033028
tupaia_belangeri ENSTBEG00000009595
oryctolagus_cuniculus ENSOCUG00000025521
mustela_putorius_furo ENSMPUG00000008421
neovison_vison ENSNVIG00000005038
ursus_americanus ENSUAMG00000013831
ursus_maritimus ENSUMAG00000005202
ailuropoda_melanoleuca ENSAMEG00000003304
canis_lupus_dingo ENSCAFG00020007460
canis_lupus_familiaris ENSCAFG00000006450
vulpes_vulpes ENSVVUG00000015096
panthera_pardus ENSPPRG00000015079
panthera_tigris_altaica ENSPTIG00000011940
felis_catus ENSFCAG00000002668
erinaceus_europaeus ENSEEUG00000005251
pteropus_vampyrus ENSPVAG00000017703
equus_asinus_asinus ENSEASG00005015385
equus_caballus ENSECAG00000003330
capra_hircus ENSCHIG00000015340
ovis_aries ENSOARG00000008832
bos_mutus ENSBMUG00000021875
bos_taurus ENSBTAG00000002044
bison_bison_bison ENSBBBG00000008818
tursiops_truncatus ENSTTRG00000013531
sus_scrofa ENSSSCG00000014558
dipodomys_ordii ENSDORG00000029084
castor_canadensis ENSCCNG00000004885
cricetulus_griseus_chok1gshd ENSCGRG00001023616
cricetulus_griseus_crigri-picr ENSCGRG00015027649
cricetulus_griseus_crigri ENSCGRG00000000747
mesocricetus_auratus ENSMAUG00000001527
microtus_ochrogaster ENSMOCG00000017148
peromyscus_maniculatus_bairdii ENSPEMG00000010571
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031775
mus_spicilegus ENSMSIG00000014514
mus_musculus ENSMUSG00000025486
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030664
rattus_norvegicus ENSRNOG00000013828
meriones_unguiculatus ENSMUGG00000011681
nannospalax_galili ENSNGAG00000024202
jaculus_jaculus ENSJJAG00000021907
cavia_porcellus ENSCPOG00000023769
cavia_aperea ENSCAPG00000014228
chinchilla_lanigera ENSCLAG00000009145
octodon_degus ENSODEG00000014136
heterocephalus_glaber_male ENSHGLG00100000289
heterocephalus_glaber_female ENSHGLG00000017649
fukomys_damarensis ENSFDAG00000004617
spermophilus_dauricus ENSSDAG00000003142
urocitellus_parryii ENSUPAG00010002408
ictidomys_tridecemlineatus ENSSTOG00000015052
marmota_marmota_marmota ENSMMMG00000007350
sorex_araneus ENSSARG00000012676
carlito_syrichta ENSTSYG00000003518
dasypus_novemcinctus ENSDNOG00000048422
loxodonta_africana ENSLAFG00000031228
procavia_capensis ENSPCAG00000004413
mus_pahari MGP_PahariEiJ_G0013864
phascolarctos_cinereus ENSPCIG00000018065
monodelphis_domestica ENSMODG00000021183
sarcophilus_harrisii ENSSHAG00000009078
anser_brachyrhynchus ENSABRG00000011173
anas_platyrhynchos_platyrhynchos ENSAPLG00000015539
gallus_gallus ENSGALG00000032496
meleagris_gallopavo ENSMGAG00000002457
coturnix_japonica ENSCJPG00005013776
numida_meleagris ENSNMEG00000005285
calidris_pygmaea ENSCPGG00000003180
calidris_pugnax ENSCPUG00000015222
apteryx_owenii ENSAOWG00000008972
apteryx_rowi ENSARWG00000013166
apteryx_haastii ENSAHAG00000018723
dromaius_novaehollandiae ENSDNVG00000001815
lonchura_striata_domestica ENSLSDG00000004242
taeniopygia_guttata ENSTGUG00000006886
serinus_canaria ENSSCAG00000008469
parus_major ENSPMJG00000006551
cyanistes_caeruleus ENSCCEG00000017023
ficedula_albicollis ENSFALG00000011459
junco_hyemalis ENSJHYG00000006643
zonotrichia_albicollis ENSZALG00000004618
lepidothrix_coronata ENSLCOG00000002898
manacus_vitellinus ENSMVIG00005009831
nothoprocta_perdicaria ENSNPEG00000001880
melopsittacus_undulatus ENSMUNG00000003876
prolemur_simus ENSPSMG00000002257
calidris_pugnax ENSCPUG00000015221
ornithorhynchus_anatinus ENSOANG00000003958
xenopus_tropicalis ENSXETG00000032567
latimeria_chalumnae ENSLACG00000005920
petromyzon_marinus ENSPMAG00000004912
eptatretus_burgeri ENSEBUG00000003693
ciona_savignyi ENSCSAVG00000008652
ciona_intestinalis ENSCING00000022806
