macaca_nemestrina ENSMNEG00000016952
macaca_mulatta ENSMMUG00000058176
macaca_mulatta ENSMMUG00000050855
macaca_fascicularis ENSMFAG00000038048
macaca_mulatta ENSMMUG00000039375
macaca_mulatta ENSMMUG00000055841
macaca_fascicularis ENSMFAG00000030611
mandrillus_leucophaeus ENSMLEG00000040837
chlorocebus_sabaeus ENSCSAG00000016978
cercocebus_atys ENSCATG00000031698
theropithecus_gelada ENSTGEG00000014757
rhinopithecus_roxellana ENSRROG00000036659
rhinopithecus_bieti ENSRBIG00000039884
colobus_angolensis ENSCANG00000042852
piliocolobus_tephrosceles ENSPTEG00000033899
theropithecus_gelada ENSTGEG00000014798
nomascus_leucogenys ENSNLEG00000027832
gorilla_gorilla ENSGGOG00000027908
callithrix_jacchus ENSCJAG00000003893
