chinchilla_lanigera ENSCLAG00000017274
octodon_degus ENSODEG00000011883
cavia_porcellus ENSCPOG00000010586
cavia_aperea ENSCAPG00000004123
heterocephalus_glaber_male ENSHGLG00100008254
heterocephalus_glaber_female ENSHGLG00000009219
fukomys_damarensis ENSFDAG00000012739
urocitellus_parryii ENSUPAG00010001943
spermophilus_dauricus ENSSDAG00000022262
marmota_marmota_marmota ENSMMMG00000019396
ictidomys_tridecemlineatus ENSSTOG00000008311
castor_canadensis ENSCCNG00000011927
dipodomys_ordii ENSDORG00000007569
microtus_ochrogaster ENSMOCG00000018432
peromyscus_maniculatus_bairdii ENSPEMG00000014203
cricetulus_griseus_crigri-picr ENSCGRG00015023251
cricetulus_griseus_crigri ENSCGRG00000007836
cricetulus_griseus_chok1gshd ENSCGRG00001023517
mesocricetus_auratus ENSMAUG00000008184
mus_spicilegus ENSMSIG00000006741
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026296
mus_musculus ENSMUSG00000028107
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025352
mus_pahari MGP_PahariEiJ_G0026796
rattus_norvegicus ENSRNOG00000057194
meriones_unguiculatus ENSMUGG00000012359
nannospalax_galili ENSNGAG00000024279
jaculus_jaculus ENSJJAG00000021883
ochotona_princeps ENSOPRG00000010194
pan_troglodytes ENSPTRG00000001256
pan_paniscus ENSPPAG00000042011
homo_sapiens ENSG00000143374
gorilla_gorilla ENSGGOG00000006311
pongo_abelii ENSPPYG00000000898
nomascus_leucogenys ENSNLEG00000009858
macaca_fascicularis ENSMFAG00000030387
macaca_mulatta ENSMMUG00000006256
chlorocebus_sabaeus ENSCSAG00000018075
mandrillus_leucophaeus ENSMLEG00000030174
cercocebus_atys ENSCATG00000034784
theropithecus_gelada ENSTGEG00000013550
papio_anubis ENSPANG00000016774
rhinopithecus_roxellana ENSRROG00000030946
piliocolobus_tephrosceles ENSPTEG00000031303
rhinopithecus_bieti ENSRBIG00000044518
colobus_angolensis_palliatus ENSCANG00000035036
macaca_nemestrina ENSMNEG00000042066
cebus_capucinus ENSCCAG00000034305
callithrix_jacchus ENSCJAG00000006429
saimiri_boliviensis_boliviensis ENSSBOG00000001108
aotus_nancymaae ENSANAG00000019620
carlito_syrichta ENSTSYG00000003903
prolemur_simus ENSPSMG00000021195
propithecus_coquereli ENSPCOG00000017247
microcebus_murinus ENSMICG00000008016
otolemur_garnettii ENSOGAG00000005360
tupaia_belangeri ENSTBEG00000003968
ursus_maritimus ENSUMAG00000003705
ursus_americanus ENSUAMG00000023983
ailuropoda_melanoleuca ENSAMEG00000001547
mustela_putorius_furo ENSMPUG00000004795
neovison_vison ENSNVIG00000016668
canis_lupus_dingo ENSCAFG00020019615
canis_lupus_familiaris ENSCAFG00000011941
vulpes_vulpes ENSVVUG00000009226
panthera_pardus ENSPPRG00000019975
panthera_tigris_altaica ENSPTIG00000008079
felis_catus ENSFCAG00000001702
equus_caballus ENSECAG00000014276
equus_asinus_asinus ENSEASG00005001587
ovis_aries ENSOARG00000020814
capra_hircus ENSCHIG00000018559
bos_taurus ENSBTAG00000003799
bos_mutus ENSBMUG00000023540
bison_bison_bison ENSBBBG00000023752
tursiops_truncatus ENSTTRG00000010627
sus_scrofa ENSSSCG00000026395
vicugna_pacos ENSVPAG00000005427
myotis_lucifugus ENSMLUG00000013123
pteropus_vampyrus ENSPVAG00000004340
loxodonta_africana ENSLAFG00000004979
procavia_capensis ENSPCAG00000016619
echinops_telfairi ENSETEG00000008569
dasypus_novemcinctus ENSDNOG00000005934
choloepus_hoffmanni ENSCHOG00000000796
erinaceus_europaeus ENSEEUG00000000186
erinaceus_europaeus ENSEEUG00000012661
sorex_araneus ENSSARG00000013133
phascolarctos_cinereus ENSPCIG00000008884
notamacropus_eugenii ENSMEUG00000014226
monodelphis_domestica ENSMODG00000018792
sarcophilus_harrisii ENSSHAG00000010286
meleagris_gallopavo ENSMGAG00000000718
