monopterus_albus ENSMALG00000012100
mastacembelus_armatus ENSMAMG00000022948
anabas_testudineus ENSATEG00000001039
cottoperca_gobio ENSCGOG00000004728
mola_mola ENSMMOG00000009097
larimichthys_crocea ENSLCRG00005016593
labrus_bergylta ENSLBEG00000002706
amphiprion_percula ENSAPEG00000009822
amphiprion_ocellaris ENSAOCG00000017624
acanthochromis_polyacanthus ENSAPOG00000001443
stegastes_partitus ENSSPAG00000000319
parambassis_ranga ENSPRNG00000024098
oryzias_latipes ENSORLG00000024948
oryzias_latipes ENSORLG00015017856
oryzias_melastigma ENSOMEG00000002938
kryptolebias_marmoratus ENSKMAG00000015326
gouania_willdenowi ENSGWIG00000012629
pundamilia_nyererei ENSPNYG00000011657
haplochromis_burtoni ENSHBUG00000016679
astatotilapia_calliptera ENSACLG00000021978
maylandia_zebra ENSMZEG00005012698
neolamprologus_brichardi ENSNBRG00000015219
oreochromis_niloticus ENSONIG00000015516
amphilophus_citrinellus ENSACIG00000000885
scophthalmus_maximus ENSSMAG00000018534
cynoglossus_semilaevis ENSCSEG00000003199
seriola_lalandi ENSSLDG00000006825
seriola_dumerili ENSSDUG00000001692
betta_splendens ENSBSLG00000019520
tetraodon_nigroviridis ENSTNIG00000013736
hucho_hucho ENSHHUG00000046750
esox_lucius ENSELUG00000004476
