maylandia_zebra ENSMZEG00005026910
pundamilia_nyererei ENSPNYG00000004659
astatotilapia_calliptera ENSACLG00000010353
neolamprologus_brichardi ENSNBRG00000011375
amphilophus_citrinellus ENSACIG00000002073
oryzias_latipes ENSORLG00000028253
oryzias_latipes ENSORLG00000022890
oryzias_latipes ENSORLG00020005748
oryzias_latipes ENSORLG00000016726
oryzias_latipes ENSORLG00020005728
oryzias_latipes ENSORLG00000029924
oryzias_latipes ENSORLG00020000114
oryzias_latipes ENSORLG00020005759
oryzias_latipes_asm223469v1 ENSORLG00015020833
oryzias_latipes_asm223469v1 ENSORLG00015000582
oryzias_latipes ENSORLG00020005738
oryzias_latipes_asm223469v1 ENSORLG00015020794
oryzias_latipes_asm223469v1 ENSORLG00015020808
oryzias_latipes_asm223469v1 ENSORLG00015020820
oryzias_latipes_asm223469v1 ENSORLG00015020803
oryzias_melastigma ENSOMEG00000013866
monopterus_albus ENSMALG00000019337
