amphiprion_ocellaris ENSAOCG00000018703
amphiprion_percula ENSAPEG00000019069
acanthochromis_polyacanthus ENSAPOG00000010609
monopterus_albus ENSMALG00000019485
poecilia_mexicana ENSPMEG00000012515
poecilia_latipinna ENSPLAG00000023991
xiphophorus_maculatus ENSXMAG00000025855
gambusia_affinis ENSGAFG00000016433
cyprinodon_variegatus ENSCVAG00000000141
oryzias_melastigma ENSOMEG00000007683
oryzias_latipes_asm223469v1 ENSORLG00015017875
amphilophus_citrinellus ENSACIG00000009878
mola_mola ENSMMOG00000004318
labrus_bergylta ENSLBEG00000024574
anabas_testudineus ENSATEG00000019389
astatotilapia_calliptera ENSACLG00000018802
pundamilia_nyererei ENSPNYG00000000008
cynoglossus_semilaevis ENSCSEG00000005373
