procavia_capensis ENSPCAG00000013852
echinops_telfairi ENSETEG00000003318
mustela_putorius_furo ENSMPUG00000006582
bos_mutus ENSBMUG00000022142
rhinopithecus_bieti ENSRBIG00000036749
rhinopithecus_roxellana ENSRROG00000036219
colobus_angolensis_palliatus ENSCANG00000036143
pan_troglodytes ENSPTRG00000000762
pan_paniscus ENSPPAG00000030206
gorilla_gorilla ENSGGOG00000010685
nomascus_leucogenys ENSNLEG00000033229
choloepus_hoffmanni ENSCHOG00000006095
castor_canadensis ENSCCNG00000024227
dipodomys_ordii ENSDORG00000015267
cricetulus_griseus_chok1gshd ENSCGRG00001013033
cricetulus_griseus_crigri ENSCGRG00000003743
cricetulus_griseus_crigri-picr ENSCGRG00015005890
mesocricetus_auratus ENSMAUG00000017796
peromyscus_maniculatus_bairdii ENSPEMG00000001367
mus_spicilegus ENSMSIG00000014150
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027218
mus_musculus ENSMUSG00000063172
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026249
mus_pahari MGP_PahariEiJ_G0028582
rattus_norvegicus ENSRNOG00000010241
nannospalax_galili ENSNGAG00000016200
ictidomys_tridecemlineatus ENSSTOG00000002643
urocitellus_parryii ENSUPAG00010021463
spermophilus_dauricus ENSSDAG00000003570
marmota_marmota_marmota ENSMMMG00000015564
heterocephalus_glaber_male ENSHGLG00100006697
heterocephalus_glaber_female ENSHGLG00000001352
fukomys_damarensis ENSFDAG00000019587
octodon_degus ENSODEG00000013069
cavia_aperea ENSCAPG00000012697
cavia_porcellus ENSCPOG00000008726
chinchilla_lanigera ENSCLAG00000007317
ochotona_princeps ENSOPRG00000005553
oryctolagus_cuniculus ENSOCUG00000009249
homo_sapiens ENSG00000081870
pongo_abelii ENSPPYG00000001328
macaca_fascicularis ENSMFAG00000000391
macaca_nemestrina ENSMNEG00000032434
mandrillus_leucophaeus ENSMLEG00000039291
papio_anubis ENSPANG00000036112
theropithecus_gelada ENSTGEG00000007397
cercocebus_atys ENSCATG00000040749
chlorocebus_sabaeus ENSCSAG00000001296
piliocolobus_tephrosceles ENSPTEG00000023808
saimiri_boliviensis_boliviensis ENSSBOG00000026937
callithrix_jacchus ENSCJAG00000004866
cebus_capucinus ENSCCAG00000006342
aotus_nancymaae ENSANAG00000034000
aotus_nancymaae ENSANAG00000002172
carlito_syrichta ENSTSYG00000012499
prolemur_simus ENSPSMG00000000581
microcebus_murinus ENSMICG00000045633
tupaia_belangeri ENSTBEG00000012903
propithecus_coquereli ENSPCOG00000019800
jaculus_jaculus ENSJJAG00000010542
meriones_unguiculatus ENSMUGG00000015487
urocitellus_parryii ENSUPAG00010013036
marmota_marmota_marmota ENSMMMG00000018938
ursus_americanus ENSUAMG00000016894
bison_bison_bison ENSBBBG00000017813
bos_taurus ENSBTAG00000007112
ovis_aries ENSOARG00000006726
capra_hircus ENSCHIG00000026642
tursiops_truncatus ENSTTRG00000009114
vicugna_pacos ENSVPAG00000010234
sus_scrofa ENSSSCG00000026264
ursus_maritimus ENSUMAG00000022331
ailuropoda_melanoleuca ENSAMEG00000009711
neovison_vison ENSNVIG00000007419
canis_lupus_familiaris ENSCAFG00000019072
canis_lupus_dingo ENSCAFG00020012052
vulpes_vulpes ENSVVUG00000026849
panthera_tigris_altaica ENSPTIG00000017951
panthera_pardus ENSPPRG00000007003
felis_catus ENSFCAG00000023427
pteropus_vampyrus ENSPVAG00000003773
myotis_lucifugus ENSMLUG00000010913
equus_caballus ENSECAG00000010446
equus_asinus_asinus ENSEASG00005014567
loxodonta_africana ENSLAFG00000017677
sorex_araneus ENSSARG00000007748
sarcophilus_harrisii ENSSHAG00000007536
monodelphis_domestica ENSMODG00000021359
notamacropus_eugenii ENSMEUG00000010930
phascolarctos_cinereus ENSPCIG00000023119
ornithorhynchus_anatinus ENSOANG00000015261
apteryx_owenii ENSAOWG00000003948
apteryx_rowi ENSARWG00000016510
apteryx_haastii ENSAHAG00000004393
dromaius_novaehollandiae ENSDNVG00000011086
nothoprocta_perdicaria ENSNPEG00000015470
junco_hyemalis ENSJHYG00000000293
parus_major ENSPMJG00000001541
lonchura_striata_domestica ENSLSDG00000013101
serinus_canaria ENSSCAG00000006204
taeniopygia_guttata ENSTGUG00000009350
zonotrichia_albicollis ENSZALG00000003488
cyanistes_caeruleus ENSCCEG00000008751
ficedula_albicollis ENSFALG00000011988
lepidothrix_coronata ENSLCOG00000003057
manacus_vitellinus ENSMVIG00005009159
melopsittacus_undulatus ENSMUNG00000012103
anser_brachyrhynchus ENSABRG00000000024
anas_platyrhynchos_platyrhynchos ENSAPLG00000028953
gallus_gallus ENSGALG00000038608
coturnix_japonica ENSCJPG00005012273
numida_meleagris ENSNMEG00000022490
calidris_pygmaea ENSCPGG00000013669
calidris_pugnax ENSCPUG00000011670
crocodylus_porosus ENSCPRG00005005264
chrysemys_picta_bellii ENSCPBG00000003350
gopherus_agassizii ENSGAGG00000014877
pelodiscus_sinensis ENSPSIG00000002938
anolis_carolinensis ENSACAG00000028858
pogona_vitticeps ENSPVIG00000008968
salvator_merianae ENSSMRG00000017926
sphenodon_punctatus ENSSPUG00000013930
xenopus_tropicalis ENSXETG00000024489
