caenorhabditis_elegans_strain_n2 WBGene00008925
drosophila_melanogaster FBgn0039430
gasterosteus_aculeatus ENSGACG00000008797
labrus_bergylta ENSLBEG00000015104
takifugu_rubripes ENSTRUG00000018150
tetraodon_nigroviridis ENSTNIG00000012266
mola_mola ENSMMOG00000019329
seriola_dumerili ENSSDUG00000019422
seriola_lalandi_dorsalis ENSSLDG00000020083
scophthalmus_maximus ENSSMAG00000016481
monopterus_albus ENSMALG00000002004
mastacembelus_armatus ENSMAMG00000008004
anabas_testudineus ENSATEG00000012777
cynoglossus_semilaevis ENSCSEG00000017667
hippocampus_comes ENSHCOG00000014216
poecilia_formosa ENSPFOG00000019552
poecilia_mexicana ENSPMEG00000016537
poecilia_latipinna ENSPLAG00000022774
poecilia_reticulata ENSPREG00000004433
xiphophorus_couchianus ENSXCOG00000004388
xiphophorus_maculatus ENSXMAG00000003190
gambusia_affinis ENSGAFG00000012365
fundulus_heteroclitus ENSFHEG00000023298
cyprinodon_variegatus ENSCVAG00000001608
kryptolebias_marmoratus ENSKMAG00000008984
oryzias_latipes ENSORLG00000014762
oryzias_latipes ENSORLG00020009961
oryzias_latipes_asm223469v1 ENSORLG00015004799
oryzias_melastigma ENSOMEG00000010191
amphiprion_ocellaris ENSAOCG00000009135
amphiprion_ocellaris ENSAOCG00000018800
amphiprion_percula ENSAPEG00000016003
acanthochromis_polyacanthus ENSAPOG00000015059
stegastes_partitus ENSSPAG00000003744
maylandia_zebra ENSMZEG00005000272
astatotilapia_calliptera ENSACLG00000019653
haplochromis_burtoni ENSHBUG00000007960
maylandia_zebra ENSMZEG00005017920
pundamilia_nyererei ENSPNYG00000012107
neolamprologus_brichardi ENSNBRG00000018822
oreochromis_niloticus ENSONIG00000013328
amphilophus_citrinellus ENSACIG00000008115
periophthalmus_magnuspinnatus ENSPMGG00000019208
gadus_morhua ENSGMOG00000015267
esox_lucius ENSELUG00000017822
pygocentrus_nattereri ENSPNAG00000013115
astyanax_mexicanus ENSAMXG00000006378
ictalurus_punctatus ENSIPUG00000019676
danio_rerio ENSDARG00000056121
scleropages_formosus ENSSFOG00015016699
paramormyrops_kingsleyae ENSPKIG00000023790
lepisosteus_oculatus ENSLOCG00000016268
latimeria_chalumnae ENSLACG00000005270
notamacropus_eugenii ENSMEUG00000002633
phascolarctos_cinereus ENSPCIG00000010190
sarcophilus_harrisii ENSSHAG00000018902
monodelphis_domestica ENSMODG00000007736
ornithorhynchus_anatinus ENSOANG00000011630
myotis_lucifugus ENSMLUG00000000331
pteropus_vampyrus ENSPVAG00000006134
equus_asinus_asinus ENSEASG00005018908
equus_caballus ENSECAG00000013154
ursus_americanus ENSUAMG00000021736
ursus_maritimus ENSUMAG00000012320
ailuropoda_melanoleuca ENSAMEG00000009567
mustela_putorius_furo ENSMPUG00000005304
neovison_vison ENSNVIG00000009167
canis_lupus_familiaris ENSCAFG00000000647
canis_lupus_dingo ENSCAFG00020016376
vulpes_vulpes ENSVVUG00000007380
felis_catus ENSFCAG00000010855
panthera_pardus ENSPPRG00000007784
ovis_aries ENSOARG00000004331
capra_hircus ENSCHIG00000013202
bos_taurus ENSBTAG00000011509
bos_mutus ENSBMUG00000001963
bison_bison_bison ENSBBBG00000011692
tursiops_truncatus ENSTTRG00000009724
sus_scrofa ENSSSCG00000012314
vicugna_pacos ENSVPAG00000005165
homo_sapiens ENSG00000122335
gorilla_gorilla ENSGGOG00000002450
pan_troglodytes ENSPTRG00000018741
pan_paniscus ENSPPAG00000032315
pongo_abelii ENSPPYG00000017131
nomascus_leucogenys ENSNLEG00000010806
piliocolobus_tephrosceles ENSPTEG00000037721
colobus_angolensis_palliatus ENSCANG00000000157
rhinopithecus_bieti ENSRBIG00000033647
rhinopithecus_roxellana ENSRROG00000039004
mandrillus_leucophaeus ENSMLEG00000039707
