amphilophus_citrinellus ENSACIG00000019413
poecilia_reticulata ENSPREG00000003058
labrus_bergylta ENSLBEG00000005261
seriola_lalandi ENSSLDG00000012702
seriola_dumerili ENSSDUG00000005564
oryzias_latipes ENSORLG00020013058
oryzias_latipes ENSORLG00000026436
oryzias_latipes ENSORLG00015020216
oryzias_melastigma ENSOMEG00000013887
astatotilapia_calliptera ENSACLG00000017292
astatotilapia_calliptera ENSACLG00000026530
pundamilia_nyererei ENSPNYG00000004726
maylandia_zebra ENSMZEG00005024795
haplochromis_burtoni ENSHBUG00000012804
neolamprologus_brichardi ENSNBRG00000016460
oreochromis_niloticus ENSONIG00000013966
cynoglossus_semilaevis ENSCSEG00000020745
tetraodon_nigroviridis ENSTNIG00000007673
takifugu_rubripes ENSTRUG00000025411
mola_mola ENSMMOG00000013282
amphiprion_ocellaris ENSAOCG00000016539
amphiprion_percula ENSAPEG00000004986
acanthochromis_polyacanthus ENSAPOG00000018533
stegastes_partitus ENSSPAG00000004265
fundulus_heteroclitus ENSFHEG00000003994
cyprinodon_variegatus ENSCVAG00000009623
poecilia_formosa ENSPFOG00000001984
poecilia_mexicana ENSPMEG00000021892
poecilia_latipinna ENSPLAG00000004973
xiphophorus_maculatus ENSXMAG00000022895
gambusia_affinis ENSGAFG00000000507
mastacembelus_armatus ENSMAMG00000000653
monopterus_albus ENSMALG00000022408
anabas_testudineus ENSATEG00000012437
gasterosteus_aculeatus ENSGACG00000001857
gadus_morhua ENSGMOG00000000257
esox_lucius ENSELUG00000006059
pygocentrus_nattereri ENSPNAG00000015743
astyanax_mexicanus ENSAMXG00000007046
danio_rerio ENSDARG00000044381
ictalurus_punctatus ENSIPUG00000007222
paramormyrops_kingsleyae ENSPKIG00000008602
kryptolebias_marmoratus ENSKMAG00000009326
scophthalmus_maximus ENSSMAG00000013385
scleropages_formosus ENSSFOG00015009785
lepisosteus_oculatus ENSLOCG00000014942
latimeria_chalumnae ENSLACG00000006763
spermophilus_dauricus ENSSDAG00000012383
ictidomys_tridecemlineatus ENSSTOG00000025639
urocitellus_parryii ENSUPAG00010012632
marmota_marmota ENSMMMG00000014915
mustela_putorius ENSMPUG00000002618
neovison_vison ENSNVIG00000013360
ursus_americanus ENSUAMG00000027100
vulpes_vulpes ENSVVUG00000010989
canis_lupus ENSCAFG00020004520
equus_asinus ENSEASG00005021384
equus_caballus ENSECAG00000025153
castor_canadensis ENSCCNG00000011268
jaculus_jaculus ENSJJAG00000011629
ursus_maritimus ENSUMAG00000012230
ailuropoda_melanoleuca ENSAMEG00000008730
sarcophilus_harrisii ENSSHAG00000018374
capra_hircus ENSCHIG00000015530
bos_taurus ENSBTAG00000023445
sus_scrofa ENSSSCG00000031388
panthera_pardus ENSPPRG00000013651
panthera_tigris ENSPTIG00000012270
felis_catus ENSFCAG00000041639
pteropus_vampyrus ENSPVAG00000011544
myotis_lucifugus ENSMLUG00000011550
propithecus_coquereli ENSPCOG00000013552
microcebus_murinus ENSMICG00000049174
otolemur_garnettii ENSOGAG00000002961
pan_troglodytes ENSPTRG00000015532
pan_paniscus ENSPPAG00000028118
homo_sapiens ENSG00000181788
gorilla_gorilla ENSGGOG00000014662
pongo_abelii ENSPPYG00000014207
nomascus_leucogenys ENSNLEG00000003348
rhinopithecus_bieti ENSRBIG00000036211
colobus_angolensis ENSCANG00000040428
rhinopithecus_roxellana ENSRROG00000040029
mandrillus_leucophaeus ENSMLEG00000038290
macaca_mulatta ENSMMUG00000015590
macaca_fascicularis ENSMFAG00000039692
macaca_nemestrina ENSMNEG00000043220
papio_anubis ENSPANG00000012916
cercocebus_atys ENSCATG00000040390
chlorocebus_sabaeus ENSCSAG00000011630
theropithecus_gelada ENSTGEG00000006225
piliocolobus_tephrosceles ENSPTEG00000028496
callithrix_jacchus ENSCJAG00000039750
saimiri_boliviensis ENSSBOG00000025717
cebus_capucinus ENSCCAG00000032110
aotus_nancymaae ENSANAG00000016748
mus_spicilegus ENSMSIG00000006762
mus_musculus ENSMUSG00000036432
mus_spretus MGP_SPRETEiJ_G0025952
mus_caroli MGP_CAROLIEiJ_G0025012
mus_pahari MGP_PahariEiJ_G0026456
rattus_norvegicus ENSRNOG00000013703
meriones_unguiculatus ENSMUGG00000002074
microtus_ochrogaster ENSMOCG00000003011
mesocricetus_auratus ENSMAUG00000002030
peromyscus_maniculatus ENSPEMG00000014755
cricetulus_griseus ENSCGRG00001024133
cricetulus_griseus ENSCGRG00015021178
cricetulus_griseus ENSCGRG00000016303
nannospalax_galili ENSNGAG00000014915
octodon_degus ENSODEG00000002127
chinchilla_lanigera ENSCLAG00000002950
cavia_porcellus ENSCPOG00000038065
cavia_aperea ENSCAPG00000006628
heterocephalus_glaber ENSHGLG00000019459
heterocephalus_glaber ENSHGLG00100011746
fukomys_damarensis ENSFDAG00000011588
choloepus_hoffmanni ENSCHOG00000011930
echinops_telfairi ENSETEG00000017765
procavia_capensis ENSPCAG00000005860
ovis_aries ENSOARG00000004352
bos_mutus ENSBMUG00000021709
tursiops_truncatus ENSTTRG00000007524
vicugna_pacos ENSVPAG00000006115
oryctolagus_cuniculus ENSOCUG00000010373
dasypus_novemcinctus ENSDNOG00000043769
loxodonta_africana ENSLAFG00000025559
phascolarctos_cinereus ENSPCIG00000005398
notamacropus_eugenii ENSMEUG00000000046
monodelphis_domestica ENSMODG00000021275
xenopus_tropicalis ENSXETG00000020096
gopherus_agassizii ENSGAGG00000003776
chelonoidis_abingdonii ENSCABG00000019949
chrysemys_picta ENSCPBG00000018847
pelodiscus_sinensis ENSPSIG00000006388
crocodylus_porosus ENSCPRG00005006867
pogona_vitticeps ENSPVIG00000012548
anolis_carolinensis ENSACAG00000007771
notechis_scutatus ENSNSUG00000018498
salvator_merianae ENSSMRG00000004791
sphenodon_punctatus ENSSPUG00000010435
latimeria_chalumnae ENSLACG00000010557
anser_brachyrhynchus ENSABRG00000019384
anas_platyrhynchos ENSAPLG00000026842
gallus_gallus ENSGALG00000010395
coturnix_japonica ENSCJPG00005018738
meleagris_gallopavo ENSMGAG00000010923
numida_meleagris ENSNMEG00000010529
lonchura_striata ENSLSDG00000008625
junco_hyemalis ENSJHYG00000001185
parus_major ENSPMJG00000007070
serinus_canaria ENSSCAG00000008677
lepidothrix_coronata ENSLCOG00000014812
ficedula_albicollis ENSFALG00000005186
calidris_pygmaea ENSCPGG00000004742
zonotrichia_albicollis ENSZALG00000016715
manacus_vitellinus ENSMVIG00005016506
calidris_pugnax ENSCPUG00000016767
melopsittacus_undulatus ENSMUNG00000002855
apteryx_owenii ENSAOWG00000013817
apteryx_haastii ENSAHAG00000014975
apteryx_rowi ENSARWG00000002533
dromaius_novaehollandiae ENSDNVG00000007800
nothoprocta_perdicaria ENSNPEG00000000726
erinaceus_europaeus ENSEEUG00000000257
erinaceus_europaeus ENSEEUG00000007705
dipodomys_ordii ENSDORG00000023835
lepisosteus_oculatus ENSLOCG00000001908
paramormyrops_kingsleyae ENSPKIG00000014690
esox_lucius ENSELUG00000006254
eptatretus_burgeri ENSEBUG00000009571
ciona_savignyi ENSCSAVG00000011632
ciona_intestinalis ENSCING00000024656
drosophila_melanogaster FBgn0003410
