fundulus_heteroclitus ENSFHEG00000022108
cyprinodon_variegatus ENSCVAG00000009262
xiphophorus_maculatus ENSXMAG00000028328
xiphophorus_couchianus ENSXCOG00000012475
gambusia_affinis ENSGAFG00000015730
poecilia_latipinna ENSPLAG00000005821
poecilia_reticulata ENSPREG00000017611
poecilia_mexicana ENSPMEG00000020960
poecilia_formosa ENSPFOG00000023884
kryptolebias_marmoratus ENSKMAG00000009674
oryzias_latipes ENSORLG00000023967
oryzias_latipes ENSORLG00020020977
oryzias_latipes_asm223469v1 ENSORLG00015010019
amphiprion_ocellaris ENSAOCG00000013683
amphiprion_percula ENSAPEG00000023138
haplochromis_burtoni ENSHBUG00000002332
pundamilia_nyererei ENSPNYG00000007380
astatotilapia_calliptera ENSACLG00000013860
maylandia_zebra ENSMZEG00005024673
oreochromis_niloticus ENSONIG00000001270
monopterus_albus ENSMALG00000021222
mastacembelus_armatus ENSMAMG00000020169
anabas_testudineus ENSATEG00000003549
seriola_lalandi_dorsalis ENSSLDG00000018103
labrus_bergylta ENSLBEG00000020920
labrus_bergylta ENSLBEG00000023221
