spermophilus_dauricus ENSSDAG00000021357
marmota_marmota_marmota ENSMMMG00000022784
urocitellus_parryii ENSUPAG00010003297
ictidomys_tridecemlineatus ENSSTOG00000001722
oryctolagus_cuniculus ENSOCUG00000000637
carlito_syrichta ENSTSYG00000010418
carlito_syrichta ENSTSYG00000032397
dasypus_novemcinctus ENSDNOG00000032302
echinops_telfairi ENSETEG00000015966
dipodomys_ordii ENSDORG00000001285
jaculus_jaculus ENSJJAG00000020842
ochotona_princeps ENSOPRG00000012237
capra_hircus ENSCHIG00000021010
ovis_aries ENSOARG00000015847
bison_bison_bison ENSBBBG00000014221
bos_taurus ENSBTAG00000011473
sus_scrofa ENSSSCG00000036402
tupaia_belangeri ENSTBEG00000016881
myotis_lucifugus ENSMLUG00000000207
myotis_lucifugus ENSMLUG00000030501
pteropus_vampyrus ENSPVAG00000001089
ursus_americanus ENSUAMG00000013483
ailuropoda_melanoleuca ENSAMEG00000010097
vulpes_vulpes ENSVVUG00000000355
canis_lupus_dingo ENSCAFG00020021422
canis_lupus_familiaris ENSCAFG00000008540
neovison_vison ENSNVIG00000014025
mustela_putorius_furo ENSMPUG00000017779
panthera_pardus ENSPPRG00000005788
panthera_tigris_altaica ENSPTIG00000012840
felis_catus ENSFCAG00000038261
tursiops_truncatus ENSTTRG00000001366
equus_asinus_asinus ENSEASG00005003378
equus_caballus ENSECAG00000007545
equus_asinus_asinus ENSEASG00005016951
equus_asinus_asinus ENSEASG00005006652
equus_caballus ENSECAG00000028225
equus_asinus_asinus ENSEASG00005002029
prolemur_simus ENSPSMG00000019056
microcebus_murinus ENSMICG00000028991
propithecus_coquereli ENSPCOG00000004530
microcebus_murinus ENSMICG00000000365
otolemur_garnettii ENSOGAG00000000888
pan_troglodytes ENSPTRG00000013458
pan_paniscus ENSPPAG00000041059
gorilla_gorilla ENSGGOG00000024477
homo_sapiens ENSG00000101335
pongo_abelii ENSPPYG00000010971
nomascus_leucogenys ENSNLEG00000032850
papio_anubis ENSPANG00000024496
macaca_nemestrina ENSMNEG00000043955
macaca_fascicularis ENSMFAG00000000687
theropithecus_gelada ENSTGEG00000002207
mandrillus_leucophaeus ENSMLEG00000010991
chlorocebus_sabaeus ENSCSAG00000010005
macaca_nemestrina ENSMNEG00000006972
macaca_mulatta ENSMMUG00000041652
cercocebus_atys ENSCATG00000031772
piliocolobus_tephrosceles ENSPTEG00000015262
colobus_angolensis_palliatus ENSCANG00000009558
rhinopithecus_roxellana ENSRROG00000011118
rhinopithecus_bieti ENSRBIG00000028332
saimiri_boliviensis_boliviensis ENSSBOG00000035735
