phascolarctos_cinereus ENSPCIG00000030545
monodelphis_domestica ENSMODG00000028791
dasypus_novemcinctus ENSDNOG00000015805
dasypus_novemcinctus ENSDNOG00000043092
choloepus_hoffmanni ENSCHOG00000013403
pteropus_vampyrus ENSPVAG00000004180
myotis_lucifugus ENSMLUG00000022239
bos_mutus ENSBMUG00000001339
bison_bison_bison ENSBBBG00000013407
bos_taurus ENSBTAG00000000879
capra_hircus ENSCHIG00000002449
ovis_aries ENSOARG00000012570
tursiops_truncatus ENSTTRG00000013863
sus_scrofa ENSSSCG00000005880
vicugna_pacos ENSVPAG00000008612
mustela_putorius_furo ENSMPUG00000005972
neovison_vison ENSNVIG00000024192
canis_lupus_dingo ENSCAFG00020021047
canis_lupus_familiaris ENSCAFG00000001686
ursus_americanus ENSUAMG00000007831
ursus_maritimus ENSUMAG00000019340
ailuropoda_melanoleuca ENSAMEG00000005346
felis_catus ENSFCAG00000027910
panthera_pardus ENSPPRG00000007051
equus_asinus_asinus ENSEASG00005010986
equus_caballus ENSECAG00000011952
erinaceus_europaeus ENSEEUG00000000097
prolemur_simus ENSPSMG00000019147
propithecus_coquereli ENSPCOG00000020794
microcebus_murinus ENSMICG00000036664
microcebus_murinus ENSMICG00000043984
otolemur_garnettii ENSOGAG00000001414
pan_troglodytes ENSPTRG00000020721
pan_paniscus ENSPPAG00000026036
gorilla_gorilla ENSGGOG00000016769
homo_sapiens ENSG00000182307
pongo_abelii ENSPPYG00000019000
nomascus_leucogenys ENSNLEG00000011068
macaca_nemestrina ENSMNEG00000039972
macaca_mulatta ENSMMUG00000016084
macaca_fascicularis ENSMFAG00000031328
papio_anubis ENSPANG00000015929
papio_anubis ENSPANG00000023300
theropithecus_gelada ENSTGEG00000020034
mandrillus_leucophaeus ENSMLEG00000038292
cercocebus_atys ENSCATG00000045018
chlorocebus_sabaeus ENSCSAG00000008182
piliocolobus_tephrosceles ENSPTEG00000011557
piliocolobus_tephrosceles ENSPTEG00000011604
piliocolobus_tephrosceles ENSPTEG00000011514
piliocolobus_tephrosceles ENSPTEG00000011669
rhinopithecus_roxellana ENSRROG00000038631
rhinopithecus_bieti ENSRBIG00000043148
colobus_angolensis_palliatus ENSCANG00000035528
cercocebus_atys ENSCATG00000041909
mandrillus_leucophaeus ENSMLEG00000040678
rhinopithecus_bieti ENSRBIG00000037847
cebus_capucinus ENSCCAG00000027235
saimiri_boliviensis_boliviensis ENSSBOG00000018769
callithrix_jacchus ENSCJAG00000021378
aotus_nancymaae ENSANAG00000028351
aotus_nancymaae ENSANAG00000032753
tupaia_belangeri ENSTBEG00000003979
castor_canadensis ENSCCNG00000014587
castor_canadensis ENSCCNG00000021735
dipodomys_ordii ENSDORG00000027740
mus_spicilegus ENSMSIG00000024786
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020857
mus_musculus ENSMUSG00000063236
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019954
mus_pahari MGP_PahariEiJ_G0019964
rattus_norvegicus ENSRNOG00000034107
meriones_unguiculatus ENSMUGG00000012307
cricetulus_griseus_crigri ENSCGRG00000015900
cricetulus_griseus_crigri-picr ENSCGRG00015022253
cricetulus_griseus_chok1gshd ENSCGRG00001018889
microtus_ochrogaster ENSMOCG00000003728
peromyscus_maniculatus_bairdii ENSPEMG00000025377
nannospalax_galili ENSNGAG00000015370
jaculus_jaculus ENSJJAG00000000364
chinchilla_lanigera ENSCLAG00000009738
octodon_degus ENSODEG00000012059
heterocephalus_glaber_female ENSHGLG00000018852
heterocephalus_glaber_male ENSHGLG00100011020
fukomys_damarensis ENSFDAG00000019377
cavia_porcellus ENSCPOG00000025633
ictidomys_tridecemlineatus ENSSTOG00000027541
urocitellus_parryii ENSUPAG00010000272
spermophilus_dauricus ENSSDAG00000012410
marmota_marmota_marmota ENSMMMG00000008523
procavia_capensis ENSPCAG00000014561
ornithorhynchus_anatinus ENSOANG00000030738
ornithorhynchus_anatinus ENSOANG00000029275
gopherus_agassizii ENSGAGG00000013093
chelonoidis_abingdonii ENSCABG00000011493
chrysemys_picta_bellii ENSCPBG00000000406
pelodiscus_sinensis ENSPSIG00000005909
lonchura_striata_domestica ENSLSDG00000001058
taeniopygia_guttata ENSTGUG00000003243
serinus_canaria ENSSCAG00000000175
parus_major ENSPMJG00000008219
ficedula_albicollis ENSFALG00000004864
junco_hyemalis ENSJHYG00000000345
zonotrichia_albicollis ENSZALG00000000303
lepidothrix_coronata ENSLCOG00000007392
manacus_vitellinus ENSMVIG00005009641
melopsittacus_undulatus ENSMUNG00000004888
calidris_pugnax ENSCPUG00000010949
calidris_pygmaea ENSCPGG00000016998
anser_brachyrhynchus ENSABRG00000004020
anas_platyrhynchos_platyrhynchos ENSAPLG00000017564
meleagris_gallopavo ENSMGAG00000010019
gallus_gallus ENSGALG00000041181
coturnix_japonica ENSCJPG00005018449
numida_meleagris ENSNMEG00000021713
apteryx_owenii ENSAOWG00000013659
apteryx_haastii ENSAHAG00000011116
apteryx_rowi ENSARWG00000016800
dromaius_novaehollandiae ENSDNVG00000006271
nothoprocta_perdicaria ENSNPEG00000014754
pogona_vitticeps ENSPVIG00000018889
anolis_carolinensis ENSACAG00000005297
notechis_scutatus ENSNSUG00000001156
salvator_merianae ENSSMRG00000016733
sphenodon_punctatus ENSSPUG00000016639
xenopus_tropicalis ENSXETG00000024441
latimeria_chalumnae ENSLACG00000000290
paramormyrops_kingsleyae ENSPKIG00000006726
scleropages_formosus ENSSFOG00015018878
hippocampus_comes ENSHCOG00000015502
cynoglossus_semilaevis ENSCSEG00000012091
takifugu_rubripes ENSTRUG00000022214
tetraodon_nigroviridis ENSTNIG00000000210
monopterus_albus ENSMALG00000001865
gasterosteus_aculeatus ENSGACG00000008987
mastacembelus_armatus ENSMAMG00000009837
anabas_testudineus ENSATEG00000015588
mola_mola ENSMMOG00000002238
labrus_bergylta ENSLBEG00000015995
seriola_lalandi_dorsalis ENSSLDG00000013332
seriola_dumerili ENSSDUG00000002307
scophthalmus_maximus ENSSMAG00000012926
amphiprion_ocellaris ENSAOCG00000003828
amphiprion_percula ENSAPEG00000006804
acanthochromis_polyacanthus ENSAPOG00000020547
stegastes_partitus ENSSPAG00000016304
oryzias_latipes ENSORLG00000029131
