ursus_americanus ENSUAMG00000022811
ailuropoda_melanoleuca ENSAMEG00000013138
mustela_putorius_furo ENSMPUG00000015768
neovison_vison ENSNVIG00000017514
canis_lupus_familiaris ENSCAFG00000011977
canis_lupus_dingo ENSCAFG00020018353
vulpes_vulpes ENSVVUG00000011186
panthera_pardus ENSPPRG00000001457
felis_catus ENSFCAG00000013350
pteropus_vampyrus ENSPVAG00000010566
bos_taurus ENSBTAG00000002440
bos_mutus ENSBMUG00000006610
bison_bison_bison ENSBBBG00000000187
capra_hircus ENSCHIG00000007739
ovis_aries ENSOARG00000011676
tursiops_truncatus ENSTTRG00000015517
sus_scrofa ENSSSCG00000001840
equus_asinus_asinus ENSEASG00005015180
equus_caballus ENSECAG00000019462
erinaceus_europaeus ENSEEUG00000010199
sorex_araneus ENSSARG00000011288
castor_canadensis ENSCCNG00000024707
dipodomys_ordii ENSDORG00000007286
mus_spicilegus ENSMSIG00000018055
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030985
mus_musculus ENSMUSG00000050382
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029883
mus_pahari MGP_PahariEiJ_G0013105
rattus_norvegicus ENSRNOG00000026857
meriones_unguiculatus ENSMUGG00000016629
cricetulus_griseus_crigri-picr ENSCGRG00015001395
cricetulus_griseus_chok1gshd ENSCGRG00001015583
cricetulus_griseus_crigri ENSCGRG00000017281
mesocricetus_auratus ENSMAUG00000012171
microtus_ochrogaster ENSMOCG00000001711
peromyscus_maniculatus_bairdii ENSPEMG00000011551
nannospalax_galili ENSNGAG00000000476
jaculus_jaculus ENSJJAG00000019257
chinchilla_lanigera ENSCLAG00000013987
octodon_degus ENSODEG00000015309
cavia_aperea ENSCAPG00000014165
cavia_porcellus ENSCPOG00000015371
heterocephalus_glaber_female ENSHGLG00000007549
heterocephalus_glaber_male ENSHGLG00100011064
fukomys_damarensis ENSFDAG00000006675
ictidomys_tridecemlineatus ENSSTOG00000023960
spermophilus_dauricus ENSSDAG00000002200
urocitellus_parryii ENSUPAG00010015897
marmota_marmota_marmota ENSMMMG00000019929
ochotona_princeps ENSOPRG00000015488
pan_troglodytes ENSPTRG00000007434
pan_paniscus ENSPPAG00000039761
homo_sapiens ENSG00000166813
