rhinopithecus_bieti ENSRBIG00000040413
rhinopithecus_roxellana ENSRROG00000034216
colobus_angolensis_palliatus ENSCANG00000036034
cercocebus_atys ENSCATG00000026444
papio_anubis ENSPANG00000033948
mandrillus_leucophaeus ENSMLEG00000010724
macaca_nemestrina ENSMNEG00000038219
macaca_mulatta ENSMMUG00000038578
macaca_fascicularis ENSMFAG00000033926
pan_troglodytes ENSPTRG00000046943
pan_paniscus ENSPPAG00000003062
gorilla_gorilla ENSGGOG00000023449
pongo_abelii ENSPPYG00000000149
nomascus_leucogenys ENSNLEG00000029254
