ciona_intestinalis ENSCING00000005773
ciona_savignyi ENSCSAVG00000001765
pogona_vitticeps ENSPVIG00000015541
salvator_merianae ENSSMRG00000013649
sphenodon_punctatus ENSSPUG00000017331
apteryx_owenii ENSAOWG00000004238
apteryx_rowi ENSARWG00000015228
calidris_pygmaea ENSCPGG00000008086
chelonoidis_abingdonii ENSCABG00000000926
chrysemys_picta_bellii ENSCPBG00000004052
castor_canadensis ENSCCNG00000026590
dipodomys_ordii ENSDORG00000013838
cricetulus_griseus_crigri-picr ENSCGRG00015028566
cricetulus_griseus_crigri ENSCGRG00000018129
cricetulus_griseus_chok1gshd ENSCGRG00001007861
microtus_ochrogaster ENSMOCG00000007154
peromyscus_maniculatus_bairdii ENSPEMG00000009347
mus_spicilegus ENSMSIG00000012554
mus_musculus ENSMUSG00000002307
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022333
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021421
mus_pahari MGP_PahariEiJ_G0020426
rattus_norvegicus ENSRNOG00000000477
meriones_unguiculatus ENSMUGG00000018095
jaculus_jaculus ENSJJAG00000022212
ictidomys_tridecemlineatus ENSSTOG00000002441
urocitellus_parryii ENSUPAG00010013614
spermophilus_dauricus ENSSDAG00000018742
marmota_marmota_marmota ENSMMMG00000024241
chinchilla_lanigera ENSCLAG00000010016
octodon_degus ENSODEG00000017044
cavia_porcellus ENSCPOG00000006780
cavia_aperea ENSCAPG00000017057
heterocephalus_glaber_female ENSHGLG00000017195
heterocephalus_glaber_male ENSHGLG00100014809
fukomys_damarensis ENSFDAG00000006425
oryctolagus_cuniculus ENSOCUG00000010574
ochotona_princeps ENSOPRG00000001051
pan_troglodytes ENSPTRG00000018045
pan_paniscus ENSPPAG00000028039
homo_sapiens ENSG00000204209
gorilla_gorilla ENSGGOG00000006601
pongo_abelii ENSPPYG00000017250
piliocolobus_tephrosceles ENSPTEG00000023372
colobus_angolensis_palliatus ENSCANG00000037648
rhinopithecus_bieti ENSRBIG00000030811
papio_anubis ENSPANG00000020874
theropithecus_gelada ENSTGEG00000029473
mandrillus_leucophaeus ENSMLEG00000034686
cercocebus_atys ENSCATG00000036824
macaca_nemestrina ENSMNEG00000040481
macaca_mulatta ENSMMUG00000004287
macaca_fascicularis ENSMFAG00000038728
chlorocebus_sabaeus ENSCSAG00000009571
aotus_nancymaae ENSANAG00000029566
callithrix_jacchus ENSCJAG00000021679
saimiri_boliviensis_boliviensis ENSSBOG00000022990
carlito_syrichta ENSTSYG00000029920
microcebus_murinus ENSMICG00000000933
propithecus_coquereli ENSPCOG00000000204
prolemur_simus ENSPSMG00000018432
otolemur_garnettii ENSOGAG00000004002
otolemur_garnettii ENSOGAG00000026079
otolemur_garnettii ENSOGAG00000029999
tupaia_belangeri ENSTBEG00000009915
pteropus_vampyrus ENSPVAG00000001915
myotis_lucifugus ENSMLUG00000007551
equus_asinus_asinus ENSEASG00005020852
equus_caballus ENSECAG00000021055
neovison_vison ENSNVIG00000012888
mustela_putorius_furo ENSMPUG00000002405
ursus_americanus ENSUAMG00000026953
ursus_maritimus ENSUMAG00000012343
ailuropoda_melanoleuca ENSAMEG00000001484
canis_lupus_familiaris ENSCAFG00000000981
canis_lupus_dingo ENSCAFG00020003346
vulpes_vulpes ENSVVUG00000025591
felis_catus ENSFCAG00000046536
felis_catus ENSFCAG00000004020
panthera_pardus ENSPPRG00000002274
panthera_tigris_altaica ENSPTIG00000005244
bos_mutus ENSBMUG00000008993
bos_taurus ENSBTAG00000016830
bison_bison_bison ENSBBBG00000000938
capra_hircus ENSCHIG00000013938
capra_hircus ENSCHIG00000015856
ovis_aries ENSOARG00000009519
tursiops_truncatus ENSTTRG00000004312
sus_scrofa ENSSSCG00000001509
vicugna_pacos ENSVPAG00000005753
procavia_capensis ENSPCAG00000006326
loxodonta_africana ENSLAFG00000027595
echinops_telfairi ENSETEG00000002953
phascolarctos_cinereus ENSPCIG00000030119
notamacropus_eugenii ENSMEUG00000002699
sarcophilus_harrisii ENSSHAG00000007459
monodelphis_domestica ENSMODG00000014146
xenopus_tropicalis ENSXETG00000020372
latimeria_chalumnae ENSLACG00000001090
tetraodon_nigroviridis ENSTNIG00000018185
tetraodon_nigroviridis ENSTNIG00000005315
takifugu_rubripes ENSTRUG00000022353
cynoglossus_semilaevis ENSCSEG00000019174
scophthalmus_maximus ENSSMAG00000017448
mola_mola ENSMMOG00000013518
astatotilapia_calliptera ENSACLG00000020304
maylandia_zebra ENSMZEG00005025963
astatotilapia_calliptera ENSACLG00000006705
oreochromis_niloticus ENSONIG00000008401
pundamilia_nyererei ENSPNYG00000019339
neolamprologus_brichardi ENSNBRG00000019025
amphilophus_citrinellus ENSACIG00000006527
fundulus_heteroclitus ENSFHEG00000000247
cyprinodon_variegatus ENSCVAG00000001258
poecilia_formosa ENSPFOG00000001776
poecilia_mexicana ENSPMEG00000013523
poecilia_latipinna ENSPLAG00000009344
gambusia_affinis ENSGAFG00000019373
xiphophorus_maculatus ENSXMAG00000007090
kryptolebias_marmoratus ENSKMAG00000021552
oryzias_latipes ENSORLG00020010751
oryzias_latipes_asm223469v1 ENSORLG00015022809
oryzias_latipes ENSORLG00000006837
oryzias_melastigma ENSOMEG00000001067
amphiprion_percula ENSAPEG00000014704
amphiprion_ocellaris ENSAOCG00000002069
acanthochromis_polyacanthus ENSAPOG00000019471
acanthochromis_polyacanthus ENSAPOG00000023651
acanthochromis_polyacanthus ENSAPOG00000008408
stegastes_partitus ENSSPAG00000020760
mastacembelus_armatus ENSMAMG00000014117
monopterus_albus ENSMALG00000009160
anabas_testudineus ENSATEG00000000045
seriola_lalandi_dorsalis ENSSLDG00000019350
seriola_dumerili ENSSDUG00000008117
labrus_bergylta ENSLBEG00000026138
labrus_bergylta ENSLBEG00000007058
gasterosteus_aculeatus ENSGACG00000001844
periophthalmus_magnuspinnatus ENSPMGG00000024058
hippocampus_comes ENSHCOG00000001684
pygocentrus_nattereri ENSPNAG00000010609
astyanax_mexicanus ENSAMXG00000014180
ictalurus_punctatus ENSIPUG00000005459
danio_rerio ENSDARG00000000729
paramormyrops_kingsleyae ENSPKIG00000019957
scleropages_formosus ENSSFOG00015009918
lepisosteus_oculatus ENSLOCG00000000498
petromyzon_marinus ENSPMAG00000004354
eptatretus_burgeri ENSEBUG00000012953
drosophila_melanogaster FBgn0031820
