notechis_scutatus ENSNSUG00000017760
pogona_vitticeps ENSPVIG00000003087
salvator_merianae ENSSMRG00000019534
sphenodon_punctatus ENSSPUG00000018838
chelonoidis_abingdonii ENSCABG00000016855
gopherus_agassizii ENSGAGG00000020830
chrysemys_picta_bellii ENSCPBG00000027508
pelodiscus_sinensis ENSPSIG00000003518
zonotrichia_albicollis ENSZALG00000003720
calidris_pygmaea ENSCPGG00000018562
calidris_pugnax ENSCPUG00000006250
lepidothrix_coronata ENSLCOG00000010095
manacus_vitellinus ENSMVIG00005005794
serinus_canaria ENSSCAG00000014305
junco_hyemalis ENSJHYG00000014196
ficedula_albicollis ENSFALG00000005506
taeniopygia_guttata ENSTGUG00000006609
lonchura_striata_domestica ENSLSDG00000006765
parus_major ENSPMJG00000006910
cyanistes_caeruleus ENSCCEG00000000538
gallus_gallus ENSGALG00000030291
coturnix_japonica ENSCJPG00005005811
numida_meleagris ENSNMEG00000016326
nothoprocta_perdicaria ENSNPEG00000007706
melopsittacus_undulatus ENSMUNG00000003368
anas_platyrhynchos_platyrhynchos ENSAPLG00000029881
dromaius_novaehollandiae ENSDNVG00000004165
zonotrichia_albicollis ENSZALG00000003723
apteryx_rowi ENSARWG00000009784
anser_brachyrhynchus ENSABRG00000021029
anas_platyrhynchos_platyrhynchos ENSAPLG00000018379
meleagris_gallopavo ENSMGAG00000006536
apteryx_haastii ENSAHAG00000012625
apteryx_owenii ENSAOWG00000002451
crocodylus_porosus ENSCPRG00005007725
anolis_carolinensis ENSACAG00000004016
phascolarctos_cinereus ENSPCIG00000008216
sarcophilus_harrisii ENSSHAG00000012864
monodelphis_domestica ENSMODG00000019483
equus_asinus_asinus ENSEASG00005003684
equus_caballus ENSECAG00000017381
canis_lupus_familiaris ENSCAFG00000007099
canis_lupus_dingo ENSCAFG00020004273
vulpes_vulpes ENSVVUG00000008503
ursus_americanus ENSUAMG00000023485
panthera_pardus ENSPPRG00000000924
dasypus_novemcinctus ENSDNOG00000030863
loxodonta_africana ENSLAFG00000030530
mustela_putorius_furo ENSMPUG00000017895
neovison_vison ENSNVIG00000019059
ailuropoda_melanoleuca ENSAMEG00000013647
bos_taurus ENSBTAG00000031214
capra_hircus ENSCHIG00000027084
bison_bison_bison ENSBBBG00000001686
bos_mutus ENSBMUG00000014870
ovis_aries ENSOARG00000001815
prolemur_simus ENSPSMG00000003676
otolemur_garnettii ENSOGAG00000025232
castor_canadensis ENSCCNG00000018800
urocitellus_parryii ENSUPAG00010019141
ictidomys_tridecemlineatus ENSSTOG00000027141
marmota_marmota_marmota ENSMMMG00000023783
spermophilus_dauricus ENSSDAG00000009999
xenopus_tropicalis ENSXETG00000002549
latimeria_chalumnae ENSLACG00000007228
scleropages_formosus ENSSFOG00015004502
paramormyrops_kingsleyae ENSPKIG00000018414
scleropages_formosus ENSSFOG00015020578
paramormyrops_kingsleyae ENSPKIG00000025438
pygocentrus_nattereri ENSPNAG00000011220
astyanax_mexicanus ENSAMXG00000032414
ictalurus_punctatus ENSIPUG00000014604
danio_rerio ENSDARG00000027658
mastacembelus_armatus ENSMAMG00000024116
monopterus_albus ENSMALG00000022207
anabas_testudineus ENSATEG00000015753
seriola_lalandi_dorsalis ENSSLDG00000012207
seriola_dumerili ENSSDUG00000022811
amphiprion_percula ENSAPEG00000013982
amphiprion_ocellaris ENSAOCG00000006804
acanthochromis_polyacanthus ENSAPOG00000010188
stegastes_partitus ENSSPAG00000018996
pundamilia_nyererei ENSPNYG00000021778
maylandia_zebra ENSMZEG00005025986
haplochromis_burtoni ENSHBUG00000007607
neolamprologus_brichardi ENSNBRG00000022314
oreochromis_niloticus ENSONIG00000017148
amphilophus_citrinellus ENSACIG00000003233
fundulus_heteroclitus ENSFHEG00000003215
cyprinodon_variegatus ENSCVAG00000012497
xiphophorus_maculatus ENSXMAG00000017848
xiphophorus_couchianus ENSXCOG00000011442
gambusia_affinis ENSGAFG00000015256
poecilia_formosa ENSPFOG00000009490
poecilia_mexicana ENSPMEG00000023175
poecilia_latipinna ENSPLAG00000018876
poecilia_reticulata ENSPREG00000007944
poecilia_latipinna ENSPLAG00000008426
poecilia_mexicana ENSPMEG00000004129
kryptolebias_marmoratus ENSKMAG00000013286
oryzias_latipes ENSORLG00000011745
oryzias_latipes_asm223469v1 ENSORLG00015013673
oryzias_latipes ENSORLG00020018605
oryzias_melastigma ENSOMEG00000007467
tetraodon_nigroviridis ENSTNIG00000012613
takifugu_rubripes ENSTRUG00000002917
mola_mola ENSMMOG00000017309
labrus_bergylta ENSLBEG00000007684
gasterosteus_aculeatus ENSGACG00000015123
scophthalmus_maximus ENSSMAG00000020987
cynoglossus_semilaevis ENSCSEG00000020654
periophthalmus_magnuspinnatus ENSPMGG00000014270
hippocampus_comes ENSHCOG00000018699
gadus_morhua ENSGMOG00000002737
esox_lucius ENSELUG00000016496
lepisosteus_oculatus ENSLOCG00000003532
eptatretus_burgeri ENSEBUG00000014851
eptatretus_burgeri ENSEBUG00000016339
