melopsittacus_undulatus ENSMUNG00000007700
calidris_pugnax ENSCPUG00000005827
zonotrichia_albicollis ENSZALG00000004469
anas_platyrhynchos_platyrhynchos ENSAPLG00000026368
anser_brachyrhynchus ENSABRG00000009104
apteryx_rowi ENSARWG00000011420
apteryx_owenii ENSAOWG00000003992
nothoprocta_perdicaria ENSNPEG00000007200
anas_platyrhynchos_platyrhynchos ENSAPLG00000024126
crocodylus_porosus ENSCPRG00005008186
gopherus_agassizii ENSGAGG00000011934
pogona_vitticeps ENSPVIG00000017455
pogona_vitticeps ENSPVIG00000017279
anolis_carolinensis ENSACAG00000022243
notechis_scutatus ENSNSUG00000004872
