lonchura_striata ENSLSDG00000009991
taeniopygia_guttata ENSTGUG00000016861
serinus_canaria ENSSCAG00000014044
junco_hyemalis ENSJHYG00000010088
zonotrichia_albicollis ENSZALG00000005653
ficedula_albicollis ENSFALG00000006218
parus_major ENSPMJG00000009577
cyanistes_caeruleus ENSCCEG00000021483
cyanistes_caeruleus ENSCCEG00000021482
serinus_canaria ENSSCAG00000014039
zonotrichia_albicollis ENSZALG00000004393
junco_hyemalis ENSJHYG00000010092
manacus_vitellinus ENSMVIG00005000562
manacus_vitellinus ENSMVIG00005000599
coturnix_japonica ENSCJPG00005006946
calidris_pygmaea ENSCPGG00000004497
calidris_pugnax ENSCPUG00000017048
manacus_vitellinus ENSMVIG00005000616
manacus_vitellinus ENSMVIG00005000634
lepidothrix_coronata ENSLCOG00000001901
manacus_vitellinus ENSMVIG00005000647
calidris_pugnax ENSCPUG00000017049
gallus_gallus ENSGALG00000020160
gallus_gallus ENSGALG00000054856
coturnix_japonica ENSCJPG00005006947
apteryx_haastii ENSAHAG00000013938
apteryx_rowi ENSARWG00000017575
apteryx_owenii ENSAOWG00000005984
dromaius_novaehollandiae ENSDNVG00000007906
loxodonta_africana ENSLAFG00000008679
ochotona_princeps ENSOPRG00000008178
heterocephalus_glaber ENSHGLG00000000047
heterocephalus_glaber ENSHGLG00100000358
fukomys_damarensis ENSFDAG00000001212
chinchilla_lanigera ENSCLAG00000002336
cavia_porcellus ENSCPOG00000039571
cavia_porcellus ENSCPOG00000031473
cavia_porcellus ENSCPOG00000023631
cavia_aperea ENSCAPG00000007233
cavia_porcellus ENSCPOG00000039448
marmota_marmota ENSMMMG00000008181
ictidomys_tridecemlineatus ENSSTOG00000026896
urocitellus_parryii ENSUPAG00010012864
urocitellus_parryii ENSUPAG00010012877
spermophilus_dauricus ENSSDAG00000012687
spermophilus_dauricus ENSSDAG00000013386
cricetulus_griseus ENSCGRG00000005815
cricetulus_griseus ENSCGRG00015008884
cricetulus_griseus ENSCGRG00001012224
mesocricetus_auratus ENSMAUG00000006587
peromyscus_maniculatus ENSPEMG00000006239
microtus_ochrogaster ENSMOCG00000018561
meriones_unguiculatus ENSMUGG00000025363
oryctolagus_cuniculus ENSOCUG00000037547
ochotona_princeps ENSOPRG00000015346
myotis_lucifugus ENSMLUG00000022192
ovis_aries ENSOARG00000015647
capra_hircus ENSCHIG00000011302
bison_bison ENSBBBG00000005881
bos_mutus ENSBMUG00000018091
bos_taurus ENSBTAG00000006986
sus_scrofa ENSSSCG00000035409
myotis_lucifugus ENSMLUG00000026734
ursus_americanus ENSUAMG00000028216
ursus_maritimus ENSUMAG00000005025
ailuropoda_melanoleuca ENSAMEG00000002000
mustela_putorius ENSMPUG00000009625
neovison_vison ENSNVIG00000004236
canis_lupus ENSCAFG00000025260
canis_lupus ENSCAFG00020003317
vulpes_vulpes ENSVVUG00000007870
panthera_pardus ENSPPRG00000012847
panthera_tigris ENSPTIG00000022011
felis_catus ENSFCAG00000023025
equus_caballus ENSECAG00000039123
mus_musculus ENSMUSG00000053054
mus_spretus MGP_SPRETEiJ_G0026635
mus_spicilegus ENSMSIG00000010237
mus_caroli MGP_CAROLIEiJ_G0025680
mus_pahari MGP_PahariEiJ_G0027129
rattus_norvegicus ENSRNOG00000012281
meriones_unguiculatus ENSMUGG00000025359
peromyscus_maniculatus ENSPEMG00000000326
microtus_ochrogaster ENSMOCG00000016098
cricetulus_griseus ENSCGRG00015008868
cricetulus_griseus ENSCGRG00000009000
cricetulus_griseus ENSCGRG00001013383
mesocricetus_auratus ENSMAUG00000007729
nannospalax_galili ENSNGAG00000013297
fukomys_damarensis ENSFDAG00000001783
castor_canadensis ENSCCNG00000012775
dipodomys_ordii ENSDORG00000026496
oryctolagus_cuniculus ENSOCUG00000029646
loxodonta_africana ENSLAFG00000025758
echinops_telfairi ENSETEG00000005633
vombatus_ursinus ENSVURG00010001435
vombatus_ursinus ENSVURG00010001475
phascolarctos_cinereus ENSPCIG00000035356
phascolarctos_cinereus ENSPCIG00000036569
sarcophilus_harrisii ENSSHAG00000004291
sarcophilus_harrisii ENSSHAG00000005258
monodelphis_domestica ENSMODG00000020714
ornithorhynchus_anatinus ENSOANG00000000234
