xenopus_tropicalis ENSXETG00000016632
erpetoichthys_calabaricus ENSECRG00000015564
scleropages_formosus ENSSFOG00015016005
paramormyrops_kingsleyae ENSPKIG00000013481
hucho_hucho ENSHHUG00000016840
larimichthys_crocea ENSLCRG00005023071
labrus_bergylta ENSLBEG00000017850
cottoperca_gobio ENSCGOG00000013483
gasterosteus_aculeatus ENSGACG00000003151
seriola_dumerili ENSSDUG00000015017
seriola_lalandi ENSSLDG00000004062
lates_calcarifer ENSLCAG00010012572
scophthalmus_maximus ENSSMAG00000014316
mastacembelus_armatus ENSMAMG00000001143
monopterus_albus ENSMALG00000021787
anabas_testudineus ENSATEG00000010432
betta_splendens ENSBSLG00000001285
amphiprion_ocellaris ENSAOCG00000017760
acanthochromis_polyacanthus ENSAPOG00000024441
amphiprion_percula ENSAPEG00000019833
stegastes_partitus ENSSPAG00000019189
parambassis_ranga ENSPRNG00000026214
maylandia_zebra ENSMZEG00005021927
pundamilia_nyererei ENSPNYG00000003660
haplochromis_burtoni ENSHBUG00000018142
astatotilapia_calliptera ENSACLG00000026495
neolamprologus_brichardi ENSNBRG00000023105
oreochromis_niloticus ENSONIG00000014123
amphilophus_citrinellus ENSACIG00000021765
fundulus_heteroclitus ENSFHEG00000016706
cyprinodon_variegatus ENSCVAG00000008087
poecilia_latipinna ENSPLAG00000009350
gambusia_affinis ENSGAFG00000007297
xiphophorus_maculatus ENSXMAG00000009914
xiphophorus_couchianus ENSXCOG00000009566
poecilia_mexicana ENSPMEG00000017345
poecilia_latipinna ENSPLAG00000002706
poecilia_reticulata ENSPREG00000019351
poecilia_formosa ENSPFOG00000008071
kryptolebias_marmoratus ENSKMAG00000009153
gouania_willdenowi ENSGWIG00000016548
takifugu_rubripes ENSTRUG00000003969
tetraodon_nigroviridis ENSTNIG00000012716
mola_mola ENSMMOG00000002950
cynoglossus_semilaevis ENSCSEG00000016558
oryzias_latipes ENSORLG00015014114
oryzias_latipes ENSORLG00020014221
oryzias_latipes ENSORLG00000008885
oryzias_melastigma ENSOMEG00000007387
periophthalmus_magnuspinnatus ENSPMGG00000023742
hippocampus_comes ENSHCOG00000018055
gadus_morhua ENSGMOG00000015383
hucho_hucho ENSHHUG00000040724
hucho_hucho ENSHHUG00000034673
esox_lucius ENSELUG00000013968
clupea_harengus ENSCHAG00000015572
astyanax_mexicanus ENSAMXG00005016092
astyanax_mexicanus ENSAMXG00000014535
pygocentrus_nattereri ENSPNAG00000025089
electrophorus_electricus ENSEEEG00000022220
ictalurus_punctatus ENSIPUG00000010456
danio_rerio ENSDARG00000016496
denticeps_clupeoides ENSDCDG00000009577
denticeps_clupeoides ENSDCDG00000009568
astyanax_mexicanus ENSAMXG00000029180
poecilia_mexicana ENSPMEG00000007669
takifugu_rubripes ENSTRUG00000021852
chrysemys_picta ENSCPBG00000006482
parus_major ENSPMJG00000015294
sphenodon_punctatus ENSSPUG00000005061
denticeps_clupeoides ENSDCDG00000023870
lepisosteus_oculatus ENSLOCG00000004124
lonchura_striata ENSLSDG00000000446
sphenodon_punctatus ENSSPUG00000011197
sphenodon_punctatus ENSSPUG00000011209
meleagris_gallopavo ENSMGAG00000015108
lonchura_striata ENSLSDG00000014887
chrysemys_picta ENSCPBG00000020495
gopherus_agassizii ENSGAGG00000021042
crocodylus_porosus ENSCPRG00005012631
gallus_gallus ENSGALG00000017104
coturnix_japonica ENSCJPG00005000850
numida_meleagris ENSNMEG00000019388
anser_brachyrhynchus ENSABRG00000020224
anas_platyrhynchos ENSAPLG00000009252
zonotrichia_albicollis ENSZALG00000011658
cyanistes_caeruleus ENSCCEG00000023794
taeniopygia_guttata ENSTGUG00000011534
serinus_canaria ENSSCAG00000006481
parus_major ENSPMJG00000017492
junco_hyemalis ENSJHYG00000011346
ficedula_albicollis ENSFALG00000008659
lepidothrix_coronata ENSLCOG00000003731
melopsittacus_undulatus ENSMUNG00000005051
dromaius_novaehollandiae ENSDNVG00000005263
nothoprocta_perdicaria ENSNPEG00000009975
manacus_vitellinus ENSMVIG00005000842
calidris_pugnax ENSCPUG00000013461
apteryx_owenii ENSAOWG00000016373
apteryx_rowi ENSARWG00000010299
apteryx_haastii ENSAHAG00000011974
canis_lupus ENSCAFG00020025319
ursus_americanus ENSUAMG00000027808
tupaia_belangeri ENSTBEG00000015874
pelodiscus_sinensis ENSPSIG00000010808
chelonoidis_abingdonii ENSCABG00000000659
gopherus_agassizii ENSGAGG00000012060
latimeria_chalumnae ENSLACG00000018134
erpetoichthys_calabaricus ENSECRG00000008109
propithecus_coquereli ENSPCOG00000018549
lonchura_striata ENSLSDG00000000431
anolis_carolinensis ENSACAG00000003031
pogona_vitticeps ENSPVIG00000021273
notechis_scutatus ENSNSUG00000013378
salvator_merianae ENSSMRG00000013133
phascolarctos_cinereus ENSPCIG00000017352
vombatus_ursinus ENSVURG00010020617
notamacropus_eugenii ENSMEUG00000004233
sarcophilus_harrisii ENSSHAG00000012149
monodelphis_domestica ENSMODG00000008753
mus_spicilegus ENSMSIG00000024179
echinops_telfairi ENSETEG00000012793
erinaceus_europaeus ENSEEUG00000005196
sorex_araneus ENSSARG00000006584
myotis_lucifugus ENSMLUG00000009176
ursus_maritimus ENSUMAG00000016849
ailuropoda_melanoleuca ENSAMEG00000001794
neovison_vison ENSNVIG00000024505
mustela_putorius ENSMPUG00000001222
canis_lupus ENSCAFG00000006870
vulpes_vulpes ENSVVUG00000009115
felis_catus ENSFCAG00000027073
panthera_pardus ENSPPRG00000023432
equus_caballus ENSECAG00000015515
equus_asinus ENSEASG00005022522
bos_indicus ENSBIXG00005009401
bos_indicus ENSBIXG00000029896
bos_taurus ENSBTAG00000016737
bos_mutus ENSBMUG00000023385
bison_bison ENSBBBG00000001797
capra_hircus ENSCHIG00000006655
ovis_aries ENSOARG00000012732
vicugna_pacos ENSVPAG00000006155
pteropus_vampyrus ENSPVAG00000012267
sus_scrofa ENSSSCG00000009298
ursus_americanus ENSUAMG00000027806
pan_paniscus ENSPPAG00000035126
pan_troglodytes ENSPTRG00000005724
gorilla_gorilla ENSGGOG00000006569
homo_sapiens ENSG00000132964
pongo_abelii ENSPPYG00000005229
nomascus_leucogenys ENSNLEG00000014010
macaca_nemestrina ENSMNEG00000031167
macaca_fascicularis ENSMFAG00000003010
chlorocebus_sabaeus ENSCSAG00000017989
papio_anubis ENSPANG00000001990
cercocebus_atys ENSCATG00000021984
mandrillus_leucophaeus ENSMLEG00000040071
colobus_angolensis ENSCANG00000032541
piliocolobus_tephrosceles ENSPTEG00000017464
rhinopithecus_bieti ENSRBIG00000040781
rhinopithecus_roxellana ENSRROG00000041981
cebus_capucinus ENSCCAG00000037833
saimiri_boliviensis ENSSBOG00000031790
callithrix_jacchus ENSCJAG00000019296
aotus_nancymaae ENSANAG00000019361
carlito_syrichta ENSTSYG00000007096
prolemur_simus ENSPSMG00000007790
microcebus_murinus ENSMICG00000012312
otolemur_garnettii ENSOGAG00000006569
castor_canadensis ENSCCNG00000022904
dipodomys_ordii ENSDORG00000011151
mesocricetus_auratus ENSMAUG00000013390
mesocricetus_auratus ENSMAUG00000008740
cricetulus_griseus ENSCGRG00015016442
cricetulus_griseus ENSCGRG00000012618
cricetulus_griseus ENSCGRG00001010747
peromyscus_maniculatus ENSPEMG00000012706
microtus_ochrogaster ENSMOCG00000021837
microtus_ochrogaster ENSMOCG00000013164
mus_musculus ENSMUSG00000029635
mus_caroli MGP_CAROLIEiJ_G0028025
mus_pahari MGP_PahariEiJ_G0024591
mus_spretus MGP_SPRETEiJ_G0029023
nannospalax_galili ENSNGAG00000013202
jaculus_jaculus ENSJJAG00000009532
octodon_degus ENSODEG00000006456
chinchilla_lanigera ENSCLAG00000003311
cavia_porcellus ENSCPOG00000040435
heterocephalus_glaber ENSHGLG00100004559
heterocephalus_glaber ENSHGLG00000007563
fukomys_damarensis ENSFDAG00000009809
spermophilus_dauricus ENSSDAG00000017543
ictidomys_tridecemlineatus ENSSTOG00000026916
marmota_marmota ENSMMMG00000012348
urocitellus_parryii ENSUPAG00010006034
ictidomys_tridecemlineatus ENSSTOG00000016568
oryctolagus_cuniculus ENSOCUG00000015595
ochotona_princeps ENSOPRG00000001510
loxodonta_africana ENSLAFG00000006771
procavia_capensis ENSPCAG00000016926
panthera_tigris ENSPTIG00000021301
tursiops_truncatus ENSTTRG00000016195
myotis_lucifugus ENSMLUG00000028130
macaca_mulatta ENSMMUG00000014841
theropithecus_gelada ENSTGEG00000019600
octodon_degus ENSODEG00000001953
dasypus_novemcinctus ENSDNOG00000014148
choloepus_hoffmanni ENSCHOG00000001443
ornithorhynchus_anatinus ENSOANG00000009050
callorhinchus_milii ENSCMIG00000009216
