tursiops_truncatus ENSTTRG00000011444
pteropus_vampyrus ENSPVAG00000006058
panthera_pardus ENSPPRG00000006809
panthera_tigris_altaica ENSPTIG00000010013
neovison_vison ENSNVIG00000020091
mustela_putorius_furo ENSMPUG00000006544
vulpes_vulpes ENSVVUG00000020176
bos_taurus ENSBTAG00000052688
bison_bison_bison ENSBBBG00000011028
capra_hircus ENSCHIG00000010129
sus_scrofa ENSSSCG00000040952
sorex_araneus ENSSARG00000001140
equus_caballus ENSECAG00000018504
equus_asinus_asinus ENSEASG00005001818
dasypus_novemcinctus ENSDNOG00000011661
pan_troglodytes ENSPTRG00000004448
pan_paniscus ENSPPAG00000027567
gorilla_gorilla ENSGGOG00000003861
homo_sapiens ENSG00000171053
pongo_abelii ENSPPYG00000004037
nomascus_leucogenys ENSNLEG00000007455
macaca_fascicularis ENSMFAG00000000989
macaca_nemestrina ENSMNEG00000034376
macaca_mulatta ENSMMUG00000020210
theropithecus_gelada ENSTGEG00000028083
cercocebus_atys ENSCATG00000044754
papio_anubis ENSPANG00000029882
mandrillus_leucophaeus ENSMLEG00000028089
chlorocebus_sabaeus ENSCSAG00000002287
piliocolobus_tephrosceles ENSPTEG00000003899
colobus_angolensis_palliatus ENSCANG00000031379
rhinopithecus_bieti ENSRBIG00000034227
rhinopithecus_roxellana ENSRROG00000027207
cebus_capucinus ENSCCAG00000029626
saimiri_boliviensis_boliviensis ENSSBOG00000031534
aotus_nancymaae ENSANAG00000029432
carlito_syrichta ENSTSYG00000012354
microcebus_murinus ENSMICG00000001520
prolemur_simus ENSPSMG00000023807
propithecus_coquereli ENSPCOG00000013344
otolemur_garnettii ENSOGAG00000013405
cricetulus_griseus_chok1gshd ENSCGRG00001001631
cricetulus_griseus_crigri ENSCGRG00000016967
cricetulus_griseus_crigri-picr ENSCGRG00015008485
mesocricetus_auratus ENSMAUG00000016736
microtus_ochrogaster ENSMOCG00000021037
peromyscus_maniculatus_bairdii ENSPEMG00000011105
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033086
mus_spicilegus ENSMSIG00000015851
mus_musculus ENSMUSG00000091215
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031962
mus_pahari MGP_PahariEiJ_G0014827
rattus_norvegicus ENSRNOG00000049600
meriones_unguiculatus ENSMUGG00000026189
nannospalax_galili ENSNGAG00000006866
jaculus_jaculus ENSJJAG00000018220
dipodomys_ordii ENSDORG00000009056
chinchilla_lanigera ENSCLAG00000017379
octodon_degus ENSODEG00000004044
fukomys_damarensis ENSFDAG00000011309
cavia_aperea ENSCAPG00000016583
cavia_porcellus ENSCPOG00000030186
urocitellus_parryii ENSUPAG00010023842
spermophilus_dauricus ENSSDAG00000004359
marmota_marmota_marmota ENSMMMG00000001290
ictidomys_tridecemlineatus ENSSTOG00000014544
procavia_capensis ENSPCAG00000011854
echinops_telfairi ENSETEG00000000464
choloepus_hoffmanni ENSCHOG00000003985
ornithorhynchus_anatinus ENSOANG00000022699
