poecilia_reticulata ENSPREG00000002521
cyprinodon_variegatus ENSCVAG00000009845
mola_mola ENSMMOG00000009442
cyprinodon_variegatus ENSCVAG00000019197
esox_lucius ENSELUG00000006087
calidris_pygmaea ENSCPGG00000005728
calidris_pugnax ENSCPUG00000007439
crocodylus_porosus ENSCPRG00005013239
salvator_merianae ENSSMRG00000022595
pygocentrus_nattereri ENSPNAG00000021196
pygocentrus_nattereri ENSPNAG00000004144
scleropages_formosus ENSSFOG00015013804
crocodylus_porosus ENSCPRG00005009847
nothoprocta_perdicaria ENSNPEG00000004765
chelonoidis_abingdonii ENSCABG00000007173
gopherus_agassizii ENSGAGG00000014482
