canis_lupus_dingo ENSCAFG00020011557
vulpes_vulpes ENSVVUG00000015346
ursus_maritimus ENSUMAG00000001995
panthera_tigris_altaica ENSPTIG00000005673
panthera_pardus ENSPPRG00000019022
bos_mutus ENSBMUG00000006103
bos_taurus ENSBTAG00000055011
equus_asinus_asinus ENSEASG00005005463
equus_caballus ENSECAG00000024279
prolemur_simus ENSPSMG00000006156
microcebus_murinus ENSMICG00000033275
otolemur_garnettii ENSOGAG00000006858
pan_troglodytes ENSPTRG00000044690
pan_paniscus ENSPPAG00000012482
gorilla_gorilla ENSGGOG00000027844
homo_sapiens ENSG00000237765
nomascus_leucogenys ENSNLEG00000018958
macaca_fascicularis ENSMFAG00000029225
macaca_mulatta ENSMMUG00000046253
macaca_nemestrina ENSMNEG00000007314
papio_anubis ENSPANG00000032335
theropithecus_gelada ENSTGEG00000026562
mandrillus_leucophaeus ENSMLEG00000001723
cercocebus_atys ENSCATG00000020983
chlorocebus_sabaeus ENSCSAG00000019698
rhinopithecus_roxellana ENSRROG00000008279
rhinopithecus_bieti ENSRBIG00000030919
colobus_angolensis_palliatus ENSCANG00000037560
piliocolobus_tephrosceles ENSPTEG00000037717
callithrix_jacchus ENSCJAG00000048330
tupaia_belangeri ENSTBEG00000003361
labrus_bergylta ENSLBEG00000013096
