lates_calcarifer ENSLCAG00010022781
seriola_dumerili ENSSDUG00000011406
betta_splendens ENSBSLG00000017051
monopterus_albus ENSMALG00000002543
cottoperca_gobio ENSCGOG00000015349
mola_mola ENSMMOG00000006138
neolamprologus_brichardi ENSNBRG00000003121
gouania_willdenowi ENSGWIG00000009648
parambassis_ranga ENSPRNG00000021283
xiphophorus_couchianus ENSXCOG00000007319
periophthalmus_magnuspinnatus ENSPMGG00000011068
hucho_hucho ENSHHUG00000052454
clupea_harengus ENSCHAG00000014652
denticeps_clupeoides ENSDCDG00000019854
clupea_harengus ENSCHAG00000013767
electrophorus_electricus ENSEEEG00000000850
hucho_hucho ENSHHUG00000034931
esox_lucius ENSELUG00000003225
haplochromis_burtoni ENSHBUG00000012175
maylandia_zebra ENSMZEG00005009760
stegastes_partitus ENSSPAG00000009370
gasterosteus_aculeatus ENSGACG00000004339
paramormyrops_kingsleyae ENSPKIG00000003693
cavia_aperea ENSCAPG00000010019
octodon_degus ENSODEG00000007680
mesocricetus_auratus ENSMAUG00000016699
microtus_ochrogaster ENSMOCG00000004988
meriones_unguiculatus ENSMUGG00000012539
nannospalax_galili ENSNGAG00000016460
ornithorhynchus_anatinus ENSOANG00000008112
notechis_scutatus ENSNSUG00000019988
