haplochromis_burtoni ENSHBUG00000004998
neolamprologus_brichardi ENSNBRG00000015400
amphilophus_citrinellus ENSACIG00000004424
amphiprion_percula ENSAPEG00000006652
xiphophorus_maculatus ENSXMAG00000028159
fundulus_heteroclitus ENSFHEG00000006059
kryptolebias_marmoratus ENSKMAG00000019018
monopterus_albus ENSMALG00000022621
oryzias_latipes_asm223469v1 ENSORLG00015009054
oryzias_latipes ENSORLG00020013155
scleropages_formosus ENSSFOG00015015738
gopherus_agassizii ENSGAGG00000007822
chelonoidis_abingdonii ENSCABG00000013674
apteryx_owenii ENSAOWG00000016948
calidris_pugnax ENSCPUG00000009548
salvator_merianae ENSSMRG00000014463
notechis_scutatus ENSNSUG00000007691
phascolarctos_cinereus ENSPCIG00000006860
eptatretus_burgeri ENSEBUG00000009111
ciona_savignyi ENSCSAVG00000005140
ciona_savignyi ENSCSAVG00000006071
ciona_intestinalis ENSCING00000018750
ciona_intestinalis ENSCING00000005028
ciona_savignyi ENSCSAVG00000002273
ciona_intestinalis ENSCING00000005210
ciona_savignyi ENSCSAVG00000003613
