maylandia_zebra ENSMZEG00005024499
pundamilia_nyererei ENSPNYG00000004624
astatotilapia_calliptera ENSACLG00000023797
haplochromis_burtoni ENSHBUG00000006739
neolamprologus_brichardi ENSNBRG00000000859
amphilophus_citrinellus ENSACIG00000020401
xiphophorus_maculatus ENSXMAG00000007903
xiphophorus_couchianus ENSXCOG00000016112
gambusia_affinis ENSGAFG00000015890
poecilia_formosa ENSPFOG00000000372
poecilia_latipinna ENSPLAG00000008184
poecilia_mexicana ENSPMEG00000020169
poecilia_reticulata ENSPREG00000017410
fundulus_heteroclitus ENSFHEG00000017181
cyprinodon_variegatus ENSCVAG00000001935
kryptolebias_marmoratus ENSKMAG00000005891
amphiprion_percula ENSAPEG00000021049
amphiprion_ocellaris ENSAOCG00000004402
acanthochromis_polyacanthus ENSAPOG00000023167
stegastes_partitus ENSSPAG00000022048
monopterus_albus ENSMALG00000009810
mastacembelus_armatus ENSMAMG00000023460
anabas_testudineus ENSATEG00000007641
anabas_testudineus ENSATEG00000007556
tetraodon_nigroviridis ENSTNIG00000007344
takifugu_rubripes ENSTRUG00000015201
mola_mola ENSMMOG00000010172
labrus_bergylta ENSLBEG00000009842
scophthalmus_maximus ENSSMAG00000017221
cynoglossus_semilaevis ENSCSEG00000008739
seriola_dumerili ENSSDUG00000011169
seriola_lalandi_dorsalis ENSSLDG00000014608
hippocampus_comes ENSHCOG00000012575
oryzias_latipes ENSORLG00020002976
oryzias_latipes_asm223469v1 ENSORLG00015019937
oryzias_latipes ENSORLG00000011531
oryzias_melastigma ENSOMEG00000001144
gadus_morhua ENSGMOG00000014341
paramormyrops_kingsleyae ENSPKIG00000015899
ictalurus_punctatus ENSIPUG00000004928
danio_rerio ENSDARG00000044925
xenopus_tropicalis ENSXETG00000004314
eptatretus_burgeri ENSEBUG00000005915
petromyzon_marinus ENSPMAG00000007185
ciona_savignyi ENSCSAVG00000003853
ciona_intestinalis ENSCING00000020909
drosophila_melanogaster FBgn0037816
caenorhabditis_elegans_strain_n2 WBGene00017776
