mus_musculus ENSMUSG00000001027
mus_spicilegus ENSMSIG00000024972
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017321
mus_pahari MGP_PahariEiJ_G0018451
rattus_norvegicus ENSRNOG00000012134
meriones_unguiculatus ENSMUGG00000017727
cricetulus_griseus_crigri-picr ENSCGRG00015022257
cricetulus_griseus_chok1gshd ENSCGRG00001013865
cricetulus_griseus_crigri ENSCGRG00000017952
mesocricetus_auratus ENSMAUG00000013596
peromyscus_maniculatus_bairdii ENSPEMG00000013778
microtus_ochrogaster ENSMOCG00000019442
nannospalax_galili ENSNGAG00000020304
jaculus_jaculus ENSJJAG00000012708
dipodomys_ordii ENSDORG00000010499
chinchilla_lanigera ENSCLAG00000007693
octodon_degus ENSODEG00000009534
cavia_aperea ENSCAPG00000005974
cavia_porcellus ENSCPOG00000008540
heterocephalus_glaber_female ENSHGLG00000005090
heterocephalus_glaber_male ENSHGLG00100003632
fukomys_damarensis ENSFDAG00000014801
urocitellus_parryii ENSUPAG00010001330
ictidomys_tridecemlineatus ENSSTOG00000009013
marmota_marmota_marmota ENSMMMG00000010268
spermophilus_dauricus ENSSDAG00000009167
castor_canadensis ENSCCNG00000009773
oryctolagus_cuniculus ENSOCUG00000004347
ochotona_princeps ENSOPRG00000015098
erinaceus_europaeus ENSEEUG00000006542
ornithorhynchus_anatinus ENSOANG00000009384
propithecus_coquereli ENSPCOG00000014635
prolemur_simus ENSPSMG00000012187
microcebus_murinus ENSMICG00000010028
otolemur_garnettii ENSOGAG00000008312
pan_paniscus ENSPPAG00000038463
pan_troglodytes ENSPTRG00000009532
gorilla_gorilla ENSGGOG00000012527
homo_sapiens ENSG00000007314
pongo_abelii ENSPPYG00000008537
nomascus_leucogenys ENSNLEG00000015100
macaca_fascicularis ENSMFAG00000035414
macaca_mulatta ENSMMUG00000000580
macaca_nemestrina ENSMNEG00000033583
cercocebus_atys ENSCATG00000034229
mandrillus_leucophaeus ENSMLEG00000039094
theropithecus_gelada ENSTGEG00000023688
papio_anubis ENSPANG00000020724
chlorocebus_sabaeus ENSCSAG00000003980
rhinopithecus_bieti ENSRBIG00000024700
rhinopithecus_roxellana ENSRROG00000035812
colobus_angolensis_palliatus ENSCANG00000022096
piliocolobus_tephrosceles ENSPTEG00000010756
saimiri_boliviensis_boliviensis ENSSBOG00000031432
cebus_capucinus ENSCCAG00000030050
callithrix_jacchus ENSCJAG00000019443
aotus_nancymaae ENSANAG00000029572
ursus_americanus ENSUAMG00000007431
ursus_maritimus ENSUMAG00000017504
ailuropoda_melanoleuca ENSAMEG00000002909
neovison_vison ENSNVIG00000023666
mustela_putorius_furo ENSMPUG00000014784
canis_lupus_familiaris ENSCAFG00000012146
canis_lupus_dingo ENSCAFG00020026598
vulpes_vulpes ENSVVUG00000006165
panthera_tigris_altaica ENSPTIG00000020022
panthera_pardus ENSPPRG00000007037
felis_catus ENSFCAG00000003505
equus_caballus ENSECAG00000005968
equus_asinus_asinus ENSEASG00005014277
myotis_lucifugus ENSMLUG00000012708
pteropus_vampyrus ENSPVAG00000000481
capra_hircus ENSCHIG00000021518
ovis_aries ENSOARG00000014087
bos_mutus ENSBMUG00000006304
bos_taurus ENSBTAG00000004770
bison_bison_bison ENSBBBG00000003281
tursiops_truncatus ENSTTRG00000006995
sus_scrofa ENSSSCG00000017282
echinops_telfairi ENSETEG00000004307
dasypus_novemcinctus ENSDNOG00000045978
tupaia_belangeri ENSTBEG00000001526
carlito_syrichta ENSTSYG00000032255
ornithorhynchus_anatinus ENSOANG00000002274
procavia_capensis ENSPCAG00000002808
loxodonta_africana ENSLAFG00000014434
phascolarctos_cinereus ENSPCIG00000005892
phascolarctos_cinereus ENSPCIG00000032996
notamacropus_eugenii ENSMEUG00000016466
sarcophilus_harrisii ENSSHAG00000013550
monodelphis_domestica ENSMODG00000009735
astatotilapia_calliptera ENSACLG00000020844
maylandia_zebra ENSMZEG00005020392
neolamprologus_brichardi ENSNBRG00000021448
amphilophus_citrinellus ENSACIG00000008549
cyprinodon_variegatus ENSCVAG00000012101
