loxodonta_africana ENSLAFG00000005406
echinops_telfairi ENSETEG00000016080
carlito_syrichta ENSTSYG00000002472
castor_canadensis ENSCCNG00000006880
ursus_americanus ENSUAMG00000005566
ailuropoda_melanoleuca ENSAMEG00000018491
neovison_vison ENSNVIG00000023476
canis_lupus_dingo ENSCAFG00020002839
panthera_pardus ENSPPRG00000022548
panthera_tigris_altaica ENSPTIG00000003571
felis_catus ENSFCAG00000006079
ochotona_princeps ENSOPRG00000001233
erinaceus_europaeus ENSEEUG00000002838
spermophilus_dauricus ENSSDAG00000010597
marmota_marmota_marmota ENSMMMG00000002713
ictidomys_tridecemlineatus ENSSTOG00000006133
urocitellus_parryii ENSUPAG00010011937
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019148
mus_spicilegus ENSMSIG00000013817
mus_musculus ENSMUSG00000058773
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018292
mus_pahari MGP_PahariEiJ_G0019342
mus_spicilegus ENSMSIG00000031470
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023975
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023054
mus_pahari MGP_PahariEiJ_G0014544
rattus_norvegicus ENSRNOG00000060355
meriones_unguiculatus ENSMUGG00000011748
peromyscus_maniculatus_bairdii ENSPEMG00000004979
microtus_ochrogaster ENSMOCG00000022597
cricetulus_griseus_chok1gshd ENSCGRG00001009507
saimiri_boliviensis_boliviensis ENSSBOG00000018709
callithrix_jacchus ENSCJAG00000043977
cebus_capucinus ENSCCAG00000018154
aotus_nancymaae ENSANAG00000031670
pan_paniscus ENSPPAG00000002449
pan_troglodytes ENSPTRG00000017858
gorilla_gorilla ENSGGOG00000001435
homo_sapiens ENSG00000184357
pongo_abelii ENSPPYG00000016354
nomascus_leucogenys ENSNLEG00000018788
mandrillus_leucophaeus ENSMLEG00000011715
theropithecus_gelada ENSTGEG00000003062
papio_anubis ENSPANG00000007462
chlorocebus_sabaeus ENSCSAG00000019078
cercocebus_atys ENSCATG00000016357
macaca_fascicularis ENSMFAG00000005286
macaca_nemestrina ENSMNEG00000015434
piliocolobus_tephrosceles ENSPTEG00000036886
colobus_angolensis_palliatus ENSCANG00000015147
rhinopithecus_roxellana ENSRROG00000018672
pteropus_vampyrus ENSPVAG00000015364
bison_bison_bison ENSBBBG00000004614
bos_mutus ENSBMUG00000007184
capra_hircus ENSCHIG00000000946
vicugna_pacos ENSVPAG00000004289
equus_caballus ENSECAG00000033456
propithecus_coquereli ENSPCOG00000006336
prolemur_simus ENSPSMG00000015534
microcebus_murinus ENSMICG00000044309
otolemur_garnettii ENSOGAG00000027544
octodon_degus ENSODEG00000007819
octodon_degus ENSODEG00000018790
chinchilla_lanigera ENSCLAG00000017511
heterocephalus_glaber_male ENSHGLG00100012236
heterocephalus_glaber_female ENSHGLG00000020815
phascolarctos_cinereus ENSPCIG00000034869
lonchura_striata_domestica ENSLSDG00000002112
danio_rerio ENSDARG00000105502
