salvator_merianae ENSSMRG00000013062
anolis_carolinensis ENSACAG00000008798
gopherus_agassizii ENSGAGG00000018768
chelonoidis_abingdonii ENSCABG00000014220
chrysemys_picta_bellii ENSCPBG00000010715
notamacropus_eugenii ENSMEUG00000004871
phascolarctos_cinereus ENSPCIG00000024418
monodelphis_domestica ENSMODG00000015803
sarcophilus_harrisii ENSSHAG00000014566
bos_taurus ENSBTAG00000005736
bos_mutus ENSBMUG00000007181
bison_bison_bison ENSBBBG00000017500
ovis_aries ENSOARG00000018725
sus_scrofa ENSSSCG00000008570
equus_caballus ENSECAG00000007460
equus_asinus_asinus ENSEASG00005022225
myotis_lucifugus ENSMLUG00000010022
pteropus_vampyrus ENSPVAG00000002839
ursus_americanus ENSUAMG00000008867
ursus_maritimus ENSUMAG00000022277
ailuropoda_melanoleuca ENSAMEG00000002279
neovison_vison ENSNVIG00000011368
mustela_putorius_furo ENSMPUG00000008520
canis_lupus_familiaris ENSCAFG00000004328
canis_lupus_dingo ENSCAFG00020024878
vulpes_vulpes ENSVVUG00000015946
panthera_tigris_altaica ENSPTIG00000002861
panthera_pardus ENSPPRG00000000445
felis_catus ENSFCAG00000009009
erinaceus_europaeus ENSEEUG00000008911
sorex_araneus ENSSARG00000006429
dipodomys_ordii ENSDORG00000008293
castor_canadensis ENSCCNG00000026584
nannospalax_galili ENSNGAG00000018193
jaculus_jaculus ENSJJAG00000016201
mus_spicilegus ENSMSIG00000012893
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028050
mus_musculus ENSMUSG00000067642
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027054
mus_pahari MGP_PahariEiJ_G0029327
rattus_norvegicus ENSRNOG00000024766
meriones_unguiculatus ENSMUGG00000027070
cricetulus_griseus_crigri-picr ENSCGRG00015026586
cricetulus_griseus_crigri ENSCGRG00000007690
cricetulus_griseus_chok1gshd ENSCGRG00001006414
mesocricetus_auratus ENSMAUG00000009372
peromyscus_maniculatus_bairdii ENSPEMG00000019077
heterocephalus_glaber_male ENSHGLG00100003969
heterocephalus_glaber_female ENSHGLG00000008001
fukomys_damarensis ENSFDAG00000009074
cavia_aperea ENSCAPG00000010009
cavia_porcellus ENSCPOG00000000855
chinchilla_lanigera ENSCLAG00000011221
spermophilus_dauricus ENSSDAG00000023686
urocitellus_parryii ENSUPAG00010007600
ictidomys_tridecemlineatus ENSSTOG00000001610
marmota_marmota_marmota ENSMMMG00000021278
oryctolagus_cuniculus ENSOCUG00000012452
ochotona_princeps ENSOPRG00000009469
homo_sapiens ENSG00000173567
pan_troglodytes ENSPTRG00000011734
gorilla_gorilla ENSGGOG00000011154
pongo_abelii ENSPPYG00000012581
nomascus_leucogenys ENSNLEG00000002076
cercocebus_atys ENSCATG00000036098
mandrillus_leucophaeus ENSMLEG00000036680
macaca_fascicularis ENSMFAG00000040027
macaca_mulatta ENSMMUG00000004383
macaca_nemestrina ENSMNEG00000031948
theropithecus_gelada ENSTGEG00000021877
papio_anubis ENSPANG00000016225
piliocolobus_tephrosceles ENSPTEG00000001175
colobus_angolensis_palliatus ENSCANG00000036734
rhinopithecus_bieti ENSRBIG00000035232
rhinopithecus_roxellana ENSRROG00000037215
saimiri_boliviensis_boliviensis ENSSBOG00000033827
cebus_capucinus ENSCCAG00000037267
callithrix_jacchus ENSCJAG00000001491
aotus_nancymaae ENSANAG00000023259
carlito_syrichta ENSTSYG00000008706
propithecus_coquereli ENSPCOG00000019825
prolemur_simus ENSPSMG00000004677
microcebus_murinus ENSMICG00000006761
otolemur_garnettii ENSOGAG00000005448
tupaia_belangeri ENSTBEG00000009683
dasypus_novemcinctus ENSDNOG00000007015
loxodonta_africana ENSLAFG00000005262
procavia_capensis ENSPCAG00000012923
echinops_telfairi ENSETEG00000019216
ornithorhynchus_anatinus ENSOANG00000015827
ornithorhynchus_anatinus ENSOANG00000029943
xenopus_tropicalis ENSXETG00000034341
monopterus_albus ENSMALG00000019140
amphiprion_ocellaris ENSAOCG00000017050
cynoglossus_semilaevis ENSCSEG00000003500
cyprinodon_variegatus ENSCVAG00000018864
fundulus_heteroclitus ENSFHEG00000003199
xiphophorus_maculatus ENSXMAG00000015197
xiphophorus_couchianus ENSXCOG00000003877
poecilia_formosa ENSPFOG00000022589
poecilia_formosa ENSPFOG00000015746
gambusia_affinis ENSGAFG00000018478
oryzias_latipes ENSORLG00000027158
oryzias_latipes_asm223469v1 ENSORLG00015002575
gasterosteus_aculeatus ENSGACG00000011677
mastacembelus_armatus ENSMAMG00000000225
scophthalmus_maximus ENSSMAG00000014481
pygocentrus_nattereri ENSPNAG00000000345
stegastes_partitus ENSSPAG00000011762
amphiprion_ocellaris ENSAOCG00000005462
pundamilia_nyererei ENSPNYG00000020913
astatotilapia_calliptera ENSACLG00000009624
oryzias_latipes_asm223469v1 ENSORLG00015002931
oryzias_latipes ENSORLG00020007807
oryzias_latipes ENSORLG00000015590
oryzias_melastigma ENSOMEG00000012416
gadus_morhua ENSGMOG00000008550
ictalurus_punctatus ENSIPUG00000023826
