mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027245
mus_spicilegus ENSMSIG00000009709
mus_musculus ENSMUSG00000090551
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026276
mus_pahari MGP_PahariEiJ_G0028609
meriones_unguiculatus ENSMUGG00000014539
mesocricetus_auratus ENSMAUG00000007753
peromyscus_maniculatus_bairdii ENSPEMG00000029069
microtus_ochrogaster ENSMOCG00000008572
jaculus_jaculus ENSJJAG00000014019
octodon_degus ENSODEG00000006614
chinchilla_lanigera ENSCLAG00000004470
heterocephalus_glaber_female ENSHGLG00000000345
cavia_porcellus ENSCPOG00000031935
ictidomys_tridecemlineatus ENSSTOG00000032439
theropithecus_gelada ENSTGEG00000004866
piliocolobus_tephrosceles ENSPTEG00000026566
ursus_maritimus ENSUMAG00000022804
ursus_americanus ENSUAMG00000026401
neovison_vison ENSNVIG00000006212
felis_catus ENSFCAG00000032629
equus_asinus_asinus ENSEASG00005014402
equus_caballus ENSECAG00000032332
sus_scrofa ENSSSCG00000003868
