chrysemys_picta_bellii ENSCPBG00000018444
chelonoidis_abingdonii ENSCABG00000015341
taeniopygia_guttata ENSTGUG00000000447
taeniopygia_guttata ENSTGUG00000000449
parus_major ENSPMJG00000004494
ficedula_albicollis ENSFALG00000006661
lepidothrix_coronata ENSLCOG00000005309
calidris_pugnax ENSCPUG00000019167
gallus_gallus ENSGALG00000050406
coturnix_japonica ENSCJPG00005010953
meleagris_gallopavo ENSMGAG00000003836
anser_brachyrhynchus ENSABRG00000020475
dromaius_novaehollandiae ENSDNVG00000018886
nothoprocta_perdicaria ENSNPEG00000008105
apteryx_haastii ENSAHAG00000008831
apteryx_owenii ENSAOWG00000003177
apteryx_rowi ENSARWG00000004340
acanthochromis_polyacanthus ENSAPOG00000001701
mola_mola ENSMMOG00000003582
