heterocephalus_glaber_male ENSHGLG00100014213
heterocephalus_glaber_female ENSHGLG00000005826
cavia_porcellus ENSCPOG00000035741
octodon_degus ENSODEG00000004858
octodon_degus ENSODEG00000014506
chinchilla_lanigera ENSCLAG00000015412
marmota_marmota_marmota ENSMMMG00000006093
castor_canadensis ENSCCNG00000017666
theropithecus_gelada ENSTGEG00000023490
papio_anubis ENSPANG00000030108
macaca_fascicularis ENSMFAG00000004687
pan_troglodytes ENSPTRG00000052797
pan_paniscus ENSPPAG00000027437
nomascus_leucogenys ENSNLEG00000029944
spermophilus_dauricus ENSSDAG00000014993
spermophilus_dauricus ENSSDAG00000014986
spermophilus_dauricus ENSSDAG00000002602
castor_canadensis ENSCCNG00000031368
bos_mutus ENSBMUG00000017474
choloepus_hoffmanni ENSCHOG00000009931
