anolis_carolinensis ENSACAG00000012228
pogona_vitticeps ENSPVIG00000008469
notechis_scutatus ENSNSUG00000004593
salvator_merianae ENSSMRG00000020539
gorilla_gorilla ENSGGOG00000036126
pan_paniscus ENSPPAG00000027787
carlito_syrichta ENSTSYG00000031379
nannospalax_galili ENSNGAG00000015811
jaculus_jaculus ENSJJAG00000012672
dipodomys_ordii ENSDORG00000030200
fukomys_damarensis ENSFDAG00000013151
cavia_porcellus ENSCPOG00000024010
octodon_degus ENSODEG00000016948
bos_taurus ENSBTAG00000013106
capra_hircus ENSCHIG00000010941
sus_scrofa ENSSSCG00000037098
ailuropoda_melanoleuca ENSAMEG00000012934
ursus_maritimus ENSUMAG00000010059
canis_lupus_familiaris ENSCAFG00000029175
dasypus_novemcinctus ENSDNOG00000043886
loxodonta_africana ENSLAFG00000029905
phascolarctos_cinereus ENSPCIG00000017671
ornithorhynchus_anatinus ENSOANG00000030286
latimeria_chalumnae ENSLACG00000006300
