haplochromis_burtoni ENSHBUG00000009536
maylandia_zebra ENSMZEG00005022526
astatotilapia_calliptera ENSACLG00000019485
pundamilia_nyererei ENSPNYG00000023869
astatotilapia_calliptera ENSACLG00000017699
xiphophorus_couchianus ENSXCOG00000002577
xiphophorus_maculatus ENSXMAG00000029060
poecilia_formosa ENSPFOG00000024141
mola_mola ENSMMOG00000004112
labrus_bergylta ENSLBEG00000005914
acanthochromis_polyacanthus ENSAPOG00000009221
seriola_lalandi_dorsalis ENSSLDG00000009441
cynoglossus_semilaevis ENSCSEG00000018876
periophthalmus_magnuspinnatus ENSPMGG00000016800
hippocampus_comes ENSHCOG00000017017
hippocampus_comes ENSHCOG00000017252
labrus_bergylta ENSLBEG00000001639
labrus_bergylta ENSLBEG00000016571
labrus_bergylta ENSLBEG00000014094
labrus_bergylta ENSLBEG00000020002
labrus_bergylta ENSLBEG00000002148
astyanax_mexicanus ENSAMXG00000033471
