monopterus_albus ENSMALG00000015919
mastacembelus_armatus ENSMAMG00000011682
anabas_testudineus ENSATEG00000012740
labrus_bergylta ENSLBEG00000021728
seriola_lalandi_dorsalis ENSSLDG00000013664
seriola_dumerili ENSSDUG00000018699
scophthalmus_maximus ENSSMAG00000000649
fundulus_heteroclitus ENSFHEG00000018613
cyprinodon_variegatus ENSCVAG00000008742
xiphophorus_maculatus ENSXMAG00000015670
xiphophorus_couchianus ENSXCOG00000002031
gambusia_affinis ENSGAFG00000009941
poecilia_formosa ENSPFOG00000004902
poecilia_latipinna ENSPLAG00000017437
poecilia_mexicana ENSPMEG00000000163
poecilia_reticulata ENSPREG00000017483
kryptolebias_marmoratus ENSKMAG00000010160
oryzias_latipes ENSORLG00020014310
oryzias_latipes ENSORLG00000016026
oryzias_latipes_asm223469v1 ENSORLG00015014387
oryzias_melastigma ENSOMEG00000016691
amphiprion_ocellaris ENSAOCG00000019073
amphiprion_percula ENSAPEG00000008585
acanthochromis_polyacanthus ENSAPOG00000004441
stegastes_partitus ENSSPAG00000014362
maylandia_zebra ENSMZEG00005025516
pundamilia_nyererei ENSPNYG00000010110
astatotilapia_calliptera ENSACLG00000027027
neolamprologus_brichardi ENSNBRG00000016676
oreochromis_niloticus ENSONIG00000009967
amphilophus_citrinellus ENSACIG00000013101
gasterosteus_aculeatus ENSGACG00000013861
cynoglossus_semilaevis ENSCSEG00000016144
periophthalmus_magnuspinnatus ENSPMGG00000015034
mola_mola ENSMMOG00000018957
cynoglossus_semilaevis ENSCSEG00000016158
periophthalmus_magnuspinnatus ENSPMGG00000015035
gadus_morhua ENSGMOG00000005927
pygocentrus_nattereri ENSPNAG00000017303
astyanax_mexicanus ENSAMXG00000019245
ictalurus_punctatus ENSIPUG00000009095
danio_rerio ENSDARG00000004167
esox_lucius ENSELUG00000015474
scleropages_formosus ENSSFOG00015017961
lepisosteus_oculatus ENSLOCG00000000209
pogona_vitticeps ENSPVIG00000023515
notechis_scutatus ENSNSUG00000006650
salvator_merianae ENSSMRG00000014596
sphenodon_punctatus ENSSPUG00000012046
apteryx_rowi ENSARWG00000018912
apteryx_owenii ENSAOWG00000017809
dromaius_novaehollandiae ENSDNVG00000006566
apteryx_haastii ENSAHAG00000007451
calidris_pygmaea ENSCPGG00000002506
calidris_pugnax ENSCPUG00000004240
meleagris_gallopavo ENSMGAG00000006778
gallus_gallus ENSGALG00000020884
manacus_vitellinus ENSMVIG00005016412
manacus_vitellinus ENSMVIG00005016410
lepidothrix_coronata ENSLCOG00000002076
junco_hyemalis ENSJHYG00000016735
anas_platyrhynchos_platyrhynchos ENSAPLG00000012274
anser_brachyrhynchus ENSABRG00000014093
numida_meleagris ENSNMEG00000017519
meleagris_gallopavo ENSMGAG00000016716
lonchura_striata_domestica ENSLSDG00000017645
taeniopygia_guttata ENSTGUG00000005031
serinus_canaria ENSSCAG00000012171
zonotrichia_albicollis ENSZALG00000007291
ficedula_albicollis ENSFALG00000002467
cyanistes_caeruleus ENSCCEG00000022778
parus_major ENSPMJG00000019316
nothoprocta_perdicaria ENSNPEG00000000452
coturnix_japonica ENSCJPG00005021511
crocodylus_porosus ENSCPRG00005014424
gopherus_agassizii ENSGAGG00000023483
chrysemys_picta_bellii ENSCPBG00000026633
ornithorhynchus_anatinus ENSOANG00000028544
xenopus_tropicalis ENSXETG00000013257
latimeria_chalumnae ENSLACG00000002880
caenorhabditis_elegans_strain_n2 WBGene00022887
