lepisosteus_oculatus ENSLOCG00000015609
paramormyrops_kingsleyae ENSPKIG00000008347
latimeria_chalumnae ENSLACG00000000399
latimeria_chalumnae ENSLACG00000022494
nannospalax_galili ENSNGAG00000018926
mesocricetus_auratus ENSMAUG00000013058
ursus_maritimus ENSUMAG00000009363
echinops_telfairi ENSETEG00000004986
oryctolagus_cuniculus ENSOCUG00000007004
ochotona_princeps ENSOPRG00000000829
tupaia_belangeri ENSTBEG00000007096
erinaceus_europaeus ENSEEUG00000005449
sorex_araneus ENSSARG00000001403
loxodonta_africana ENSLAFG00000012145
propithecus_coquereli ENSPCOG00000013617
microcebus_murinus ENSMICG00000006125
prolemur_simus ENSPSMG00000025885
otolemur_garnettii ENSOGAG00000017045
otolemur_garnettii ENSOGAG00000029819
macaca_mulatta ENSMMUG00000009496
macaca_nemestrina ENSMNEG00000036663
macaca_fascicularis ENSMFAG00000002202
theropithecus_gelada ENSTGEG00000023097
papio_anubis ENSPANG00000014228
mandrillus_leucophaeus ENSMLEG00000034767
cercocebus_atys ENSCATG00000036827
chlorocebus_sabaeus ENSCSAG00000009738
rhinopithecus_bieti ENSRBIG00000042671
rhinopithecus_roxellana ENSRROG00000030378
piliocolobus_tephrosceles ENSPTEG00000032535
colobus_angolensis_palliatus ENSCANG00000037688
pan_paniscus ENSPPAG00000027998
pan_troglodytes ENSPTRG00000052638
homo_sapiens ENSG00000106477
gorilla_gorilla ENSGGOG00000002423
pongo_abelii ENSPPYG00000018005
nomascus_leucogenys ENSNLEG00000012815
saimiri_boliviensis_boliviensis ENSSBOG00000020133
callithrix_jacchus ENSCJAG00000010737
cebus_capucinus ENSCCAG00000026097
aotus_nancymaae ENSANAG00000027891
aotus_nancymaae ENSANAG00000026861
carlito_syrichta ENSTSYG00000002426
procavia_capensis ENSPCAG00000003686
choloepus_hoffmanni ENSCHOG00000003340
dasypus_novemcinctus ENSDNOG00000033202
ursus_americanus ENSUAMG00000025805
ursus_maritimus ENSUMAG00000009354
ailuropoda_melanoleuca ENSAMEG00000005624
neovison_vison ENSNVIG00000022835
mustela_putorius_furo ENSMPUG00000005094
canis_lupus_familiaris ENSCAFG00000001459
canis_lupus_dingo ENSCAFG00020023395
vulpes_vulpes ENSVVUG00000012513
panthera_pardus ENSPPRG00000000444
panthera_tigris_altaica ENSPTIG00000008103
felis_catus ENSFCAG00000014235
castor_canadensis ENSCCNG00000019043
pteropus_vampyrus ENSPVAG00000014432
myotis_lucifugus ENSMLUG00000015427
equus_asinus_asinus ENSEASG00005008839
equus_caballus ENSECAG00000016501
bos_taurus ENSBTAG00000007413
bos_mutus ENSBMUG00000023916
bison_bison_bison ENSBBBG00000014879
capra_hircus ENSCHIG00000015511
ovis_aries ENSOARG00000005445
tursiops_truncatus ENSTTRG00000002644
sus_scrofa ENSSSCG00000016556
vicugna_pacos ENSVPAG00000010855
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029191
mus_spicilegus ENSMSIG00000021536
mus_musculus ENSMUSG00000029790
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028191
mus_pahari MGP_PahariEiJ_G0021949
rattus_norvegicus ENSRNOG00000010950
meriones_unguiculatus ENSMUGG00000000498
cricetulus_griseus_crigri ENSCGRG00000005852
cricetulus_griseus_chok1gshd ENSCGRG00001003484
cricetulus_griseus_crigri-picr ENSCGRG00015026743
peromyscus_maniculatus_bairdii ENSPEMG00000022114
microtus_ochrogaster ENSMOCG00000013323
nannospalax_galili ENSNGAG00000010883
jaculus_jaculus ENSJJAG00000017848
dipodomys_ordii ENSDORG00000003620
urocitellus_parryii ENSUPAG00010002725
ictidomys_tridecemlineatus ENSSTOG00000026853
marmota_marmota_marmota ENSMMMG00000013323
spermophilus_dauricus ENSSDAG00000014196
chinchilla_lanigera ENSCLAG00000006602
octodon_degus ENSODEG00000014730
cavia_porcellus ENSCPOG00000014753
cavia_porcellus ENSCPOG00000008461
cavia_aperea ENSCAPG00000009073
heterocephalus_glaber_male ENSHGLG00100013706
heterocephalus_glaber_female ENSHGLG00000018237
fukomys_damarensis ENSFDAG00000019657
notamacropus_eugenii ENSMEUG00000009227
phascolarctos_cinereus ENSPCIG00000027466
sarcophilus_harrisii ENSSHAG00000007331
monodelphis_domestica ENSMODG00000014526
ornithorhynchus_anatinus ENSOANG00000011470
anolis_carolinensis ENSACAG00000000932
pogona_vitticeps ENSPVIG00000022563
notechis_scutatus ENSNSUG00000014762
salvator_merianae ENSSMRG00000013189
sphenodon_punctatus ENSSPUG00000001190
anser_brachyrhynchus ENSABRG00000006958
anas_platyrhynchos_platyrhynchos ENSAPLG00000007184
meleagris_gallopavo ENSMGAG00000003164
coturnix_japonica ENSCJPG00005000597
gallus_gallus ENSGALG00000008103
numida_meleagris ENSNMEG00000001118
calidris_pugnax ENSCPUG00000004903
calidris_pygmaea ENSCPGG00000011687
melopsittacus_undulatus ENSMUNG00000009338
taeniopygia_guttata ENSTGUG00000001919
lonchura_striata_domestica ENSLSDG00000007463
serinus_canaria ENSSCAG00000012313
cyanistes_caeruleus ENSCCEG00000004224
parus_major ENSPMJG00000012425
ficedula_albicollis ENSFALG00000005116
manacus_vitellinus ENSMVIG00005006087
lepidothrix_coronata ENSLCOG00000009022
apteryx_haastii ENSAHAG00000019270
apteryx_owenii ENSAOWG00000013676
apteryx_rowi ENSARWG00000000233
nothoprocta_perdicaria ENSNPEG00000015498
dromaius_novaehollandiae ENSDNVG00000006918
crocodylus_porosus ENSCPRG00005002252
chelonoidis_abingdonii ENSCABG00000010032
gopherus_agassizii ENSGAGG00000013889
chrysemys_picta_bellii ENSCPBG00000017505
pelodiscus_sinensis ENSPSIG00000015804
junco_hyemalis ENSJHYG00000017379
nothoprocta_perdicaria ENSNPEG00000015497
chelonoidis_abingdonii ENSCABG00000015306
xenopus_tropicalis ENSXETG00000030628
junco_hyemalis ENSJHYG00000017378
gasterosteus_aculeatus ENSGACG00000009309
cynoglossus_semilaevis ENSCSEG00000021372
labrus_bergylta ENSLBEG00000002893
monopterus_albus ENSMALG00000013231
oryzias_latipes ENSORLG00020007690
oryzias_latipes_asm223469v1 ENSORLG00015022864
oryzias_latipes ENSORLG00000019821
oryzias_melastigma ENSOMEG00000007415
mastacembelus_armatus ENSMAMG00000022899
anabas_testudineus ENSATEG00000003152
seriola_dumerili ENSSDUG00000005092
seriola_lalandi_dorsalis ENSSLDG00000007752
scophthalmus_maximus ENSSMAG00000000469
pundamilia_nyererei ENSPNYG00000002161
astatotilapia_calliptera ENSACLG00000012383
haplochromis_burtoni ENSHBUG00000014619
oreochromis_niloticus ENSONIG00000003885
maylandia_zebra ENSMZEG00005013359
neolamprologus_brichardi ENSNBRG00000014138
amphilophus_citrinellus ENSACIG00000022396
amphiprion_ocellaris ENSAOCG00000007585
amphiprion_percula ENSAPEG00000011599
acanthochromis_polyacanthus ENSAPOG00000024459
stegastes_partitus ENSSPAG00000001078
cyprinodon_variegatus ENSCVAG00000008638
fundulus_heteroclitus ENSFHEG00000010184
xiphophorus_maculatus ENSXMAG00000005016
xiphophorus_couchianus ENSXCOG00000003581
gambusia_affinis ENSGAFG00000004459
poecilia_formosa ENSPFOG00000014618
poecilia_latipinna ENSPLAG00000009699
poecilia_mexicana ENSPMEG00000003802
poecilia_reticulata ENSPREG00000002888
kryptolebias_marmoratus ENSKMAG00000012584
mola_mola ENSMMOG00000008968
hippocampus_comes ENSHCOG00000016070
periophthalmus_magnuspinnatus ENSPMGG00000013047
takifugu_rubripes ENSTRUG00000017093
tetraodon_nigroviridis ENSTNIG00000016053
hippocampus_comes ENSHCOG00000016087
cynoglossus_semilaevis ENSCSEG00000004635
gadus_morhua ENSGMOG00000010629
esox_lucius ENSELUG00000012074
pygocentrus_nattereri ENSPNAG00000026546
astyanax_mexicanus ENSAMXG00000037744
ictalurus_punctatus ENSIPUG00000013607
danio_rerio ENSDARG00000038500
scophthalmus_maximus ENSSMAG00000000451
periophthalmus_magnuspinnatus ENSPMGG00000013042
scleropages_formosus ENSSFOG00015004844
petromyzon_marinus ENSPMAG00000003310
eptatretus_burgeri ENSEBUG00000006443
ciona_intestinalis ENSCING00000009290
ciona_savignyi ENSCSAVG00000001682
