marmota_marmota ENSMMMG00000010399
ictidomys_tridecemlineatus ENSSTOG00000024706
spermophilus_dauricus ENSSDAG00000013883
urocitellus_parryii ENSUPAG00010022182
castor_canadensis ENSCCNG00000006526
cricetulus_griseus ENSCGRG00015020805
cricetulus_griseus ENSCGRG00000014438
cricetulus_griseus ENSCGRG00001015541
mesocricetus_auratus ENSMAUG00000000246
microtus_ochrogaster ENSMOCG00000008049
peromyscus_maniculatus ENSPEMG00000009648
mus_spicilegus ENSMSIG00000023592
mus_spretus MGP_SPRETEiJ_G0017031
mus_musculus ENSMUSG00000020270
mus_caroli MGP_CAROLIEiJ_G0016190
mus_pahari MGP_PahariEiJ_G0017326
rattus_norvegicus ENSRNOG00000027196
meriones_unguiculatus ENSMUGG00000006930
nannospalax_galili ENSNGAG00000001372
jaculus_jaculus ENSJJAG00000017456
chinchilla_lanigera ENSCLAG00000012177
octodon_degus ENSODEG00000001818
cavia_aperea ENSCAPG00000015667
cavia_porcellus ENSCPOG00000006672
heterocephalus_glaber ENSHGLG00100002086
heterocephalus_glaber ENSHGLG00000009367
fukomys_damarensis ENSFDAG00000012156
ochotona_princeps ENSOPRG00000014742
papio_anubis ENSPANG00000003366
cercocebus_atys ENSCATG00000031141
macaca_mulatta ENSMMUG00000016007
macaca_nemestrina ENSMNEG00000029674
macaca_fascicularis ENSMFAG00000039057
chlorocebus_sabaeus ENSCSAG00000009650
mandrillus_leucophaeus ENSMLEG00000042760
rhinopithecus_roxellana ENSRROG00000037550
colobus_angolensis ENSCANG00000043246
rhinopithecus_bieti ENSRBIG00000032134
piliocolobus_tephrosceles ENSPTEG00000032437
pan_troglodytes ENSPTRG00000017525
pan_paniscus ENSPPAG00000006847
gorilla_gorilla ENSGGOG00000004301
homo_sapiens ENSG00000185662
pongo_abelii ENSPPYG00000016039
nomascus_leucogenys ENSNLEG00000000336
cebus_capucinus ENSCCAG00000027927
saimiri_boliviensis ENSSBOG00000018130
callithrix_jacchus ENSCJAG00000019324
aotus_nancymaae ENSANAG00000018501
carlito_syrichta ENSTSYG00000007866
prolemur_simus ENSPSMG00000017034
propithecus_coquereli ENSPCOG00000018006
otolemur_garnettii ENSOGAG00000025446
equus_caballus ENSECAG00000018524
equus_asinus ENSEASG00005011910
pteropus_vampyrus ENSPVAG00000013109
tursiops_truncatus ENSTTRG00000012193
ovis_aries ENSOARG00000003627
vicugna_pacos ENSVPAG00000002625
ursus_maritimus ENSUMAG00000024651
ursus_americanus ENSUAMG00000024630
ailuropoda_melanoleuca ENSAMEG00000011105
mustela_putorius ENSMPUG00000012844
canis_lupus ENSCAFG00000016902
vulpes_vulpes ENSVVUG00000002597
panthera_pardus ENSPPRG00000013401
panthera_tigris ENSPTIG00000021545
felis_catus ENSFCAG00000044613
choloepus_hoffmanni ENSCHOG00000010184
dasypus_novemcinctus ENSDNOG00000016030
loxodonta_africana ENSLAFG00000007608
phascolarctos_cinereus ENSPCIG00000013606
sarcophilus_harrisii ENSSHAG00000011730
