astatotilapia_calliptera ENSACLG00000022536
amphilophus_citrinellus ENSACIG00000021447
fundulus_heteroclitus ENSFHEG00000017933
poecilia_formosa ENSPFOG00000000613
cyprinodon_variegatus ENSCVAG00000019895
stegastes_partitus ENSSPAG00000021184
anabas_testudineus ENSATEG00000008813
mastacembelus_armatus ENSMAMG00000023416
labrus_bergylta ENSLBEG00000019618
seriola_dumerili ENSSDUG00000012183
gasterosteus_aculeatus ENSGACG00000011871
periophthalmus_magnuspinnatus ENSPMGG00000008878
gadus_morhua ENSGMOG00000007414
esox_lucius ENSELUG00000003626
astyanax_mexicanus ENSAMXG00000004719
pygocentrus_nattereri ENSPNAG00000000624
danio_rerio ENSDARG00000087873
poecilia_formosa ENSPFOG00000007399
poecilia_latipinna ENSPLAG00000008783
poecilia_mexicana ENSPMEG00000009266
poecilia_reticulata ENSPREG00000004758
xiphophorus_maculatus ENSXMAG00000016489
gambusia_affinis ENSGAFG00000004229
kryptolebias_marmoratus ENSKMAG00000010050
scleropages_formosus ENSSFOG00015016498
lepisosteus_oculatus ENSLOCG00000010050
taeniopygia_guttata ENSTGUG00000009860
ficedula_albicollis ENSFALG00000013392
pelodiscus_sinensis ENSPSIG00000006822
