propithecus_coquereli ENSPCOG00000022433
prolemur_simus ENSPSMG00000024241
ochotona_princeps ENSOPRG00000014384
macaca_nemestrina ENSMNEG00000041420
macaca_fascicularis ENSMFAG00000044836
mandrillus_leucophaeus ENSMLEG00000031584
papio_anubis ENSPANG00000001149
theropithecus_gelada ENSTGEG00000005980
rhinopithecus_roxellana ENSRROG00000016914
rhinopithecus_bieti ENSRBIG00000031745
colobus_angolensis_palliatus ENSCANG00000042132
pan_troglodytes ENSPTRG00000010833
homo_sapiens ENSG00000089327
cebus_capucinus ENSCCAG00000025959
callithrix_jacchus ENSCJAG00000010568
carlito_syrichta ENSTSYG00000037580
castor_canadensis ENSCCNG00000009540
marmota_marmota_marmota ENSMMMG00000006201
tupaia_belangeri ENSTBEG00000002507
ursus_maritimus ENSUMAG00000018409
ursus_americanus ENSUAMG00000004753
ailuropoda_melanoleuca ENSAMEG00000000221
neovison_vison ENSNVIG00000018718
mustela_putorius_furo ENSMPUG00000007127
vulpes_vulpes ENSVVUG00000015256
vulpes_vulpes ENSVVUG00000023867
canis_lupus_familiaris ENSCAFG00000024320
panthera_tigris_altaica ENSPTIG00000008131
panthera_pardus ENSPPRG00000010309
felis_catus ENSFCAG00000042895
canis_lupus_dingo ENSCAFG00020021477
pteropus_vampyrus ENSPVAG00000010274
myotis_lucifugus ENSMLUG00000006444
tursiops_truncatus ENSTTRG00000010545
sus_scrofa ENSSSCG00000025499
equus_caballus ENSECAG00000019410
equus_asinus_asinus ENSEASG00005021442
loxodonta_africana ENSLAFG00000013138
echinops_telfairi ENSETEG00000008313
choloepus_hoffmanni ENSCHOG00000000485
dasypus_novemcinctus ENSDNOG00000044765
