canis_lupus_dingo ENSCAFG00020017588
vulpes_vulpes ENSVVUG00000003450
tupaia_belangeri ENSTBEG00000008991
eptatretus_burgeri ENSEBUG00000011113
mandrillus_leucophaeus ENSMLEG00000029334
cercocebus_atys ENSCATG00000035500
papio_anubis ENSPANG00000024051
macaca_mulatta ENSMMUG00000020772
macaca_fascicularis ENSMFAG00000033632
macaca_nemestrina ENSMNEG00000037309
cebus_capucinus ENSCCAG00000003885
ursus_maritimus ENSUMAG00000002257
choloepus_hoffmanni ENSCHOG00000007302
carlito_syrichta ENSTSYG00000006136
ursus_americanus ENSUAMG00000004802
ailuropoda_melanoleuca ENSAMEG00000012114
canis_lupus_familiaris ENSCAFG00000029227
mustela_putorius_furo ENSMPUG00000010813
neovison_vison ENSNVIG00000014217
panthera_tigris_altaica ENSPTIG00000019372
panthera_pardus ENSPPRG00000006826
felis_catus ENSFCAG00000000442
equus_asinus_asinus ENSEASG00005019925
equus_caballus ENSECAG00000008944
erinaceus_europaeus ENSEEUG00000014745
bos_taurus ENSBTAG00000016057
bos_mutus ENSBMUG00000018467
bison_bison_bison ENSBBBG00000009262
capra_hircus ENSCHIG00000020588
tursiops_truncatus ENSTTRG00000016811
sus_scrofa ENSSSCG00000020976
pteropus_vampyrus ENSPVAG00000002694
oryctolagus_cuniculus ENSOCUG00000010299
echinops_telfairi ENSETEG00000017067
prolemur_simus ENSPSMG00000000197
propithecus_coquereli ENSPCOG00000012092
microcebus_murinus ENSMICG00000037004
ochotona_princeps ENSOPRG00000007687
dasypus_novemcinctus ENSDNOG00000016160
loxodonta_africana ENSLAFG00000013572
otolemur_garnettii ENSOGAG00000027109
heterocephalus_glaber_male ENSHGLG00100017438
heterocephalus_glaber_female ENSHGLG00000017726
fukomys_damarensis ENSFDAG00000002726
chinchilla_lanigera ENSCLAG00000012369
octodon_degus ENSODEG00000016606
octodon_degus ENSODEG00000007719
octodon_degus ENSODEG00000003876
octodon_degus ENSODEG00000019519
octodon_degus ENSODEG00000012247
cavia_porcellus ENSCPOG00000037754
cavia_aperea ENSCAPG00000012632
urocitellus_parryii ENSUPAG00010009066
spermophilus_dauricus ENSSDAG00000012245
