apteryx_haastii ENSAHAG00000002755
apteryx_rowi ENSARWG00000011684
apteryx_owenii ENSAOWG00000001466
dromaius_novaehollandiae ENSDNVG00000007527
nothoprocta_perdicaria ENSNPEG00000000222
parus_major ENSPMJG00000017780
cyanistes_caeruleus ENSCCEG00000004762
lepidothrix_coronata ENSLCOG00000003425
melopsittacus_undulatus ENSMUNG00000005891
anser_brachyrhynchus ENSABRG00000013202
anas_platyrhynchos_platyrhynchos ENSAPLG00000004409
calidris_pugnax ENSCPUG00000004098
calidris_pygmaea ENSCPGG00000005976
gopherus_agassizii ENSGAGG00000005241
chelonoidis_abingdonii ENSCABG00000017876
chrysemys_picta_bellii ENSCPBG00000000869
pelodiscus_sinensis ENSPSIG00000007719
sphenodon_punctatus ENSSPUG00000011499
crocodylus_porosus ENSCPRG00005002380
homo_sapiens ENSG00000158815
gorilla_gorilla ENSGGOG00000007066
pan_troglodytes ENSPTRG00000020046
pan_paniscus ENSPPAG00000042990
pongo_abelii ENSPPYG00000018409
nomascus_leucogenys ENSNLEG00000027380
rhinopithecus_bieti ENSRBIG00000039451
rhinopithecus_roxellana ENSRROG00000037640
piliocolobus_tephrosceles ENSPTEG00000025116
colobus_angolensis_palliatus ENSCANG00000029290
macaca_fascicularis ENSMFAG00000032610
macaca_nemestrina ENSMNEG00000041787
cercocebus_atys ENSCATG00000045309
papio_anubis ENSPANG00000029232
mandrillus_leucophaeus ENSMLEG00000043499
theropithecus_gelada ENSTGEG00000023518
cebus_capucinus ENSCCAG00000031622
saimiri_boliviensis_boliviensis ENSSBOG00000027824
callithrix_jacchus ENSCJAG00000020336
aotus_nancymaae ENSANAG00000033888
carlito_syrichta ENSTSYG00000031916
propithecus_coquereli ENSPCOG00000024485
microcebus_murinus ENSMICG00000029135
otolemur_garnettii ENSOGAG00000004882
prolemur_simus ENSPSMG00000005178
chlorocebus_sabaeus ENSCSAG00000016583
bos_taurus ENSBTAG00000046951
bos_mutus ENSBMUG00000013164
bison_bison_bison ENSBBBG00000001081
capra_hircus ENSCHIG00000026068
ovis_aries ENSOARG00000010557
sus_scrofa ENSSSCG00000009609
equus_asinus_asinus ENSEASG00005018852
equus_caballus ENSECAG00000024690
panthera_pardus ENSPPRG00000023654
panthera_tigris_altaica ENSPTIG00000017095
felis_catus ENSFCAG00000005496
ursus_americanus ENSUAMG00000002793
ursus_maritimus ENSUMAG00000006942
ailuropoda_melanoleuca ENSAMEG00000003531
mustela_putorius_furo ENSMPUG00000004006
neovison_vison ENSNVIG00000021804
canis_lupus_familiaris ENSCAFG00000009749
canis_lupus_dingo ENSCAFG00020017919
vulpes_vulpes ENSVVUG00000007248
tursiops_truncatus ENSTTRG00000008062
myotis_lucifugus ENSMLUG00000016315
pteropus_vampyrus ENSPVAG00000009849
ictidomys_tridecemlineatus ENSSTOG00000013628
urocitellus_parryii ENSUPAG00010018399
spermophilus_dauricus ENSSDAG00000004320
marmota_marmota_marmota ENSMMMG00000017798
cricetulus_griseus_chok1gshd ENSCGRG00001022053
cricetulus_griseus_crigri-picr ENSCGRG00015005164
cricetulus_griseus_crigri ENSCGRG00000005187
mesocricetus_auratus ENSMAUG00000014970
peromyscus_maniculatus_bairdii ENSPEMG00000030845
microtus_ochrogaster ENSMOCG00000016452
mus_musculus ENSMUSG00000022101
mus_spicilegus ENSMSIG00000031138
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020383
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019491
mus_pahari MGP_PahariEiJ_G0030508
rattus_norvegicus ENSRNOG00000012912
meriones_unguiculatus ENSMUGG00000009343
nannospalax_galili ENSNGAG00000022264
cavia_porcellus ENSCPOG00000014655
cavia_aperea ENSCAPG00000011495
chinchilla_lanigera ENSCLAG00000014705
octodon_degus ENSODEG00000005311
heterocephalus_glaber_female ENSHGLG00000007312
heterocephalus_glaber_male ENSHGLG00100006274
fukomys_damarensis ENSFDAG00000011905
castor_canadensis ENSCCNG00000018230
dipodomys_ordii ENSDORG00000012368
jaculus_jaculus ENSJJAG00000017972
erinaceus_europaeus ENSEEUG00000007217
loxodonta_africana ENSLAFG00000004359
procavia_capensis ENSPCAG00000008847
dasypus_novemcinctus ENSDNOG00000037487
oryctolagus_cuniculus ENSOCUG00000025535
ochotona_princeps ENSOPRG00000012957
phascolarctos_cinereus ENSPCIG00000012714
notamacropus_eugenii ENSMEUG00000009435
sarcophilus_harrisii ENSSHAG00000017897
monodelphis_domestica ENSMODG00000009670
ornithorhynchus_anatinus ENSOANG00000001339
