pan_paniscus ENSPPAG00000029105
pan_troglodytes ENSPTRG00000012479
homo_sapiens ENSG00000150551
gorilla_gorilla ENSGGOG00000014632
pongo_abelii ENSPPYG00000012805
nomascus_leucogenys ENSNLEG00000008321
macaca_fascicularis ENSMFAG00000033924
macaca_nemestrina ENSMNEG00000016693
cercocebus_atys ENSCATG00000035955
papio_anubis ENSPANG00000018831
theropithecus_gelada ENSTGEG00000000489
mandrillus_leucophaeus ENSMLEG00000035076
chlorocebus_sabaeus ENSCSAG00000016451
rhinopithecus_roxellana ENSRROG00000030565
rhinopithecus_roxellana ENSRROG00000018445
rhinopithecus_bieti ENSRBIG00000027843
piliocolobus_tephrosceles ENSPTEG00000000515
colobus_angolensis_palliatus ENSCANG00000042789
cebus_capucinus ENSCCAG00000034237
saimiri_boliviensis_boliviensis ENSSBOG00000027244
callithrix_jacchus ENSCJAG00000014205
aotus_nancymaae ENSANAG00000023563
carlito_syrichta ENSTSYG00000027004
microcebus_murinus ENSMICG00000029863
prolemur_simus ENSPSMG00000003094
propithecus_coquereli ENSPCOG00000020233
otolemur_garnettii ENSOGAG00000024875
urocitellus_parryii ENSUPAG00010022858
spermophilus_dauricus ENSSDAG00000005225
ictidomys_tridecemlineatus ENSSTOG00000025677
marmota_marmota_marmota ENSMMMG00000022706
castor_canadensis ENSCCNG00000025765
chinchilla_lanigera ENSCLAG00000002904
octodon_degus ENSODEG00000006977
cavia_porcellus ENSCPOG00000037678
heterocephalus_glaber_male ENSHGLG00100011474
heterocephalus_glaber_female ENSHGLG00000015238
fukomys_damarensis ENSFDAG00000017129
cricetulus_griseus_crigri ENSCGRG00000013858
cricetulus_griseus_chok1gshd ENSCGRG00001015904
cricetulus_griseus_crigri-picr ENSCGRG00015008020
peromyscus_maniculatus_bairdii ENSPEMG00000024961
microtus_ochrogaster ENSMOCG00000012749
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015341
mus_spicilegus ENSMSIG00000001164
mus_musculus ENSMUSG00000026344
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014534
mus_pahari MGP_PahariEiJ_G0027770
rattus_norvegicus ENSRNOG00000003453
meriones_unguiculatus ENSMUGG00000001077
nannospalax_galili ENSNGAG00000009827
oryctolagus_cuniculus ENSOCUG00000000182
tupaia_belangeri ENSTBEG00000007041
capra_hircus ENSCHIG00000019109
ovis_aries ENSOARG00000011600
bos_taurus ENSBTAG00000005234
bos_mutus ENSBMUG00000004654
bison_bison_bison ENSBBBG00000012944
sus_scrofa ENSSSCG00000035102
