cyprinodon_variegatus ENSCVAG00000002624
hippocampus_comes ENSHCOG00000005624
mola_mola ENSMMOG00000000692
amphilophus_citrinellus ENSACIG00000002272
seriola_dumerili ENSSDUG00000023122
labrus_bergylta ENSLBEG00000012790
poecilia_reticulata ENSPREG00000018504
poecilia_latipinna ENSPLAG00000009282
xiphophorus_couchianus ENSXCOG00000020845
fundulus_heteroclitus ENSFHEG00000000572
oryzias_melastigma ENSOMEG00000009163
amphiprion_percula ENSAPEG00000007960
amphiprion_ocellaris ENSAOCG00000000976
takifugu_rubripes ENSTRUG00000021275
cynoglossus_semilaevis ENSCSEG00000010029
monopterus_albus ENSMALG00000012841
pygocentrus_nattereri ENSPNAG00000027989
