nannospalax_galili ENSNGAG00000012983
meriones_unguiculatus ENSMUGG00000005315
microtus_ochrogaster ENSMOCG00000019007
cricetulus_griseus_chok1gshd ENSCGRG00001020449
cricetulus_griseus_crigri ENSCGRG00000016878
cricetulus_griseus_crigri-picr ENSCGRG00015011567
mesocricetus_auratus ENSMAUG00000018673
peromyscus_maniculatus_bairdii ENSPEMG00000025133
mus_musculus ENSMUSG00000051748
mus_spicilegus ENSMSIG00000012277
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016885
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017730
mus_pahari MGP_PahariEiJ_G0018015
rattus_norvegicus ENSRNOG00000029668
jaculus_jaculus ENSJJAG00000014661
heterocephalus_glaber_male ENSHGLG00100006024
heterocephalus_glaber_female ENSHGLG00000007169
fukomys_damarensis ENSFDAG00000014752
chinchilla_lanigera ENSCLAG00000012435
cavia_porcellus ENSCPOG00000036860
castor_canadensis ENSCCNG00000005561
dipodomys_ordii ENSDORG00000024216
spermophilus_dauricus ENSSDAG00000021699
spermophilus_dauricus ENSSDAG00000021694
urocitellus_parryii ENSUPAG00010012127
ictidomys_tridecemlineatus ENSSTOG00000032858
rhinopithecus_roxellana ENSRROG00000031678
theropithecus_gelada ENSTGEG00000006351
prolemur_simus ENSPSMG00000020098
bos_mutus ENSBMUG00000005878
bos_taurus ENSBTAG00000053991
bison_bison_bison ENSBBBG00000014821
equus_caballus ENSECAG00000039383
equus_asinus_asinus ENSEASG00005011261
equus_caballus ENSECAG00000037915
sus_scrofa ENSSSCG00000034371
sus_scrofa ENSSSCG00000039569
ursus_americanus ENSUAMG00000013515
ursus_maritimus ENSUMAG00000016939
mustela_putorius_furo ENSMPUG00000014998
neovison_vison ENSNVIG00000020548
canis_lupus_familiaris ENSCAFG00000032259
canis_lupus_dingo ENSCAFG00020003940
vulpes_vulpes ENSVVUG00000020348
panthera_pardus ENSPPRG00000017586
panthera_tigris_altaica ENSPTIG00000015144
felis_catus ENSFCAG00000038925
loxodonta_africana ENSLAFG00000032152
dasypus_novemcinctus ENSDNOG00000035136
