cricetulus_griseus_chok1gshd ENSCGRG00001014326
cricetulus_griseus_crigri-picr ENSCGRG00015010241
cricetulus_griseus_crigri ENSCGRG00000017060
mesocricetus_auratus ENSMAUG00000010928
microtus_ochrogaster ENSMOCG00000014402
peromyscus_maniculatus_bairdii ENSPEMG00000017654
mus_spicilegus ENSMSIG00000009645
mus_musculus ENSMUSG00000105504
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026647
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025692
mus_pahari MGP_PahariEiJ_G0027141
rattus_norvegicus ENSRNOG00000032240
meriones_unguiculatus ENSMUGG00000008562
nannospalax_galili ENSNGAG00000007111
jaculus_jaculus ENSJJAG00000002928
heterocephalus_glaber_male ENSHGLG00100013353
heterocephalus_glaber_female ENSHGLG00000007998
heterocephalus_glaber_male ENSHGLG00100011481
heterocephalus_glaber_female ENSHGLG00000004912
cavia_porcellus ENSCPOG00000002143
octodon_degus ENSODEG00000006465
chinchilla_lanigera ENSCLAG00000004574
spermophilus_dauricus ENSSDAG00000024660
marmota_marmota_marmota ENSMMMG00000024063
spermophilus_dauricus ENSSDAG00000024647
spermophilus_dauricus ENSSDAG00000024646
marmota_marmota_marmota ENSMMMG00000024054
urocitellus_parryii ENSUPAG00010020364
ictidomys_tridecemlineatus ENSSTOG00000008617
spermophilus_dauricus ENSSDAG00000024651
marmota_marmota_marmota ENSMMMG00000024061
castor_canadensis ENSCCNG00000005648
dipodomys_ordii ENSDORG00000013912
oryctolagus_cuniculus ENSOCUG00000008656
oryctolagus_cuniculus ENSOCUG00000023473
ochotona_princeps ENSOPRG00000012532
cebus_capucinus ENSCCAG00000015521
saimiri_boliviensis_boliviensis ENSSBOG00000011099
callithrix_jacchus ENSCJAG00000046767
aotus_nancymaae ENSANAG00000035702
pan_troglodytes ENSPTRG00000000939
pan_paniscus ENSPPAG00000038209
homo_sapiens ENSG00000154451
gorilla_gorilla ENSGGOG00000007171
pongo_abelii ENSPPYG00000029531
carlito_syrichta ENSTSYG00000009034
propithecus_coquereli ENSPCOG00000025061
microcebus_murinus ENSMICG00000034820
prolemur_simus ENSPSMG00000026047
otolemur_garnettii ENSOGAG00000015863
tupaia_belangeri ENSTBEG00000013140
bison_bison_bison ENSBBBG00000008846
bos_mutus ENSBMUG00000002565
bos_taurus ENSBTAG00000015060
ovis_aries ENSOARG00000015297
capra_hircus ENSCHIG00000011241
vicugna_pacos ENSVPAG00000001336
equus_caballus ENSECAG00000017642
equus_asinus_asinus ENSEASG00005010762
ursus_maritimus ENSUMAG00000001557
ursus_americanus ENSUAMG00000013464
ailuropoda_melanoleuca ENSAMEG00000009350
canis_lupus_familiaris ENSCAFG00000024540
canis_lupus_dingo ENSCAFG00020013662
vulpes_vulpes ENSVVUG00000030204
felis_catus ENSFCAG00000043610
panthera_pardus ENSPPRG00000008970
myotis_lucifugus ENSMLUG00000027282
myotis_lucifugus ENSMLUG00000008729
pteropus_vampyrus ENSPVAG00000006756
erinaceus_europaeus ENSEEUG00000015891
sorex_araneus ENSSARG00000001481
loxodonta_africana ENSLAFG00000004323
procavia_capensis ENSPCAG00000016680
echinops_telfairi ENSETEG00000005791
dasypus_novemcinctus ENSDNOG00000010504
dasypus_novemcinctus ENSDNOG00000040573
choloepus_hoffmanni ENSCHOG00000010304
apteryx_owenii ENSAOWG00000005196
