numida_meleagris ENSNMEG00000017195
melopsittacus_undulatus ENSMUNG00000003460
apteryx_haastii ENSAHAG00000018854
lepidothrix_coronata ENSLCOG00000008605
manacus_vitellinus ENSMVIG00005006345
lonchura_striata_domestica ENSLSDG00000008052
calidris_pugnax ENSCPUG00000017527
calidris_pygmaea ENSCPGG00000008877
anser_brachyrhynchus ENSABRG00000013855
anas_platyrhynchos_platyrhynchos ENSAPLG00000024211
coturnix_japonica ENSCJPG00005019592
coturnix_japonica ENSCJPG00005019439
apteryx_rowi ENSARWG00000007523
bos_mutus ENSBMUG00000003742
