rhinopithecus_roxellana ENSRROG00000034359
rhinopithecus_bieti ENSRBIG00000029792
piliocolobus_tephrosceles ENSPTEG00000038576
papio_anubis ENSPANG00000032596
macaca_fascicularis ENSMFAG00000019344
macaca_nemestrina ENSMNEG00000018764
macaca_mulatta ENSMMUG00000002518
macaca_mulatta ENSMMUG00000046007
mandrillus_leucophaeus ENSMLEG00000036439
theropithecus_gelada ENSTGEG00000003408
cercocebus_atys ENSCATG00000029352
colobus_angolensis_palliatus ENSCANG00000032145
callithrix_jacchus ENSCJAG00000041569
