ictidomys_tridecemlineatus ENSSTOG00000032091
mesocricetus_auratus ENSMAUG00000021647
heterocephalus_glaber_female ENSHGLG00000015521
chinchilla_lanigera ENSCLAG00000000987
ovis_aries ENSOARG00000005831
gopherus_agassizii ENSGAGG00000025568
apteryx_haastii ENSAHAG00000010866
apteryx_rowi ENSARWG00000006605
apteryx_owenii ENSAOWG00000006465
dromaius_novaehollandiae ENSDNVG00000011837
nothoprocta_perdicaria ENSNPEG00000008192
meleagris_gallopavo ENSMGAG00000013888
coturnix_japonica ENSCJPG00005007567
gallus_gallus ENSGALG00000016282
numida_meleagris ENSNMEG00000015059
anser_brachyrhynchus ENSABRG00000021672
anas_platyrhynchos_platyrhynchos ENSAPLG00000003666
calidris_pygmaea ENSCPGG00000015457
calidris_pugnax ENSCPUG00000006036
melopsittacus_undulatus ENSMUNG00000010795
lepidothrix_coronata ENSLCOG00000003474
manacus_vitellinus ENSMVIG00005011925
lonchura_striata_domestica ENSLSDG00000004396
taeniopygia_guttata ENSTGUG00000012796
junco_hyemalis ENSJHYG00000015062
zonotrichia_albicollis ENSZALG00000017023
serinus_canaria ENSSCAG00000008838
parus_major ENSPMJG00000008873
cyanistes_caeruleus ENSCCEG00000001107
ficedula_albicollis ENSFALG00000001720
crocodylus_porosus ENSCPRG00005012406
chelonoidis_abingdonii ENSCABG00000010339
gopherus_agassizii ENSGAGG00000025570
chrysemys_picta_bellii ENSCPBG00000022625
pelodiscus_sinensis ENSPSIG00000015321
pogona_vitticeps ENSPVIG00000012468
anolis_carolinensis ENSACAG00000006590
notechis_scutatus ENSNSUG00000006750
salvator_merianae ENSSMRG00000011761
sphenodon_punctatus ENSSPUG00000006311
phascolarctos_cinereus ENSPCIG00000007261
notamacropus_eugenii ENSMEUG00000004063
sarcophilus_harrisii ENSSHAG00000003028
monodelphis_domestica ENSMODG00000018722
pan_troglodytes ENSPTRG00000018306
pan_paniscus ENSPPAG00000042859
homo_sapiens ENSG00000112200
gorilla_gorilla ENSGGOG00000036272
pongo_abelii ENSPPYG00000016737
nomascus_leucogenys ENSNLEG00000002807
piliocolobus_tephrosceles ENSPTEG00000038470
colobus_angolensis_palliatus ENSCANG00000032050
rhinopithecus_bieti ENSRBIG00000040053
rhinopithecus_roxellana ENSRROG00000037066
cercocebus_atys ENSCATG00000038473
mandrillus_leucophaeus ENSMLEG00000017361
macaca_fascicularis ENSMFAG00000043714
macaca_mulatta ENSMMUG00000018582
macaca_nemestrina ENSMNEG00000015677
theropithecus_gelada ENSTGEG00000008201
papio_anubis ENSPANG00000011259
chlorocebus_sabaeus ENSCSAG00000013418
cebus_capucinus ENSCCAG00000031377
saimiri_boliviensis_boliviensis ENSSBOG00000024654
saimiri_boliviensis_boliviensis ENSSBOG00000034355
aotus_nancymaae ENSANAG00000027796
callithrix_jacchus ENSCJAG00000010265
carlito_syrichta ENSTSYG00000007048
propithecus_coquereli ENSPCOG00000017324
microcebus_murinus ENSMICG00000014017
prolemur_simus ENSPSMG00000021546
otolemur_garnettii ENSOGAG00000000673
tupaia_belangeri ENSTBEG00000016027
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014822
mus_spicilegus ENSMSIG00000002013
mus_musculus ENSMUSG00000042197
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014017
mus_pahari MGP_PahariEiJ_G0027263
rattus_norvegicus ENSRNOG00000012718
meriones_unguiculatus ENSMUGG00000027131
peromyscus_maniculatus_bairdii ENSPEMG00000023654
microtus_ochrogaster ENSMOCG00000019078
cricetulus_griseus_chok1gshd ENSCGRG00001011771
cricetulus_griseus_crigri ENSCGRG00000017818
cricetulus_griseus_crigri-picr ENSCGRG00015016366
mesocricetus_auratus ENSMAUG00000014531
nannospalax_galili ENSNGAG00000000093
jaculus_jaculus ENSJJAG00000017308
castor_canadensis ENSCCNG00000029775
chinchilla_lanigera ENSCLAG00000000819
octodon_degus ENSODEG00000015693
cavia_porcellus ENSCPOG00000002491
heterocephalus_glaber_male ENSHGLG00100005957
heterocephalus_glaber_female ENSHGLG00000018721
urocitellus_parryii ENSUPAG00010005180
spermophilus_dauricus ENSSDAG00000013608
marmota_marmota_marmota ENSMMMG00000001407
oryctolagus_cuniculus ENSOCUG00000004809
ochotona_princeps ENSOPRG00000010820
pteropus_vampyrus ENSPVAG00000017691
myotis_lucifugus ENSMLUG00000004044
ursus_maritimus ENSUMAG00000018655
ursus_americanus ENSUAMG00000013374
