neolamprologus_brichardi ENSNBRG00000003470
hippocampus_comes ENSHCOG00000018048
monopterus_albus ENSMALG00000002780
mus_spicilegus ENSMSIG00000011119
microcebus_murinus ENSMICG00000042808
colobus_angolensis_palliatus ENSCANG00000007219
equus_asinus_asinus ENSEASG00005009940
notechis_scutatus ENSNSUG00000003524
meriones_unguiculatus ENSMUGG00000008005
nomascus_leucogenys ENSNLEG00000027972
piliocolobus_tephrosceles ENSPTEG00000006164
neovison_vison ENSNVIG00000014675
phascolarctos_cinereus ENSPCIG00000036268
anser_brachyrhynchus ENSABRG00000022823
sphenodon_punctatus ENSSPUG00000008346
mola_mola ENSMMOG00000002343
labrus_bergylta ENSLBEG00000016960
poecilia_reticulata ENSPREG00000017418
pygocentrus_nattereri ENSPNAG00000016894
coturnix_japonica ENSCJPG00005016429
manacus_vitellinus ENSMVIG00005005829
nothoprocta_perdicaria ENSNPEG00000009771
chelonoidis_abingdonii ENSCABG00000016623
notechis_scutatus ENSNSUG00000000049
