vombatus_ursinus ENSVURG00010019720
phascolarctos_cinereus ENSPCIG00000009827
sarcophilus_harrisii ENSSHAG00000001697
monodelphis_domestica ENSMODG00000012411
canis_lupus ENSCAFG00020015664
canis_lupus ENSCAFG00000000031
vulpes_vulpes ENSVVUG00000018563
ursus_maritimus ENSUMAG00000004574
ursus_americanus ENSUAMG00000019098
ailuropoda_melanoleuca ENSAMEG00000013561
mustela_putorius ENSMPUG00000016619
neovison_vison ENSNVIG00000011793
panthera_pardus ENSPPRG00000012326
panthera_tigris ENSPTIG00000011758
felis_catus ENSFCAG00000015031
equus_asinus ENSEASG00005023072
equus_caballus ENSECAG00000014149
capra_hircus ENSCHIG00000013781
ovis_aries ENSOARG00000004791
bos_indicus ENSBIXG00000028505
bos_indicus ENSBIXG00005021949
bos_taurus ENSBTAG00000012889
bos_mutus ENSBMUG00000002985
bison_bison ENSBBBG00000001086
sus_scrofa ENSSSCG00000027654
tursiops_truncatus ENSTTRG00000015436
erinaceus_europaeus ENSEEUG00000007155
peromyscus_maniculatus ENSPEMG00000021247
microtus_ochrogaster ENSMOCG00000021043
cricetulus_griseus ENSCGRG00000002583
cricetulus_griseus ENSCGRG00001009379
cricetulus_griseus ENSCGRG00015015269
mesocricetus_auratus ENSMAUG00000021232
mus_musculus ENSMUSG00000050321
mus_spretus MGP_SPRETEiJ_G0023371
mus_spicilegus ENSMSIG00000024230
mus_caroli MGP_CAROLIEiJ_G0022456
mus_pahari MGP_PahariEiJ_G0019184
rattus_norvegicus ENSRNOG00000014006
nannospalax_galili ENSNGAG00000014840
jaculus_jaculus ENSJJAG00000024284
dipodomys_ordii ENSDORG00000015955
castor_canadensis ENSCCNG00000002267
urocitellus_parryii ENSUPAG00010015441
spermophilus_dauricus ENSSDAG00000016303
ictidomys_tridecemlineatus ENSSTOG00000000499
marmota_marmota ENSMMMG00000018657
heterocephalus_glaber ENSHGLG00100012036
heterocephalus_glaber ENSHGLG00000000784
fukomys_damarensis ENSFDAG00000018456
chinchilla_lanigera ENSCLAG00000009727
octodon_degus ENSODEG00000000781
cavia_porcellus ENSCPOG00000009520
cavia_aperea ENSCAPG00000001182
ochotona_princeps ENSOPRG00000001847
tupaia_belangeri ENSTBEG00000008987
propithecus_coquereli ENSPCOG00000025374
microcebus_murinus ENSMICG00000007872
prolemur_simus ENSPSMG00000019668
pan_troglodytes ENSPTRG00000010108
pan_paniscus ENSPPAG00000025619
homo_sapiens ENSG00000166342
pongo_abelii ENSPPYG00000009237
nomascus_leucogenys ENSNLEG00000009204
macaca_mulatta ENSMMUG00000020595
macaca_fascicularis ENSMFAG00000032084
macaca_nemestrina ENSMNEG00000028773
theropithecus_gelada ENSTGEG00000005558
cercocebus_atys ENSCATG00000034226
mandrillus_leucophaeus ENSMLEG00000034707
papio_anubis ENSPANG00000000411
chlorocebus_sabaeus ENSCSAG00000018221
rhinopithecus_roxellana ENSRROG00000035386
rhinopithecus_bieti ENSRBIG00000025246
piliocolobus_tephrosceles ENSPTEG00000030304
colobus_angolensis ENSCANG00000020490
saimiri_boliviensis ENSSBOG00000035887
callithrix_jacchus ENSCJAG00000003126
cebus_capucinus ENSCCAG00000034235
aotus_nancymaae ENSANAG00000024199
carlito_syrichta ENSTSYG00000011686
otolemur_garnettii ENSOGAG00000009869
oryctolagus_cuniculus ENSOCUG00000007675
gorilla_gorilla ENSGGOG00000025925
sorex_araneus ENSSARG00000005426
echinops_telfairi ENSETEG00000003064
myotis_lucifugus ENSMLUG00000010614
vicugna_pacos ENSVPAG00000005617
choloepus_hoffmanni ENSCHOG00000003886
loxodonta_africana ENSLAFG00000009759
procavia_capensis ENSPCAG00000016603
dasypus_novemcinctus ENSDNOG00000005584
pteropus_vampyrus ENSPVAG00000013032
ornithorhynchus_anatinus ENSOANG00000005834
apteryx_owenii ENSAOWG00000010377
apteryx_rowi ENSARWG00000008740
apteryx_haastii ENSAHAG00000011179
dromaius_novaehollandiae ENSDNVG00000012604
nothoprocta_perdicaria ENSNPEG00000010486
parus_major ENSPMJG00000014329
cyanistes_caeruleus ENSCCEG00000012762
taeniopygia_guttata ENSTGUG00000009188
lonchura_striata ENSLSDG00000013582
serinus_canaria ENSSCAG00000007599
junco_hyemalis ENSJHYG00000015226
zonotrichia_albicollis ENSZALG00000001227
ficedula_albicollis ENSFALG00000004630
manacus_vitellinus ENSMVIG00005008894
lepidothrix_coronata ENSLCOG00000015811
melopsittacus_undulatus ENSMUNG00000003464
calidris_pugnax ENSCPUG00000006539
calidris_pygmaea ENSCPGG00000003661
anas_platyrhynchos ENSAPLG00000009839
anser_brachyrhynchus ENSABRG00000018829
meleagris_gallopavo ENSMGAG00000008273
gallus_gallus ENSGALG00000041184
numida_meleagris ENSNMEG00000005535
coturnix_japonica ENSCJPG00005007427
crocodylus_porosus ENSCPRG00005005685
gopherus_agassizii ENSGAGG00000022463
chelonoidis_abingdonii ENSCABG00000010445
chrysemys_picta ENSCPBG00000028434
pelodiscus_sinensis ENSPSIG00000003161
anolis_carolinensis ENSACAG00000003789
pogona_vitticeps ENSPVIG00000018532
notechis_scutatus ENSNSUG00000009477
salvator_merianae ENSSMRG00000004045
sphenodon_punctatus ENSSPUG00000019135
xenopus_tropicalis ENSXETG00000009694
latimeria_chalumnae ENSLACG00000007110
clupea_harengus ENSCHAG00000013249
denticeps_clupeoides ENSDCDG00000020448
astyanax_mexicanus ENSAMXG00000020348
astyanax_mexicanus ENSAMXG00005010193
pygocentrus_nattereri ENSPNAG00000023026
electrophorus_electricus ENSEEEG00000001591
ictalurus_punctatus ENSIPUG00000007595
danio_rerio ENSDARG00000071596
hippocampus_comes ENSHCOG00000012974
gouania_willdenowi ENSGWIG00000017846
cynoglossus_semilaevis ENSCSEG00000010407
poecilia_formosa ENSPFOG00000000546
poecilia_mexicana ENSPMEG00000016743
poecilia_latipinna ENSPLAG00000018668
poecilia_reticulata ENSPREG00000013946
xiphophorus_maculatus ENSXMAG00000018539
xiphophorus_couchianus ENSXCOG00000008216
gambusia_affinis ENSGAFG00000009112
fundulus_heteroclitus ENSFHEG00000018864
cyprinodon_variegatus ENSCVAG00000006169
kryptolebias_marmoratus ENSKMAG00000006308
oryzias_latipes ENSORLG00000007770
oryzias_latipes ENSORLG00015017760
oryzias_latipes ENSORLG00020017197
oryzias_melastigma ENSOMEG00000011466
gasterosteus_aculeatus ENSGACG00000002682
seriola_lalandi ENSSLDG00000007753
seriola_dumerili ENSSDUG00000012142
labrus_bergylta ENSLBEG00000013879
anabas_testudineus ENSATEG00000013942
betta_splendens ENSBSLG00000015549
mastacembelus_armatus ENSMAMG00000022986
lates_calcarifer ENSLCAG00010015187
larimichthys_crocea ENSLCRG00005009252
monopterus_albus ENSMALG00000009643
mola_mola ENSMMOG00000003635
cottoperca_gobio ENSCGOG00000014171
amphiprion_percula ENSAPEG00000022549
amphiprion_ocellaris ENSAOCG00000012986
acanthochromis_polyacanthus ENSAPOG00000020492
stegastes_partitus ENSSPAG00000021935
parambassis_ranga ENSPRNG00000022233
maylandia_zebra ENSMZEG00005021386
astatotilapia_calliptera ENSACLG00000023652
haplochromis_burtoni ENSHBUG00000020966
pundamilia_nyererei ENSPNYG00000000667
neolamprologus_brichardi ENSNBRG00000001234
oreochromis_niloticus ENSONIG00000014342
amphilophus_citrinellus ENSACIG00000001496
scophthalmus_maximus ENSSMAG00000017268
tetraodon_nigroviridis ENSTNIG00000008169
takifugu_rubripes ENSTRUG00000010454
periophthalmus_magnuspinnatus ENSPMGG00000005592
gadus_morhua ENSGMOG00000007074
hucho_hucho ENSHHUG00000001591
hucho_hucho ENSHHUG00000037963
esox_lucius ENSELUG00000002080
mola_mola ENSMMOG00000020861
tetraodon_nigroviridis ENSTNIG00000006336
betta_splendens ENSBSLG00000020703
oryzias_melastigma ENSOMEG00000014857
gambusia_affinis ENSGAFG00000012075
gouania_willdenowi ENSGWIG00000025964
seriola_lalandi ENSSLDG00000021937
seriola_dumerili ENSSDUG00000010007
scophthalmus_maximus ENSSMAG00000016260
labrus_bergylta ENSLBEG00000023966
monopterus_albus ENSMALG00000009280
cottoperca_gobio ENSCGOG00000023775
larimichthys_crocea ENSLCRG00005018563
anabas_testudineus ENSATEG00000009416
lates_calcarifer ENSLCAG00010016225
mastacembelus_armatus ENSMAMG00000015775
amphiprion_percula ENSAPEG00000006405
amphiprion_ocellaris ENSAOCG00000002409
acanthochromis_polyacanthus ENSAPOG00000021172
stegastes_partitus ENSSPAG00000009570
parambassis_ranga ENSPRNG00000020546
astatotilapia_calliptera ENSACLG00000022212
pundamilia_nyererei ENSPNYG00000020419
haplochromis_burtoni ENSHBUG00000011746
maylandia_zebra ENSMZEG00005014564
neolamprologus_brichardi ENSNBRG00000019972
oreochromis_niloticus ENSONIG00000009024
amphilophus_citrinellus ENSACIG00000002781
fundulus_heteroclitus ENSFHEG00000022517
cyprinodon_variegatus ENSCVAG00000006155
xiphophorus_maculatus ENSXMAG00000010764
xiphophorus_couchianus ENSXCOG00000007784
poecilia_latipinna ENSPLAG00000010170
poecilia_mexicana ENSPMEG00000014507
poecilia_formosa ENSPFOG00000014259
poecilia_reticulata ENSPREG00000001419
kryptolebias_marmoratus ENSKMAG00000021162
oryzias_latipes ENSORLG00020005889
oryzias_latipes ENSORLG00000029503
oryzias_latipes ENSORLG00015022665
oryzias_melastigma ENSOMEG00000014842
cynoglossus_semilaevis ENSCSEG00000021291
periophthalmus_magnuspinnatus ENSPMGG00000002598
gasterosteus_aculeatus ENSGACG00000014515
hippocampus_comes ENSHCOG00000016142
gadus_morhua ENSGMOG00000006337
hucho_hucho ENSHHUG00000019353
esox_lucius ENSELUG00000013875
denticeps_clupeoides ENSDCDG00000004698
clupea_harengus ENSCHAG00000011425
ictalurus_punctatus ENSIPUG00000004640
electrophorus_electricus ENSEEEG00000003520
astyanax_mexicanus ENSAMXG00005024355
astyanax_mexicanus ENSAMXG00000033045
danio_rerio ENSDARG00000068483
scleropages_formosus ENSSFOG00015012388
paramormyrops_kingsleyae ENSPKIG00000005098
lepisosteus_oculatus ENSLOCG00000013622
erpetoichthys_calabaricus ENSECRG00000004624
callorhinchus_milii ENSCMIG00000006621
petromyzon_marinus ENSPMAG00000006907
eptatretus_burgeri ENSEBUG00000014545
