astatotilapia_calliptera ENSACLG00000017116
neolamprologus_brichardi ENSNBRG00000017620
amphilophus_citrinellus ENSACIG00000006302
oryzias_latipes ENSORLG00020006361
oryzias_latipes ENSORLG00015005201
oryzias_melastigma ENSOMEG00000007734
fundulus_heteroclitus ENSFHEG00000017394
scophthalmus_maximus ENSSMAG00000008161
oryzias_latipes ENSORLG00015018365
oryzias_latipes ENSORLG00000030072
oryzias_latipes ENSORLG00020000098
oryzias_melastigma ENSOMEG00000023981
parambassis_ranga ENSPRNG00000002166
amphilophus_citrinellus ENSACIG00000023284
seriola_lalandi ENSSLDG00000010861
mastacembelus_armatus ENSMAMG00000004664
