labrus_bergylta ENSLBEG00000025663
takifugu_rubripes ENSTRUG00000007445
astatotilapia_calliptera ENSACLG00000002854
pundamilia_nyererei ENSPNYG00000003648
haplochromis_burtoni ENSHBUG00000017098
maylandia_zebra ENSMZEG00005008871
neolamprologus_brichardi ENSNBRG00000023392
oreochromis_niloticus ENSONIG00000021158
astatotilapia_calliptera ENSACLG00000002884
maylandia_zebra ENSMZEG00005008864
oreochromis_niloticus ENSONIG00000016856
amphilophus_citrinellus ENSACIG00000019787
fundulus_heteroclitus ENSFHEG00000009692
cyprinodon_variegatus ENSCVAG00000011960
poecilia_mexicana ENSPMEG00000018418
poecilia_reticulata ENSPREG00000008567
gambusia_affinis ENSGAFG00000012351
poecilia_reticulata ENSPREG00000008520
poecilia_reticulata ENSPREG00000008531
poecilia_mexicana ENSPMEG00000018437
poecilia_latipinna ENSPLAG00000017454
poecilia_formosa ENSPFOG00000007474
xiphophorus_maculatus ENSXMAG00000028748
xiphophorus_maculatus ENSXMAG00000023985
gambusia_affinis ENSGAFG00000012346
cyprinodon_variegatus ENSCVAG00000011966
seriola_dumerili ENSSDUG00000010545
mastacembelus_armatus ENSMAMG00000009609
seriola_lalandi_dorsalis ENSSLDG00000000438
seriola_dumerili ENSSDUG00000010534
seriola_dumerili ENSSDUG00000010671
seriola_lalandi_dorsalis ENSSLDG00000000167
seriola_dumerili ENSSDUG00000010626
seriola_lalandi_dorsalis ENSSLDG00000013070
anabas_testudineus ENSATEG00000014299
anabas_testudineus ENSATEG00000014311
monopterus_albus ENSMALG00000008329
monopterus_albus ENSMALG00000008294
mastacembelus_armatus ENSMAMG00000009592
anabas_testudineus ENSATEG00000014205
anabas_testudineus ENSATEG00000014217
anabas_testudineus ENSATEG00000014236
anabas_testudineus ENSATEG00000014251
anabas_testudineus ENSATEG00000014265
anabas_testudineus ENSATEG00000014286
anabas_testudineus ENSATEG00000014292
seriola_lalandi_dorsalis ENSSLDG00000000272
seriola_lalandi_dorsalis ENSSLDG00000000234
seriola_dumerili ENSSDUG00000010608
seriola_dumerili ENSSDUG00000010602
seriola_lalandi_dorsalis ENSSLDG00000000255
seriola_lalandi_dorsalis ENSSLDG00000000305
seriola_dumerili ENSSDUG00000010593
seriola_dumerili ENSSDUG00000010561
seriola_lalandi_dorsalis ENSSLDG00000000396
seriola_dumerili ENSSDUG00000010579
seriola_dumerili ENSSDUG00000010586
seriola_lalandi_dorsalis ENSSLDG00000000378
seriola_dumerili ENSSDUG00000010569
seriola_lalandi_dorsalis ENSSLDG00000000364
seriola_dumerili ENSSDUG00000010589
seriola_lalandi_dorsalis ENSSLDG00000000336
fundulus_heteroclitus ENSFHEG00000013347
cyprinodon_variegatus ENSCVAG00000017685
xiphophorus_maculatus ENSXMAG00000020206
xiphophorus_maculatus ENSXMAG00000026135
xiphophorus_couchianus ENSXCOG00000009026
poecilia_reticulata ENSPREG00000008574
poecilia_mexicana ENSPMEG00000002802
poecilia_latipinna ENSPLAG00000017436
poecilia_formosa ENSPFOG00000020266
xiphophorus_couchianus ENSXCOG00000003830
kryptolebias_marmoratus ENSKMAG00000009375
oryzias_latipes ENSORLG00000004246
oryzias_latipes ENSORLG00020011173
oryzias_latipes_asm223469v1 ENSORLG00015015111
oryzias_melastigma ENSOMEG00000003344
oryzias_melastigma ENSOMEG00000003354
oryzias_melastigma ENSOMEG00000003367
oryzias_melastigma ENSOMEG00000003374
oryzias_melastigma ENSOMEG00000003359
oryzias_latipes ENSORLG00000022110
oryzias_latipes ENSORLG00020011143
oryzias_latipes_asm223469v1 ENSORLG00015015102
oryzias_latipes ENSORLG00020011186
oryzias_latipes_asm223469v1 ENSORLG00015015122
oryzias_latipes ENSORLG00000030250
oryzias_melastigma ENSOMEG00000003335
oryzias_latipes ENSORLG00020011215
oryzias_latipes_asm223469v1 ENSORLG00015015145
oryzias_melastigma ENSOMEG00000000069
amphilophus_citrinellus ENSACIG00000009173
amphilophus_citrinellus ENSACIG00000009735
amphilophus_citrinellus ENSACIG00000009750
amphilophus_citrinellus ENSACIG00000019759
maylandia_zebra ENSMZEG00005008838
maylandia_zebra ENSMZEG00005009635
astatotilapia_calliptera ENSACLG00000003339
haplochromis_burtoni ENSHBUG00000012057
maylandia_zebra ENSMZEG00005008841
astatotilapia_calliptera ENSACLG00000003323
maylandia_zebra ENSMZEG00005009632
astatotilapia_calliptera ENSACLG00000003312
haplochromis_burtoni ENSHBUG00000012048
astatotilapia_calliptera ENSACLG00000002962
oreochromis_niloticus ENSONIG00000020864
neolamprologus_brichardi ENSNBRG00000018747
oreochromis_niloticus ENSONIG00000016852
astatotilapia_calliptera ENSACLG00000002943
maylandia_zebra ENSMZEG00005008848
maylandia_zebra ENSMZEG00005008854
astatotilapia_calliptera ENSACLG00000002913
maylandia_zebra ENSMZEG00005009331
neolamprologus_brichardi ENSNBRG00000023376
neolamprologus_brichardi ENSNBRG00000023361
maylandia_zebra ENSMZEG00005009585
oreochromis_niloticus ENSONIG00000016853
neolamprologus_brichardi ENSNBRG00000002878
oreochromis_niloticus ENSONIG00000020863
maylandia_zebra ENSMZEG00005008825
astatotilapia_calliptera ENSACLG00000003351
haplochromis_burtoni ENSHBUG00000012090
pundamilia_nyererei ENSPNYG00000023721
neolamprologus_brichardi ENSNBRG00000018759
amphilophus_citrinellus ENSACIG00000009145
amphiprion_percula ENSAPEG00000008308
amphiprion_ocellaris ENSAOCG00000008754
acanthochromis_polyacanthus ENSAPOG00000000520
stegastes_partitus ENSSPAG00000006606
seriola_dumerili ENSSDUG00000010661
seriola_lalandi_dorsalis ENSSLDG00000000402
seriola_dumerili ENSSDUG00000010551
cynoglossus_semilaevis ENSCSEG00000007161
takifugu_rubripes ENSTRUG00000023479
takifugu_rubripes ENSTRUG00000020247
takifugu_rubripes ENSTRUG00000022809
takifugu_rubripes ENSTRUG00000022659
takifugu_rubripes ENSTRUG00000024396
tetraodon_nigroviridis ENSTNIG00000001548
cyprinodon_variegatus ENSCVAG00000011943
fundulus_heteroclitus ENSFHEG00000009709
poecilia_formosa ENSPFOG00000020265
poecilia_latipinna ENSPLAG00000017445
poecilia_mexicana ENSPMEG00000018410
poecilia_reticulata ENSPREG00000008546
kryptolebias_marmoratus ENSKMAG00000009355
kryptolebias_marmoratus ENSKMAG00000009332
oryzias_latipes_asm223469v1 ENSORLG00015015285
oryzias_latipes ENSORLG00020011311
oryzias_latipes ENSORLG00020011304
oryzias_latipes ENSORLG00000027742
oryzias_melastigma ENSOMEG00000003224
oryzias_latipes ENSORLG00020011333
oryzias_latipes ENSORLG00000004229
oryzias_latipes_asm223469v1 ENSORLG00015015334
oryzias_melastigma ENSOMEG00000003196
oryzias_melastigma ENSOMEG00000003232
oryzias_melastigma ENSOMEG00000003247
oryzias_melastigma ENSOMEG00000003252
oryzias_latipes ENSORLG00020011260
oryzias_latipes_asm223469v1 ENSORLG00015015183
oryzias_latipes ENSORLG00000024218
oryzias_latipes ENSORLG00020011297
oryzias_latipes_asm223469v1 ENSORLG00015015234
oryzias_latipes ENSORLG00000024370
oryzias_latipes ENSORLG00020011287
oryzias_latipes_asm223469v1 ENSORLG00015015215
oryzias_latipes_asm223469v1 ENSORLG00015015270
oryzias_latipes ENSORLG00020011247
oryzias_latipes_asm223469v1 ENSORLG00015015160
oryzias_latipes ENSORLG00000027789
oryzias_melastigma ENSOMEG00000003268
oryzias_latipes_asm223469v1 ENSORLG00015015323
oryzias_latipes ENSORLG00020011319
oryzias_latipes ENSORLG00000021903
oryzias_melastigma ENSOMEG00000003210
oryzias_melastigma ENSOMEG00000003308
