meriones_unguiculatus ENSMUGG00000010441
mus_spicilegus ENSMSIG00000021562
cricetulus_griseus_crigri-picr ENSCGRG00015002658
cricetulus_griseus_chok1gshd ENSCGRG00001023728
microtus_ochrogaster ENSMOCG00000019932
peromyscus_maniculatus_bairdii ENSPEMG00000009254
nannospalax_galili ENSNGAG00000010834
jaculus_jaculus ENSJJAG00000021836
castor_canadensis ENSCCNG00000024659
heterocephalus_glaber_male ENSHGLG00100001291
urocitellus_parryii ENSUPAG00010006632
spermophilus_dauricus ENSSDAG00000014073
marmota_marmota_marmota ENSMMMG00000005481
otolemur_garnettii ENSOGAG00000030033
ailuropoda_melanoleuca ENSAMEG00000001619
