spermophilus_dauricus ENSSDAG00000012959
urocitellus_parryii ENSUPAG00010008302
marmota_marmota_marmota ENSMMMG00000013392
chinchilla_lanigera ENSCLAG00000008413
cavia_porcellus ENSCPOG00000008733
heterocephalus_glaber_male ENSHGLG00100019297
heterocephalus_glaber_female ENSHGLG00000018610
fukomys_damarensis ENSFDAG00000013294
castor_canadensis ENSCCNG00000021622
dipodomys_ordii ENSDORG00000005685
mus_spicilegus ENSMSIG00000005035
mus_musculus ENSMUSG00000028528
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027174
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026205
mus_pahari MGP_PahariEiJ_G0028542
rattus_norvegicus ENSRNOG00000052887
meriones_unguiculatus ENSMUGG00000023721
cricetulus_griseus_crigri-picr ENSCGRG00015021601
cricetulus_griseus_crigri ENSCGRG00000009393
cricetulus_griseus_chok1gshd ENSCGRG00001021227
mesocricetus_auratus ENSMAUG00000013619
peromyscus_maniculatus_bairdii ENSPEMG00000010017
microtus_ochrogaster ENSMOCG00000018708
nannospalax_galili ENSNGAG00000005987
oryctolagus_cuniculus ENSOCUG00000010020
ochotona_princeps ENSOPRG00000010396
tupaia_belangeri ENSTBEG00000007323
pan_paniscus ENSPPAG00000027682
pan_troglodytes ENSPTRG00000000829
gorilla_gorilla ENSGGOG00000010799
homo_sapiens ENSG00000116675
pongo_abelii ENSPPYG00000010671
nomascus_leucogenys ENSNLEG00000015165
rhinopithecus_roxellana ENSRROG00000032081
rhinopithecus_bieti ENSRBIG00000036399
colobus_angolensis_palliatus ENSCANG00000038277
piliocolobus_tephrosceles ENSPTEG00000016398
macaca_mulatta ENSMMUG00000017259
macaca_fascicularis ENSMFAG00000044659
macaca_nemestrina ENSMNEG00000029908
theropithecus_gelada ENSTGEG00000012371
cercocebus_atys ENSCATG00000034774
papio_anubis ENSPANG00000006287
mandrillus_leucophaeus ENSMLEG00000030096
chlorocebus_sabaeus ENSCSAG00000001352
cebus_capucinus ENSCCAG00000037238
saimiri_boliviensis_boliviensis ENSSBOG00000032291
callithrix_jacchus ENSCJAG00000016859
aotus_nancymaae ENSANAG00000021991
carlito_syrichta ENSTSYG00000007191
prolemur_simus ENSPSMG00000006640
microcebus_murinus ENSMICG00000006518
propithecus_coquereli ENSPCOG00000021196
otolemur_garnettii ENSOGAG00000016026
ictidomys_tridecemlineatus ENSSTOG00000011000
sorex_araneus ENSSARG00000004845
dasypus_novemcinctus ENSDNOG00000004371
pteropus_vampyrus ENSPVAG00000008925
myotis_lucifugus ENSMLUG00000009642
ursus_maritimus ENSUMAG00000008423
ursus_americanus ENSUAMG00000021419
ailuropoda_melanoleuca ENSAMEG00000014950
mustela_putorius_furo ENSMPUG00000000723
neovison_vison ENSNVIG00000010505
canis_lupus_dingo ENSCAFG00020020422
canis_lupus_familiaris ENSCAFG00000018607
vulpes_vulpes ENSVVUG00000014008
panthera_pardus ENSPPRG00000002001
panthera_tigris_altaica ENSPTIG00000018599
felis_catus ENSFCAG00000008367
bos_taurus ENSBTAG00000030749
bos_mutus ENSBMUG00000016713
bison_bison_bison ENSBBBG00000013528
capra_hircus ENSCHIG00000027196
ovis_aries ENSOARG00000010286
sus_scrofa ENSSSCG00000003807
tursiops_truncatus ENSTTRG00000016295
vicugna_pacos ENSVPAG00000009298
equus_asinus_asinus ENSEASG00005008132
equus_caballus ENSECAG00000016430
erinaceus_europaeus ENSEEUG00000008226
choloepus_hoffmanni ENSCHOG00000000752
ailuropoda_melanoleuca ENSAMEG00000018022
procavia_capensis ENSPCAG00000001826
loxodonta_africana ENSLAFG00000008887
echinops_telfairi ENSETEG00000006031
octodon_degus ENSODEG00000006173
cavia_aperea ENSCAPG00000009635
jaculus_jaculus ENSJJAG00000023828
ornithorhynchus_anatinus ENSOANG00000031699
phascolarctos_cinereus ENSPCIG00000008073
notamacropus_eugenii ENSMEUG00000002423
sarcophilus_harrisii ENSSHAG00000011701
monodelphis_domestica ENSMODG00000001204
apteryx_haastii ENSAHAG00000004366
apteryx_owenii ENSAOWG00000012637
apteryx_rowi ENSARWG00000013984
dromaius_novaehollandiae ENSDNVG00000019243
nothoprocta_perdicaria ENSNPEG00000000904
lepidothrix_coronata ENSLCOG00000003556
manacus_vitellinus ENSMVIG00005008080
lonchura_striata_domestica ENSLSDG00000005459
taeniopygia_guttata ENSTGUG00000010011
serinus_canaria ENSSCAG00000006996
junco_hyemalis ENSJHYG00000005627
zonotrichia_albicollis ENSZALG00000011704
ficedula_albicollis ENSFALG00000012679
cyanistes_caeruleus ENSCCEG00000007301
parus_major ENSPMJG00000012346
melopsittacus_undulatus ENSMUNG00000012255
calidris_pugnax ENSCPUG00000015407
calidris_pygmaea ENSCPGG00000016919
anser_brachyrhynchus ENSABRG00000018320
anas_platyrhynchos_platyrhynchos ENSAPLG00000015954
gallus_gallus ENSGALG00000011041
meleagris_gallopavo ENSMGAG00000011841
coturnix_japonica ENSCJPG00005014500
numida_meleagris ENSNMEG00000009586
crocodylus_porosus ENSCPRG00005011081
chelonoidis_abingdonii ENSCABG00000020422
gopherus_agassizii ENSGAGG00000011384
chrysemys_picta_bellii ENSCPBG00000001130
pelodiscus_sinensis ENSPSIG00000009234
pogona_vitticeps ENSPVIG00000014946
anolis_carolinensis ENSACAG00000008831
notechis_scutatus ENSNSUG00000003207
salvator_merianae ENSSMRG00000019954
sphenodon_punctatus ENSSPUG00000014877
xenopus_tropicalis ENSXETG00000020390
latimeria_chalumnae ENSLACG00000004065
scleropages_formosus ENSSFOG00015001526
paramormyrops_kingsleyae ENSPKIG00000014063
scleropages_formosus ENSSFOG00015012857
paramormyrops_kingsleyae ENSPKIG00000019236
gasterosteus_aculeatus ENSGACG00000007183
labrus_bergylta ENSLBEG00000006219
takifugu_rubripes ENSTRUG00000018550
tetraodon_nigroviridis ENSTNIG00000018109
mola_mola ENSMMOG00000006477
mastacembelus_armatus ENSMAMG00000008975
monopterus_albus ENSMALG00000018571
anabas_testudineus ENSATEG00000019494
seriola_dumerili ENSSDUG00000012843
seriola_lalandi_dorsalis ENSSLDG00000002957
poecilia_formosa ENSPFOG00000009918
poecilia_formosa ENSPFOG00000009899
poecilia_latipinna ENSPLAG00000005489
poecilia_mexicana ENSPMEG00000023056
poecilia_reticulata ENSPREG00000010912
xiphophorus_maculatus ENSXMAG00000002240
xiphophorus_couchianus ENSXCOG00000008287
gambusia_affinis ENSGAFG00000008446
fundulus_heteroclitus ENSFHEG00000001278
cyprinodon_variegatus ENSCVAG00000002755
kryptolebias_marmoratus ENSKMAG00000011882
oryzias_latipes ENSORLG00020011079
oryzias_latipes ENSORLG00000009969
oryzias_latipes_asm223469v1 ENSORLG00015007118
oryzias_melastigma ENSOMEG00000007567
maylandia_zebra ENSMZEG00005014454
astatotilapia_calliptera ENSACLG00000001981
pundamilia_nyererei ENSPNYG00000014192
haplochromis_burtoni ENSHBUG00000023221
neolamprologus_brichardi ENSNBRG00000014494
oreochromis_niloticus ENSONIG00000008789
amphilophus_citrinellus ENSACIG00000012354
amphiprion_ocellaris ENSAOCG00000005735
amphiprion_percula ENSAPEG00000010577
acanthochromis_polyacanthus ENSAPOG00000011162
stegastes_partitus ENSSPAG00000015216
scophthalmus_maximus ENSSMAG00000020667
cynoglossus_semilaevis ENSCSEG00000017751
hippocampus_comes ENSHCOG00000006026
periophthalmus_magnuspinnatus ENSPMGG00000018467
gadus_morhua ENSGMOG00000005812
esox_lucius ENSELUG00000022502
pygocentrus_nattereri ENSPNAG00000024918
astyanax_mexicanus ENSAMXG00000010606
ictalurus_punctatus ENSIPUG00000007320
danio_rerio ENSDARG00000079891
lepisosteus_oculatus ENSLOCG00000006853
