choloepus_hoffmanni ENSCHOG00000009227
dasypus_novemcinctus ENSDNOG00000042257
pteropus_vampyrus ENSPVAG00000011326
erinaceus_europaeus ENSEEUG00000007097
equus_caballus ENSECAG00000004482
ursus_maritimus ENSUMAG00000009043
ailuropoda_melanoleuca ENSAMEG00000019137
neovison_vison ENSNVIG00000008701
canis_lupus_dingo ENSCAFG00020023927
vulpes_vulpes ENSVVUG00000021457
panthera_pardus ENSPPRG00000021605
panthera_tigris_altaica ENSPTIG00000006438
felis_catus ENSFCAG00000003001
ovis_aries ENSOARG00000005532
capra_hircus ENSCHIG00000006574
bos_taurus ENSBTAG00000046468
bos_mutus ENSBMUG00000001451
bison_bison_bison ENSBBBG00000003698
sus_scrofa ENSSSCG00000016923
cavia_aperea ENSCAPG00000011710
cavia_porcellus ENSCPOG00000011023
chinchilla_lanigera ENSCLAG00000017702
heterocephalus_glaber_male ENSHGLG00100019750
spermophilus_dauricus ENSSDAG00000000182
urocitellus_parryii ENSUPAG00010004520
marmota_marmota_marmota ENSMMMG00000008397
mus_musculus ENSMUSG00000055194
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019764
mus_spicilegus ENSMSIG00000015838
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018885
mus_pahari MGP_PahariEiJ_G0015956
rattus_norvegicus ENSRNOG00000043292
meriones_unguiculatus ENSMUGG00000024707
cricetulus_griseus_crigri ENSCGRG00000018451
cricetulus_griseus_crigri ENSCGRG00000018463
cricetulus_griseus_crigri-picr ENSCGRG00015001701
cricetulus_griseus_chok1gshd ENSCGRG00001008182
mesocricetus_auratus ENSMAUG00000007066
microtus_ochrogaster ENSMOCG00000010587
peromyscus_maniculatus_bairdii ENSPEMG00000003637
nannospalax_galili ENSNGAG00000016530
nannospalax_galili ENSNGAG00000014532
castor_canadensis ENSCCNG00000016533
spermophilus_dauricus ENSSDAG00000015511
jaculus_jaculus ENSJJAG00000014745
oryctolagus_cuniculus ENSOCUG00000000663
pan_paniscus ENSPPAG00000013938
homo_sapiens ENSG00000169067
gorilla_gorilla ENSGGOG00000014532
pongo_abelii ENSPPYG00000015482
nomascus_leucogenys ENSNLEG00000018212
theropithecus_gelada ENSTGEG00000014449
papio_anubis ENSPANG00000006584
cercocebus_atys ENSCATG00000020128
mandrillus_leucophaeus ENSMLEG00000009389
macaca_nemestrina ENSMNEG00000009130
macaca_fascicularis ENSMFAG00000016475
rhinopithecus_bieti ENSRBIG00000018264
rhinopithecus_roxellana ENSRROG00000006201
piliocolobus_tephrosceles ENSPTEG00000018085
colobus_angolensis_palliatus ENSCANG00000019972
cebus_capucinus ENSCCAG00000011716
callithrix_jacchus ENSCJAG00000023067
saimiri_boliviensis_boliviensis ENSSBOG00000013271
aotus_nancymaae ENSANAG00000019725
carlito_syrichta ENSTSYG00000013181
propithecus_coquereli ENSPCOG00000009038
microcebus_murinus ENSMICG00000014700
prolemur_simus ENSPSMG00000015672
otolemur_garnettii ENSOGAG00000004810
dipodomys_ordii ENSDORG00000006870
sorex_araneus ENSSARG00000003925
loxodonta_africana ENSLAFG00000013026
echinops_telfairi ENSETEG00000013386
myotis_lucifugus ENSMLUG00000003322
phascolarctos_cinereus ENSPCIG00000036711
sarcophilus_harrisii ENSSHAG00000009237
monodelphis_domestica ENSMODG00000025373
sphenodon_punctatus ENSSPUG00000008188
scophthalmus_maximus ENSSMAG00000017003
paramormyrops_kingsleyae ENSPKIG00000000913
