clupea_harengus ENSCHAG00000004253
denticeps_clupeoides ENSDCDG00000026261
electrophorus_electricus ENSEEEG00000023006
ictalurus_punctatus ENSIPUG00000006997
astyanax_mexicanus ENSAMXG00000012069
astyanax_mexicanus ENSAMXG00005003845
pygocentrus_nattereri ENSPNAG00000001717
danio_rerio ENSDARG00000035579
poecilia_mexicana ENSPMEG00000015062
poecilia_formosa ENSPFOG00000014276
poecilia_latipinna ENSPLAG00000005698
poecilia_reticulata ENSPREG00000004277
xiphophorus_maculatus ENSXMAG00000002684
xiphophorus_couchianus ENSXCOG00000010419
gambusia_affinis ENSGAFG00000006605
cyprinodon_variegatus ENSCVAG00000000894
fundulus_heteroclitus ENSFHEG00000005278
kryptolebias_marmoratus ENSKMAG00000002230
oryzias_latipes ENSORLG00000000265
oryzias_latipes ENSORLG00015000140
oryzias_melastigma ENSOMEG00000009929
haplochromis_burtoni ENSHBUG00000000603
pundamilia_nyererei ENSPNYG00000007554
astatotilapia_calliptera ENSACLG00000023778
maylandia_zebra ENSMZEG00005021807
neolamprologus_brichardi ENSNBRG00000015826
amphilophus_citrinellus ENSACIG00000002567
gouania_willdenowi ENSGWIG00000025563
amphiprion_percula ENSAPEG00000011386
amphiprion_ocellaris ENSAOCG00000010867
acanthochromis_polyacanthus ENSAPOG00000023294
stegastes_partitus ENSSPAG00000016488
periophthalmus_magnuspinnatus ENSPMGG00000022269
cottoperca_gobio ENSCGOG00000012636
cottoperca_gobio ENSCGOG00000007804
gasterosteus_aculeatus ENSGACG00000014658
gasterosteus_aculeatus ENSGACG00000001350
larimichthys_crocea ENSLCRG00005018745
scophthalmus_maximus ENSSMAG00000012731
cynoglossus_semilaevis ENSCSEG00000020923
anabas_testudineus ENSATEG00000005678
betta_splendens ENSBSLG00000008454
hippocampus_comes ENSHCOG00000014916
monopterus_albus ENSMALG00000001036
monopterus_albus ENSMALG00000006999
mastacembelus_armatus ENSMAMG00000003976
parambassis_ranga ENSPRNG00000003536
takifugu_rubripes ENSTRUG00000016123
tetraodon_nigroviridis ENSTNIG00000015626
mola_mola ENSMMOG00000000560
labrus_bergylta ENSLBEG00000008059
seriola_lalandi ENSSLDG00000014943
seriola_dumerili ENSSDUG00000017950
lates_calcarifer ENSLCAG00010015786
gadus_morhua ENSGMOG00000005667
hucho_hucho ENSHHUG00000015664
esox_lucius ENSELUG00000005333
paramormyrops_kingsleyae ENSPKIG00000009573
scleropages_formosus ENSSFOG00015019538
lepisosteus_oculatus ENSLOCG00000003066
erpetoichthys_calabaricus ENSECRG00000021713
xenopus_tropicalis ENSXETG00000001396
latimeria_chalumnae ENSLACG00000011314
callorhinchus_milii ENSCMIG00000014452
