lepidothrix_coronata ENSLCOG00000006516
manacus_vitellinus ENSMVIG00005000178
taeniopygia_guttata ENSTGUG00000004629
lonchura_striata_domestica ENSLSDG00000010605
serinus_canaria ENSSCAG00000015093
junco_hyemalis ENSJHYG00000012393
zonotrichia_albicollis ENSZALG00000006376
cyanistes_caeruleus ENSCCEG00000018916
parus_major ENSPMJG00000008984
ficedula_albicollis ENSFALG00000011373
melopsittacus_undulatus ENSMUNG00000003315
calidris_pygmaea ENSCPGG00000018091
calidris_pugnax ENSCPUG00000015697
gallus_gallus ENSGALG00000009078
coturnix_japonica ENSCJPG00005001296
meleagris_gallopavo ENSMGAG00000005453
numida_meleagris ENSNMEG00000004432
anser_brachyrhynchus ENSABRG00000016844
anas_platyrhynchos_platyrhynchos ENSAPLG00000009654
apteryx_owenii ENSAOWG00000018307
apteryx_rowi ENSARWG00000016377
apteryx_haastii ENSAHAG00000000755
dromaius_novaehollandiae ENSDNVG00000015723
nothoprocta_perdicaria ENSNPEG00000003023
crocodylus_porosus ENSCPRG00005008412
gopherus_agassizii ENSGAGG00000024926
chelonoidis_abingdonii ENSCABG00000019036
chrysemys_picta_bellii ENSCPBG00000011857
pelodiscus_sinensis ENSPSIG00000005019
pogona_vitticeps ENSPVIG00000005163
anolis_carolinensis ENSACAG00000007314
salvator_merianae ENSSMRG00000001476
notechis_scutatus ENSNSUG00000009455
sphenodon_punctatus ENSSPUG00000014778
notamacropus_eugenii ENSMEUG00000004389
phascolarctos_cinereus ENSPCIG00000008818
sarcophilus_harrisii ENSSHAG00000009991
monodelphis_domestica ENSMODG00000015514
ursus_americanus ENSUAMG00000021243
ursus_maritimus ENSUMAG00000019954
ailuropoda_melanoleuca ENSAMEG00000011650
ailuropoda_melanoleuca ENSAMEG00000004151
neovison_vison ENSNVIG00000021836
mustela_putorius_furo ENSMPUG00000004548
canis_lupus_dingo ENSCAFG00020023701
canis_lupus_familiaris ENSCAFG00000005328
vulpes_vulpes ENSVVUG00000007475
panthera_pardus ENSPPRG00000002192
panthera_tigris_altaica ENSPTIG00000015049
felis_catus ENSFCAG00000004556
equus_asinus_asinus ENSEASG00005008646
equus_caballus ENSECAG00000019514
myotis_lucifugus ENSMLUG00000008019
capra_hircus ENSCHIG00000011967
ovis_aries ENSOARG00000019676
bos_mutus ENSBMUG00000020964
bos_taurus ENSBTAG00000021735
bison_bison_bison ENSBBBG00000017284
sus_scrofa ENSSSCG00000008524
mandrillus_leucophaeus ENSMLEG00000028593
macaca_fascicularis ENSMFAG00000002970
chlorocebus_sabaeus ENSCSAG00000011213
pongo_abelii ENSPPYG00000012516
saimiri_boliviensis_boliviensis ENSSBOG00000028619
cebus_capucinus ENSCCAG00000033865
callithrix_jacchus ENSCJAG00000003150
aotus_nancymaae ENSANAG00000013279
carlito_syrichta ENSTSYG00000025597
propithecus_coquereli ENSPCOG00000024099
prolemur_simus ENSPSMG00000004404
microcebus_murinus ENSMICG00000012342
otolemur_garnettii ENSOGAG00000003175
castor_canadensis ENSCCNG00000011957
dipodomys_ordii ENSDORG00000014336
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022781
mus_spicilegus ENSMSIG00000017578
mus_musculus ENSMUSG00000024064
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021869
mus_pahari MGP_PahariEiJ_G0020856
rattus_norvegicus ENSRNOG00000007951
meriones_unguiculatus ENSMUGG00000003407
peromyscus_maniculatus_bairdii ENSPEMG00000024049
microtus_ochrogaster ENSMOCG00000005238
cricetulus_griseus_crigri ENSCGRG00000017665
cricetulus_griseus_chok1gshd ENSCGRG00001007109
cricetulus_griseus_crigri-picr ENSCGRG00015024452
mesocricetus_auratus ENSMAUG00000012147
nannospalax_galili ENSNGAG00000015951
jaculus_jaculus ENSJJAG00000020390
chinchilla_lanigera ENSCLAG00000016568
octodon_degus ENSODEG00000006969
cavia_porcellus ENSCPOG00000004020
cavia_aperea ENSCAPG00000000250
heterocephalus_glaber_female ENSHGLG00000015234
heterocephalus_glaber_male ENSHGLG00100014735
fukomys_damarensis ENSFDAG00000017192
ictidomys_tridecemlineatus ENSSTOG00000012135
urocitellus_parryii ENSUPAG00010001997
marmota_marmota_marmota ENSMMMG00000019041
spermophilus_dauricus ENSSDAG00000010025
oryctolagus_cuniculus ENSOCUG00000005798
dasypus_novemcinctus ENSDNOG00000014093
procavia_capensis ENSPCAG00000014196
loxodonta_africana ENSLAFG00000016873
echinops_telfairi ENSETEG00000005707
tupaia_belangeri ENSTBEG00000016202
choloepus_hoffmanni ENSCHOG00000010053
tursiops_truncatus ENSTTRG00000000165
vicugna_pacos ENSVPAG00000000781
pteropus_vampyrus ENSPVAG00000009458
theropithecus_gelada ENSTGEG00000025347
papio_anubis ENSPANG00000005616
cercocebus_atys ENSCATG00000030690
macaca_mulatta ENSMMUG00000003474
macaca_nemestrina ENSMNEG00000029414
colobus_angolensis_palliatus ENSCANG00000036456
piliocolobus_tephrosceles ENSPTEG00000010011
rhinopithecus_roxellana ENSRROG00000036223
rhinopithecus_bieti ENSRBIG00000043585
pan_paniscus ENSPPAG00000037975
pan_troglodytes ENSPTRG00000050487
gorilla_gorilla ENSGGOG00000016561
homo_sapiens ENSG00000158089
nomascus_leucogenys ENSNLEG00000015496
ochotona_princeps ENSOPRG00000012198
erinaceus_europaeus ENSEEUG00000008269
ornithorhynchus_anatinus ENSOANG00000008247
xenopus_tropicalis ENSXETG00000022063
latimeria_chalumnae ENSLACG00000003175
pygocentrus_nattereri ENSPNAG00000028937
ictalurus_punctatus ENSIPUG00000004531
danio_rerio ENSDARG00000023448
esox_lucius ENSELUG00000023937
labrus_bergylta ENSLBEG00000001225
tetraodon_nigroviridis ENSTNIG00000006734
seriola_lalandi_dorsalis ENSSLDG00000011909
amphiprion_ocellaris ENSAOCG00000001310
maylandia_zebra ENSMZEG00005014035
oryzias_melastigma ENSOMEG00000022134
astyanax_mexicanus ENSAMXG00000010511
xiphophorus_maculatus ENSXMAG00000005224
xiphophorus_couchianus ENSXCOG00000019617
gambusia_affinis ENSGAFG00000006620
poecilia_formosa ENSPFOG00000014340
poecilia_latipinna ENSPLAG00000008956
poecilia_mexicana ENSPMEG00000005304
poecilia_reticulata ENSPREG00000018649
cyprinodon_variegatus ENSCVAG00000017102
fundulus_heteroclitus ENSFHEG00000018176
oryzias_latipes ENSORLG00000025303
oryzias_latipes_asm223469v1 ENSORLG00015001477
cynoglossus_semilaevis ENSCSEG00000004175
