saimiri_boliviensis_boliviensis ENSSBOG00000018992
cebus_capucinus ENSCCAG00000021679
callithrix_jacchus ENSCJAG00000040088
aotus_nancymaae ENSANAG00000029443
pan_troglodytes ENSPTRG00000044606
pan_paniscus ENSPPAG00000039717
gorilla_gorilla ENSGGOG00000023002
pongo_abelii ENSPPYG00000017065
nomascus_leucogenys ENSNLEG00000032026
colobus_angolensis_palliatus ENSCANG00000028577
piliocolobus_tephrosceles ENSPTEG00000023081
rhinopithecus_roxellana ENSRROG00000028980
macaca_nemestrina ENSMNEG00000034899
macaca_fascicularis ENSMFAG00000045436
mandrillus_leucophaeus ENSMLEG00000044076
cercocebus_atys ENSCATG00000032145
papio_anubis ENSPANG00000031911
rhinopithecus_bieti ENSRBIG00000030551
piliocolobus_tephrosceles ENSPTEG00000027821
theropithecus_gelada ENSTGEG00000018527
carlito_syrichta ENSTSYG00000036690
prolemur_simus ENSPSMG00000004736
microcebus_murinus ENSMICG00000009831
castor_canadensis ENSCCNG00000003242
sorex_araneus ENSSARG00000000057
equus_caballus ENSECAG00000028923
sus_scrofa ENSSSCG00000039614
ursus_maritimus ENSUMAG00000005463
ursus_americanus ENSUAMG00000027291
neovison_vison ENSNVIG00000021408
canis_lupus_dingo ENSCAFG00020000837
vulpes_vulpes ENSVVUG00000004682
urocitellus_parryii ENSUPAG00010019540
marmota_marmota_marmota ENSMMMG00000001144
spermophilus_dauricus ENSSDAG00000020026
cricetulus_griseus_crigri-picr ENSCGRG00015021951
echinops_telfairi ENSETEG00000004190
