meleagris_gallopavo ENSMGAG00000015345
gallus_gallus ENSGALG00000004017
coturnix_japonica ENSCJPG00005021371
numida_meleagris ENSNMEG00000016186
anser_brachyrhynchus ENSABRG00000015359
anas_platyrhynchos_platyrhynchos ENSAPLG00000001780
cyanistes_caeruleus ENSCCEG00000021272
parus_major ENSPMJG00000018693
lonchura_striata_domestica ENSLSDG00000011224
taeniopygia_guttata ENSTGUG00000017383
junco_hyemalis ENSJHYG00000015130
zonotrichia_albicollis ENSZALG00000009155
ficedula_albicollis ENSFALG00000008135
serinus_canaria ENSSCAG00000009747
lepidothrix_coronata ENSLCOG00000010734
manacus_vitellinus ENSMVIG00005009800
calidris_pygmaea ENSCPGG00000013693
calidris_pugnax ENSCPUG00000017300
melopsittacus_undulatus ENSMUNG00000014224
apteryx_owenii ENSAOWG00000016004
apteryx_rowi ENSARWG00000003578
apteryx_haastii ENSAHAG00000009395
dromaius_novaehollandiae ENSDNVG00000015179
nothoprocta_perdicaria ENSNPEG00000014687
crocodylus_porosus ENSCPRG00005006376
chelonoidis_abingdonii ENSCABG00000009198
gopherus_agassizii ENSGAGG00000016766
chrysemys_picta_bellii ENSCPBG00000025801
pelodiscus_sinensis ENSPSIG00000010918
anolis_carolinensis ENSACAG00000001161
pogona_vitticeps ENSPVIG00000022457
notechis_scutatus ENSNSUG00000014248
salvator_merianae ENSSMRG00000011040
vicugna_pacos ENSVPAG00000011791
sus_scrofa ENSSSCG00000035741
ovis_aries ENSOARG00000017734
capra_hircus ENSCHIG00000013165
bos_mutus ENSBMUG00000014540
bos_taurus ENSBTAG00000035230
bison_bison_bison ENSBBBG00000002941
tursiops_truncatus ENSTTRG00000014498
pteropus_vampyrus ENSPVAG00000012205
myotis_lucifugus ENSMLUG00000026654
equus_caballus ENSECAG00000023572
equus_asinus_asinus ENSEASG00005016624
ursus_maritimus ENSUMAG00000017599
ursus_americanus ENSUAMG00000005014
ailuropoda_melanoleuca ENSAMEG00000003003
