oreochromis_niloticus ENSONIG00000016676
pundamilia_nyererei ENSPNYG00000010517
hippocampus_comes ENSHCOG00000000768
seriola_dumerili ENSSDUG00000010272
takifugu_rubripes ENSTRUG00000025732
esox_lucius ENSELUG00000015249
scleropages_formosus ENSSFOG00015010077
maylandia_zebra ENSMZEG00005025327
pundamilia_nyererei ENSPNYG00000001098
astatotilapia_calliptera ENSACLG00000010629
neolamprologus_brichardi ENSNBRG00000002208
amphilophus_citrinellus ENSACIG00000020422
oryzias_latipes ENSORLG00000025585
oryzias_latipes_asm223469v1 ENSORLG00015002741
oryzias_melastigma ENSOMEG00000023843
poecilia_mexicana ENSPMEG00000006980
poecilia_latipinna ENSPLAG00000005519
xiphophorus_couchianus ENSXCOG00000015283
xiphophorus_maculatus ENSXMAG00000021624
scophthalmus_maximus ENSSMAG00000007629
scophthalmus_maximus ENSSMAG00000007615
seriola_lalandi_dorsalis ENSSLDG00000025318
amphiprion_percula ENSAPEG00000006458
amphiprion_ocellaris ENSAOCG00000019818
stegastes_partitus ENSSPAG00000019340
monopterus_albus ENSMALG00000011070
mola_mola ENSMMOG00000003965
gasterosteus_aculeatus ENSGACG00000000564
periophthalmus_magnuspinnatus ENSPMGG00000011275
hippocampus_comes ENSHCOG00000008736
gadus_morhua ENSGMOG00000001019
pygocentrus_nattereri ENSPNAG00000020054
pygocentrus_nattereri ENSPNAG00000019821
ictalurus_punctatus ENSIPUG00000024896
anser_brachyrhynchus ENSABRG00000010141
gallus_gallus ENSGALG00000034119
anolis_carolinensis ENSACAG00000009250
apteryx_owenii ENSAOWG00000003552
apteryx_rowi ENSARWG00000016383
apteryx_haastii ENSAHAG00000016795
dromaius_novaehollandiae ENSDNVG00000009581
coturnix_japonica ENSCJPG00005012784
meleagris_gallopavo ENSMGAG00000001967
numida_meleagris ENSNMEG00000018203
anas_platyrhynchos_platyrhynchos ENSAPLG00000019001
junco_hyemalis ENSJHYG00000007600
zonotrichia_albicollis ENSZALG00000008642
taeniopygia_guttata ENSTGUG00000016706
lonchura_striata_domestica ENSLSDG00000009579
serinus_canaria ENSSCAG00000009304
ficedula_albicollis ENSFALG00000003898
cyanistes_caeruleus ENSCCEG00000020538
parus_major ENSPMJG00000006305
lepidothrix_coronata ENSLCOG00000016096
manacus_vitellinus ENSMVIG00005015766
calidris_pugnax ENSCPUG00000014712
melopsittacus_undulatus ENSMUNG00000002374
crocodylus_porosus ENSCPRG00005008263
chelonoidis_abingdonii ENSCABG00000010335
chrysemys_picta_bellii ENSCPBG00000012160
gopherus_agassizii ENSGAGG00000024061
anolis_carolinensis ENSACAG00000010273
pogona_vitticeps ENSPVIG00000023001
notechis_scutatus ENSNSUG00000016771
salvator_merianae ENSSMRG00000001381
sphenodon_punctatus ENSSPUG00000012180
notamacropus_eugenii ENSMEUG00000009745
phascolarctos_cinereus ENSPCIG00000037322
sarcophilus_harrisii ENSSHAG00000000108
mus_musculus ENSMUSG00000001435
mus_spicilegus ENSMSIG00000029164
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015478
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016291
mus_pahari MGP_PahariEiJ_G0030892
rattus_norvegicus ENSRNOG00000001229
meriones_unguiculatus ENSMUGG00000001917
cricetulus_griseus_crigri-picr ENSCGRG00015019680
cricetulus_griseus_chok1gshd ENSCGRG00001013369
cricetulus_griseus_crigri ENSCGRG00000003055
mesocricetus_auratus ENSMAUG00000008076
microtus_ochrogaster ENSMOCG00000019606
peromyscus_maniculatus_bairdii ENSPEMG00000019720
nannospalax_galili ENSNGAG00000019514
jaculus_jaculus ENSJJAG00000018606
heterocephalus_glaber_female ENSHGLG00000018308
heterocephalus_glaber_male ENSHGLG00100014315
fukomys_damarensis ENSFDAG00000004953
cavia_aperea ENSCAPG00000015756
cavia_porcellus ENSCPOG00000020725
chinchilla_lanigera ENSCLAG00000009590
urocitellus_parryii ENSUPAG00010016758
ictidomys_tridecemlineatus ENSSTOG00000027467
spermophilus_dauricus ENSSDAG00000023330
marmota_marmota_marmota ENSMMMG00000012904
oryctolagus_cuniculus ENSOCUG00000024772
ochotona_princeps ENSOPRG00000011111
pan_troglodytes ENSPTRG00000014005
pan_paniscus ENSPPAG00000014049
homo_sapiens ENSG00000182871
gorilla_gorilla ENSGGOG00000011704
pongo_abelii ENSPPYG00000011521
nomascus_leucogenys ENSNLEG00000002591
colobus_angolensis_palliatus ENSCANG00000035628
piliocolobus_tephrosceles ENSPTEG00000009182
rhinopithecus_roxellana ENSRROG00000041309
rhinopithecus_bieti ENSRBIG00000030037
macaca_fascicularis ENSMFAG00000037751
macaca_mulatta ENSMMUG00000004472
macaca_nemestrina ENSMNEG00000032048
papio_anubis ENSPANG00000020872
cercocebus_atys ENSCATG00000038222
theropithecus_gelada ENSTGEG00000017987
mandrillus_leucophaeus ENSMLEG00000042137
cebus_capucinus ENSCCAG00000036606
callithrix_jacchus ENSCJAG00000032490
saimiri_boliviensis_boliviensis ENSSBOG00000026331
aotus_nancymaae ENSANAG00000036428
carlito_syrichta ENSTSYG00000035694
propithecus_coquereli ENSPCOG00000014698
microcebus_murinus ENSMICG00000037125
prolemur_simus ENSPSMG00000024089
otolemur_garnettii ENSOGAG00000000892
mustela_putorius_furo ENSMPUG00000010362
neovison_vison ENSNVIG00000008255
ailuropoda_melanoleuca ENSAMEG00000001767
canis_lupus_familiaris ENSCAFG00000011817
canis_lupus_dingo ENSCAFG00020019463
pteropus_vampyrus ENSPVAG00000008946
capra_hircus ENSCHIG00000013263
ovis_aries ENSOARG00000012584
bos_taurus ENSBTAG00000023907
bison_bison_bison ENSBBBG00000001319
tursiops_truncatus ENSTTRG00000003647
sus_scrofa ENSSSCG00000038089
myotis_lucifugus ENSMLUG00000015768
equus_caballus ENSECAG00000016361
equus_asinus_asinus ENSEASG00005007073
dasypus_novemcinctus ENSDNOG00000043573
procavia_capensis ENSPCAG00000008067
loxodonta_africana ENSLAFG00000017396
ornithorhynchus_anatinus ENSOANG00000000667
xenopus_tropicalis ENSXETG00000011481
tetraodon_nigroviridis ENSTNIG00000008873
takifugu_rubripes ENSTRUG00000025195
gasterosteus_aculeatus ENSGACG00000002269
labrus_bergylta ENSLBEG00000006791
poecilia_latipinna ENSPLAG00000014334
poecilia_mexicana ENSPMEG00000005975
poecilia_formosa ENSPFOG00000015586
gambusia_affinis ENSGAFG00000010251
xiphophorus_maculatus ENSXMAG00000019378
cyprinodon_variegatus ENSCVAG00000005278
oryzias_latipes ENSORLG00000014422
oryzias_latipes_asm223469v1 ENSORLG00015000227
oryzias_melastigma ENSOMEG00000020112
scophthalmus_maximus ENSSMAG00000003192
cynoglossus_semilaevis ENSCSEG00000017010
amphiprion_ocellaris ENSAOCG00000003306
amphiprion_percula ENSAPEG00000005273
acanthochromis_polyacanthus ENSAPOG00000016608
haplochromis_burtoni ENSHBUG00000000784
neolamprologus_brichardi ENSNBRG00000016623
seriola_dumerili ENSSDUG00000008715
hippocampus_comes ENSHCOG00000006076
periophthalmus_magnuspinnatus ENSPMGG00000015529
periophthalmus_magnuspinnatus ENSPMGG00000022605
esox_lucius ENSELUG00000010067
pygocentrus_nattereri ENSPNAG00000015167
astyanax_mexicanus ENSAMXG00000003496
ictalurus_punctatus ENSIPUG00000006142
danio_rerio ENSDARG00000036558
scleropages_formosus ENSSFOG00015010136
paramormyrops_kingsleyae ENSPKIG00000019129
scleropages_formosus ENSSFOG00015014831
paramormyrops_kingsleyae ENSPKIG00000013229
pygocentrus_nattereri ENSPNAG00000001053
astyanax_mexicanus ENSAMXG00000033545
danio_rerio ENSDARG00000095901
labrus_bergylta ENSLBEG00000023257
labrus_bergylta ENSLBEG00000006679
haplochromis_burtoni ENSHBUG00000013726
oryzias_melastigma ENSOMEG00000018493
oryzias_latipes ENSORLG00000013366
cyprinodon_variegatus ENSCVAG00000014158
takifugu_rubripes ENSTRUG00000013857
danio_rerio ENSDARG00000101592
ornithorhynchus_anatinus ENSOANG00000030828
monodelphis_domestica ENSMODG00000029496
gorilla_gorilla ENSGGOG00000034842
pan_troglodytes ENSPTRG00000018302
bos_taurus ENSBTAG00000052607
nothoprocta_perdicaria ENSNPEG00000001979
petromyzon_marinus ENSPMAG00000008210
eptatretus_burgeri ENSEBUG00000015713
eptatretus_burgeri ENSEBUG00000010540
petromyzon_marinus ENSPMAG00000003217
numida_meleagris ENSNMEG00000006911
coturnix_japonica ENSCJPG00005004568
anas_platyrhynchos_platyrhynchos ENSAPLG00000023097
calidris_pygmaea ENSCPGG00000011360
calidris_pugnax ENSCPUG00000000500
junco_hyemalis ENSJHYG00000000114
serinus_canaria ENSSCAG00000007790
lonchura_striata_domestica ENSLSDG00000007402
ficedula_albicollis ENSFALG00000000386
parus_major ENSPMJG00000000173
lepidothrix_coronata ENSLCOG00000011486
melopsittacus_undulatus ENSMUNG00000008176
crocodylus_porosus ENSCPRG00005003033
chelonoidis_abingdonii ENSCABG00000011235
gopherus_agassizii ENSGAGG00000019307
pelodiscus_sinensis ENSPSIG00000002457
pogona_vitticeps ENSPVIG00000014364
ornithorhynchus_anatinus ENSOANG00000003055
