lonchura_striata_domestica ENSLSDG00000015600
serinus_canaria ENSSCAG00000005682
parus_major ENSPMJG00000000095
cyanistes_caeruleus ENSCCEG00000014564
junco_hyemalis ENSJHYG00000001027
manacus_vitellinus ENSMVIG00005011384
lepidothrix_coronata ENSLCOG00000015388
melopsittacus_undulatus ENSMUNG00000014998
calidris_pygmaea ENSCPGG00000008985
calidris_pugnax ENSCPUG00000010619
numida_meleagris ENSNMEG00000016208
gallus_gallus ENSGALG00000051002
apteryx_haastii ENSAHAG00000018440
apteryx_owenii ENSAOWG00000017871
apteryx_rowi ENSARWG00000010474
dromaius_novaehollandiae ENSDNVG00000008030
