cebus_capucinus ENSCCAG00000037904
cercocebus_atys ENSCATG00000022547
cricetulus_griseus_crigri-picr ENSCGRG00015017762
fukomys_damarensis ENSFDAG00000008745
microcebus_murinus ENSMICG00000047649
sorex_araneus ENSSARG00000008917
sorex_araneus ENSSARG00000013690
myotis_lucifugus ENSMLUG00000025319
panthera_pardus ENSPPRG00000012054
panthera_pardus ENSPPRG00000010720
felis_catus ENSFCAG00000039746
ochotona_princeps ENSOPRG00000006047
vicugna_pacos ENSVPAG00000000436
tetraodon_nigroviridis ENSTNIG00000017359
