caenorhabditis_elegans_strain_n2 WBGene00016139
drosophila_melanogaster FBgn0039887
pogona_vitticeps ENSPVIG00000021412
anolis_carolinensis ENSACAG00000002521
notechis_scutatus ENSNSUG00000012104
salvator_merianae ENSSMRG00000011292
sphenodon_punctatus ENSSPUG00000013048
coturnix_japonica ENSCJPG00005013098
meleagris_gallopavo ENSMGAG00000011461
gallus_gallus ENSGALG00000011402
numida_meleagris ENSNMEG00000022901
anser_brachyrhynchus ENSABRG00000022140
anas_platyrhynchos_platyrhynchos ENSAPLG00000005817
calidris_pygmaea ENSCPGG00000013294
melopsittacus_undulatus ENSMUNG00000013083
lepidothrix_coronata ENSLCOG00000006094
manacus_vitellinus ENSMVIG00005011651
lonchura_striata_domestica ENSLSDG00000013196
taeniopygia_guttata ENSTGUG00000005493
serinus_canaria ENSSCAG00000013041
parus_major ENSPMJG00000019742
cyanistes_caeruleus ENSCCEG00000024478
ficedula_albicollis ENSFALG00000003988
junco_hyemalis ENSJHYG00000012061
zonotrichia_albicollis ENSZALG00000015287
apteryx_owenii ENSAOWG00000012571
apteryx_haastii ENSAHAG00000009934
apteryx_rowi ENSARWG00000016465
dromaius_novaehollandiae ENSDNVG00000018715
nothoprocta_perdicaria ENSNPEG00000008158
calidris_pugnax ENSCPUG00000000847
crocodylus_porosus ENSCPRG00005018911
chelonoidis_abingdonii ENSCABG00000009625
chrysemys_picta_bellii ENSCPBG00000013247
gopherus_agassizii ENSGAGG00000006740
pelodiscus_sinensis ENSPSIG00000010891
phascolarctos_cinereus ENSPCIG00000016288
notamacropus_eugenii ENSMEUG00000004418
sarcophilus_harrisii ENSSHAG00000015824
monodelphis_domestica ENSMODG00000015414
prolemur_simus ENSPSMG00000024845
propithecus_coquereli ENSPCOG00000026587
microcebus_murinus ENSMICG00000005152
carlito_syrichta ENSTSYG00000007671
dipodomys_ordii ENSDORG00000029243
castor_canadensis ENSCCNG00000002406
cavia_porcellus ENSCPOG00000038715
cavia_aperea ENSCAPG00000010806
chinchilla_lanigera ENSCLAG00000013219
heterocephalus_glaber_female ENSHGLG00000016743
heterocephalus_glaber_male ENSHGLG00100016622
fukomys_damarensis ENSFDAG00000016419
