drosophila_melanogaster FBgn0035470
caenorhabditis_elegans_strain_n2 WBGene00010283
petromyzon_marinus ENSPMAG00000008583
petromyzon_marinus ENSPMAG00000001185
eptatretus_burgeri ENSEBUG00000004547
xiphophorus_maculatus ENSXMAG00000014852
xiphophorus_couchianus ENSXCOG00000017771
gambusia_affinis ENSGAFG00000010874
poecilia_formosa ENSPFOG00000013364
poecilia_latipinna ENSPLAG00000011830
poecilia_mexicana ENSPMEG00000008485
poecilia_reticulata ENSPREG00000004429
fundulus_heteroclitus ENSFHEG00000019553
cyprinodon_variegatus ENSCVAG00000018954
kryptolebias_marmoratus ENSKMAG00000008500
oryzias_latipes ENSORLG00000003430
oryzias_latipes_asm223469v1 ENSORLG00015020689
oryzias_latipes ENSORLG00020004832
oryzias_melastigma ENSOMEG00000006464
cynoglossus_semilaevis ENSCSEG00000000694
hippocampus_comes ENSHCOG00000014094
mola_mola ENSMMOG00000002872
mola_mola ENSMMOG00000002853
takifugu_rubripes ENSTRUG00000016803
tetraodon_nigroviridis ENSTNIG00000012884
labrus_bergylta ENSLBEG00000009907
gasterosteus_aculeatus ENSGACG00000009459
monopterus_albus ENSMALG00000017026
mastacembelus_armatus ENSMAMG00000006981
anabas_testudineus ENSATEG00000013014
seriola_dumerili ENSSDUG00000005104
seriola_lalandi_dorsalis ENSSLDG00000003955
scophthalmus_maximus ENSSMAG00000009965
amphiprion_percula ENSAPEG00000022128
amphiprion_ocellaris ENSAOCG00000008636
acanthochromis_polyacanthus ENSAPOG00000003682
stegastes_partitus ENSSPAG00000009056
astatotilapia_calliptera ENSACLG00000015146
maylandia_zebra ENSMZEG00005008637
pundamilia_nyererei ENSPNYG00000019901
haplochromis_burtoni ENSHBUG00000021471
oreochromis_niloticus ENSONIG00000019830
neolamprologus_brichardi ENSNBRG00000020262
amphilophus_citrinellus ENSACIG00000002804
periophthalmus_magnuspinnatus ENSPMGG00000003744
gadus_morhua ENSGMOG00000004092
esox_lucius ENSELUG00000018040
pygocentrus_nattereri ENSPNAG00000009637
astyanax_mexicanus ENSAMXG00000007910
ictalurus_punctatus ENSIPUG00000002961
danio_rerio ENSDARG00000056559
paramormyrops_kingsleyae ENSPKIG00000008633
paramormyrops_kingsleyae ENSPKIG00000003651
scleropages_formosus ENSSFOG00015021981
lepisosteus_oculatus ENSLOCG00000008536
gopherus_agassizii ENSGAGG00000016040
chelonoidis_abingdonii ENSCABG00000003678
chrysemys_picta_bellii ENSCPBG00000019986
pelodiscus_sinensis ENSPSIG00000014109
taeniopygia_guttata ENSTGUG00000008740
lonchura_striata_domestica ENSLSDG00000004440
ficedula_albicollis ENSFALG00000013974
serinus_canaria ENSSCAG00000010212
junco_hyemalis ENSJHYG00000006192
zonotrichia_albicollis ENSZALG00000002937
cyanistes_caeruleus ENSCCEG00000022398
parus_major ENSPMJG00000017234
lepidothrix_coronata ENSLCOG00000002241
manacus_vitellinus ENSMVIG00005003528
calidris_pygmaea ENSCPGG00000017452
calidris_pugnax ENSCPUG00000015656
melopsittacus_undulatus ENSMUNG00000006606
anas_platyrhynchos_platyrhynchos ENSAPLG00000004993
anser_brachyrhynchus ENSABRG00000011620
coturnix_japonica ENSCJPG00005013568
meleagris_gallopavo ENSMGAG00000001444
gallus_gallus ENSGALG00000003458
numida_meleagris ENSNMEG00000008008
apteryx_owenii ENSAOWG00000000271
apteryx_rowi ENSARWG00000000177
apteryx_haastii ENSAHAG00000012475
dromaius_novaehollandiae ENSDNVG00000009386
nothoprocta_perdicaria ENSNPEG00000004344
crocodylus_porosus ENSCPRG00005005048
anolis_carolinensis ENSACAG00000012176
pogona_vitticeps ENSPVIG00000005614
notechis_scutatus ENSNSUG00000020050
salvator_merianae ENSSMRG00000020073
sphenodon_punctatus ENSSPUG00000003766
propithecus_coquereli ENSPCOG00000025277
prolemur_simus ENSPSMG00000003259
microcebus_murinus ENSMICG00000012751
otolemur_garnettii ENSOGAG00000027379
carlito_syrichta ENSTSYG00000009426
cricetulus_griseus_chok1gshd ENSCGRG00001021911
cricetulus_griseus_crigri ENSCGRG00000011167
cricetulus_griseus_crigri-picr ENSCGRG00015014745
mesocricetus_auratus ENSMAUG00000004705
mesocricetus_auratus ENSMAUG00000005388
peromyscus_maniculatus_bairdii ENSPEMG00000007600
microtus_ochrogaster ENSMOCG00000018777
mus_spicilegus ENSMSIG00000029291
mus_spicilegus ENSMSIG00000018804
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028996
mus_musculus ENSMUSG00000029617
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027992
mus_pahari MGP_PahariEiJ_G0024564
rattus_norvegicus ENSRNOG00000001032
meriones_unguiculatus ENSMUGG00000000403
nannospalax_galili ENSNGAG00000004053
jaculus_jaculus ENSJJAG00000009367
dipodomys_ordii ENSDORG00000013281
heterocephalus_glaber_female ENSHGLG00000007267
heterocephalus_glaber_male ENSHGLG00100005651
fukomys_damarensis ENSFDAG00000006623
cavia_porcellus ENSCPOG00000014787
cavia_aperea ENSCAPG00000009595
octodon_degus ENSODEG00000011251
chinchilla_lanigera ENSCLAG00000006812
ictidomys_tridecemlineatus ENSSTOG00000006071
spermophilus_dauricus ENSSDAG00000019358
urocitellus_parryii ENSUPAG00010006347
marmota_marmota_marmota ENSMMMG00000006346
cebus_capucinus ENSCCAG00000008446
saimiri_boliviensis_boliviensis ENSSBOG00000032415
callithrix_jacchus ENSCJAG00000015269
aotus_nancymaae ENSANAG00000034191
pan_troglodytes ENSPTRG00000051931
pan_troglodytes ENSPTRG00000048336
homo_sapiens ENSG00000122674
homo_sapiens ENSG00000146574
gorilla_gorilla ENSGGOG00000027454
pongo_abelii ENSPPYG00000017359
nomascus_leucogenys ENSNLEG00000026665
piliocolobus_tephrosceles ENSPTEG00000008218
piliocolobus_tephrosceles ENSPTEG00000008486
piliocolobus_tephrosceles ENSPTEG00000008748
piliocolobus_tephrosceles ENSPTEG00000008578
mandrillus_leucophaeus ENSMLEG00000030378
pan_troglodytes ENSPTRG00000049134
cercocebus_atys ENSCATG00000032261
macaca_fascicularis ENSMFAG00000003003
macaca_nemestrina ENSMNEG00000031130
papio_anubis ENSPANG00000000936
colobus_angolensis_palliatus ENSCANG00000042511
gorilla_gorilla ENSGGOG00000002464
theropithecus_gelada ENSTGEG00000015345
theropithecus_gelada ENSTGEG00000015468
papio_anubis ENSPANG00000018760
macaca_fascicularis ENSMFAG00000035825
macaca_mulatta ENSMMUG00000007970
chlorocebus_sabaeus ENSCSAG00000017727
piliocolobus_tephrosceles ENSPTEG00000008797
piliocolobus_tephrosceles ENSPTEG00000009002
piliocolobus_tephrosceles ENSPTEG00000008913
piliocolobus_tephrosceles ENSPTEG00000008829
rhinopithecus_bieti ENSRBIG00000036878
rhinopithecus_roxellana ENSRROG00000034484
colobus_angolensis_palliatus ENSCANG00000039314
piliocolobus_tephrosceles ENSPTEG00000008960
piliocolobus_tephrosceles ENSPTEG00000008877
pan_troglodytes ENSPTRG00000046532
pan_troglodytes ENSPTRG00000043462
pan_paniscus ENSPPAG00000027488
pan_paniscus ENSPPAG00000038166
gorilla_gorilla ENSGGOG00000038206
cercocebus_atys ENSCATG00000011606
rhinopithecus_roxellana ENSRROG00000039177
ochotona_princeps ENSOPRG00000001735
oryctolagus_cuniculus ENSOCUG00000007103
sorex_araneus ENSSARG00000011028
castor_canadensis ENSCCNG00000003993
pteropus_vampyrus ENSPVAG00000010919
myotis_lucifugus ENSMLUG00000025192
equus_asinus_asinus ENSEASG00005000796
equus_caballus ENSECAG00000011387
bos_taurus ENSBTAG00000003288
bos_mutus ENSBMUG00000014499
bison_bison_bison ENSBBBG00000010103
capra_hircus ENSCHIG00000016566
ovis_aries ENSOARG00000001066
tursiops_truncatus ENSTTRG00000005277
sus_scrofa ENSSSCG00000025940
ursus_americanus ENSUAMG00000018835
ursus_maritimus ENSUMAG00000009052
ailuropoda_melanoleuca ENSAMEG00000008970
neovison_vison ENSNVIG00000006396
mustela_putorius_furo ENSMPUG00000016569
canis_lupus_familiaris ENSCAFG00000015459
canis_lupus_dingo ENSCAFG00020016895
vulpes_vulpes ENSVVUG00000015134
panthera_tigris_altaica ENSPTIG00000010995
panthera_pardus ENSPPRG00000003334
felis_catus ENSFCAG00000031938
choloepus_hoffmanni ENSCHOG00000012578
tupaia_belangeri ENSTBEG00000000019
dasypus_novemcinctus ENSDNOG00000024536
loxodonta_africana ENSLAFG00000026343
procavia_capensis ENSPCAG00000002409
phascolarctos_cinereus ENSPCIG00000030282
notamacropus_eugenii ENSMEUG00000016484
sarcophilus_harrisii ENSSHAG00000014374
monodelphis_domestica ENSMODG00000008225
ornithorhynchus_anatinus ENSOANG00000000762
xenopus_tropicalis ENSXETG00000024053
latimeria_chalumnae ENSLACG00000007500
ciona_intestinalis ENSCING00000018126
